"","count","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation","result.category"
"1",11162,22687170,"Abeillia abeillei",NA,NA,NA,"LC"
"2",11162,22715451,"Abroscopus albogularis",NA,NA,NA,"LC"
"3",11162,22715454,"Abroscopus schisticeps",NA,NA,NA,"LC"
"4",11162,22731005,"Abroscopus superciliaris",NA,NA,NA,"LC"
"5",11162,22678440,"Aburria aburri",NA,NA,NA,"NT"
"6",11162,22704451,"Acanthagenys rufogularis",NA,NA,NA,"LC"
"7",11162,22723128,"Acanthidops bairdi",NA,NA,NA,"LC"
"8",11162,22725044,"Acanthis flammea",NA,NA,NA,"LC"
"9",11162,22698577,"Acanthisitta chloris",NA,NA,NA,"LC"
"10",11162,22731025,"Acanthiza apicalis",NA,NA,NA,"LC"
"11",11162,22704647,"Acanthiza chrysorrhoa",NA,NA,NA,"LC"
"12",11162,22704665,"Acanthiza cinerea",NA,NA,NA,"LC"
"13",11162,22704635,"Acanthiza ewingii",NA,NA,NA,"LC"
"14",11162,22704641,"Acanthiza inornata",NA,NA,NA,"LC"
"15",11162,22704644,"Acanthiza iredalei",NA,NA,NA,"LC"
"16",11162,22704627,"Acanthiza katherina",NA,NA,NA,"LC"
"17",11162,22704656,"Acanthiza lineata",NA,NA,NA,"LC"
"18",11162,22704624,"Acanthiza murina",NA,NA,NA,"LC"
"19",11162,22704653,"Acanthiza nana",NA,NA,NA,"LC"
"20",11162,22704630,"Acanthiza pusilla",NA,NA,NA,"LC"
"21",11162,22704638,"Acanthiza reguloides",NA,NA,NA,"LC"
"22",11162,22704659,"Acanthiza robustirostris",NA,NA,NA,"LC"
"23",11162,22704650,"Acanthiza uropygialis",NA,NA,NA,"LC"
"24",11162,22716338,"Acanthoptila nipalensis",NA,NA,NA,"LC"
"25",11162,22704424,"Acanthorhynchus superciliosus",NA,NA,NA,"LC"
"26",11162,22704421,"Acanthorhynchus tenuirostris",NA,NA,NA,"LC"
"27",11162,22704585,"Acanthornis magna",NA,NA,NA,"LC"
"28",11162,22695535,"Accipiter albogularis",NA,NA,NA,"LC"
"29",11162,22695490,"Accipiter badius",NA,NA,NA,"LC"
"30",11162,22695669,"Accipiter bicolor",NA,NA,NA,"LC"
"31",11162,22695605,"Accipiter brachyurus",NA,NA,NA,"VU"
"32",11162,22695499,"Accipiter brevipes",NA,NA,NA,"LC"
"33",11162,22695494,"Accipiter butleri",NA,NA,NA,"VU"
"34",11162,22695486,"Accipiter castanilius",NA,NA,NA,"LC"
"35",11162,22695599,"Accipiter cirrocephalus",NA,NA,NA,"LC"
"36",11162,22695568,"Accipiter collaris",NA,NA,NA,"LC"
"37",11162,22695656,"Accipiter cooperii",NA,NA,NA,"LC"
"38",11162,22695596,"Accipiter erythrauchen",NA,NA,NA,"NT"
"39",11162,22695576,"Accipiter erythropus",NA,NA,NA,"LC"
"40",11162,22695527,"Accipiter fasciatus",NA,NA,NA,"LC"
"41",11162,22695508,"Accipiter francesiae",NA,NA,NA,"LC"
