Common_Name,Scientific.name,Scientific_name,GBIF_ID,Dietary_Guild,Water_Forager,Ground.Understory_Forager,Midhigh.Canopy_Forager,Aerial_Forager,Foraging.Strata,Activity_Time,Global.IUCN.Red.List.Category,Annual_Trend,Mean_Wing_Length_.mm.,Mean_M_Wing_Length_.mm.,Mean_F_Wing_Length_.mm.,Mean_Tail_Length_.mm.,Mean_M_Tail_Length_.mm.,Mean_F_Tail_Length_.mm.,Mean_Bill_Length_.mm.,Mean_M_Bill_Length_.mm.,Mean_F_Bill_Length_.mm.,Wingspan_cm,Mean_Body_Length_.cm.,Mean_M_Body_Length_.cm.,Mean_F_Body_Length_.cm.,Mean_Body_Mass_.g.,Mean_F_Body_Mass_.g.,Mean_M_Body_Mass_.g.,Mean_Clutch_Size_.n.,Clutches_per_year,Life_Span_.years.,Generation_length,Number_of_Subspecies,Population_size_MIN,Population_size_MAX,Social,Flight_pattern,Migration.Distance,Migration.Status,Scienttific_name,Waterfowl,Birds.of.Prey,Wetland.Birds,Seabirds,Forest.Birds,All.Other.Birds.,Shorebirds,Grassland.Birds,Aerial.Insectivores,Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies,Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards,Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes,Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles,Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances,Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances,Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud,Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada,Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres
Snow Goose,Anser caerulescens,Anser_caerulescens,2498167,PlantSeed,20,80,0,0,Ground.Understory,0,LC,1.533941,402.248,423.9,415.7,145.598005,156.459672,148.04313,52.87737,55.38105,52.44756,150,75,61.369885,56.95064,2633.45,2501.75,2744,4.2,1,26.59166667,8.9,2,5300000,6200000,Flocks,Duck-like,short,Obligate,Anser caerulescens,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ross's Goose,Anser rossii,Anser_rossii,2498161,PlantSeed,20,80,0,0,Ground.Understory,0,LC,-0.11863,328.7922,318.00529,316.96009,116.301235,121.23779,115.71142,52.02932,55.051815,51.71728,110,59.5,62.2203,56.99098,1616.745,1597.5,1642.25,4,1,21.5,8.6,0,3091438.99,3916944.613,Flocks,Duck-like,short,Obligate,Anser rossii,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Greater White-fronted Goose,Anser albifrons,Anser_albifrons,2498017,PlantSeed,20,80,0,0,Ground.Understory,0,LC,0.592794,425.75,435.3,416.2,116,119,113,48.8,49.6,48,145,73.5,61.59875,57.99778,2580.63,2508.25,2671.25,4.95,1,25.125,11.3,5,3100000,3200000,Flocks,Duck-like,short,Obligate,Anser albifrons,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brant,Branta bernicla,Branta_bernicla,5232446,PlantSeed,47.04,52.5825,-2.64E-15,0.01,Water_Ground.Understory,0,LC,0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,Flocks,Duck-like,short,Obligate,Branta bernicla,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cackling Goose,Branta hutchinsii,Branta_hutchinsii,5232452,PlantSeed,40,60,0,0,Water_Ground.Understory,0,LC,4.584321,399.79073,430.4283,413.40935,145.885605,150.135205,142.96722,72.35198,77.98953,76.81348,140,82.5,63.349245,60.77327,3236.673334,3486.166667,3891.25,5.15,1,25.85833333,10.9,4,920000,1400000,Flocks,Duck-like,short,Obligate,Branta hutchinsii,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada Goose,Branta canadensis,Branta_canadensis,5232437,PlantSeed,40,60,0,0,Water_Ground.Understory,0,LC,9.81,443,443,443,134,134,134,47,47,47,150,82.5,61.17327,56.89391,3810.393333,4133.5,4507.875,5.325,1,27.20833334,10.5,7,5.00E+06,6200000,Flocks,Duck-like,short,Obligate,Branta canadensis,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mute Swan,Cygnus olor,Cygnus_olor,2498343,PlantSeed,100,0,0,0,Water,0,LC,5.43,605.5,624,587,217.5,224,211,78.35,80.9,75.8,215,147.5,94.03957,91.96494,10687.34667,9800,12050,5.875,1,28.34575,12.2,0,598000,615000,Pairs/Family Groups,Gull-like,non-migratory,Facultative ,Cygnus olor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trumpeter Swan,Cygnus buccinator,Cygnus_buccinator,2498345,PlantSeed,100,0,0,0,Water,0,LC,19.1,618.7076,573.68315,555.24015,231.1825,216.526354,209.5244,79.29408,116.45,111.5,200,158.75,147.75,143.56,10685.565,9750,11800,5.2,1,26.5,13.6,0,1590654.707,2325515.146,Flocks,Gull-like,short,Facultative ,Cygnus buccinator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tundra Swan,Cygnus columbianus,Cygnus_columbianus,2498338,PlantSeed,50,50,0,0,Water_Ground.Understory,0,LC,7.086605,523,533,513,151.5,151,152,93,95,91,210,128,85.90945,87.27197,6317.653333,5985,6840,3.7,1,23.14583334,12.7,2,317000,336000,Flocks,Gull-like,short,Obligate,Cygnus columbianus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Duck,Aix sponsa,Aix_sponsa,2498387,PlantSeed,80,20,0,0,Water,0,LC,2.68,233.5,250,217,100.15,101,99.3,28.4,28.6,28.2,69.5,46.25,53.57809333,49.88906,680.03,668.5,715,11.9,1.25,22.75,7.4,0,7229656,10563813.85,Flocks,Duck-like,short,Facultative ,Aix sponsa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
