"","code","title","timing","scope","severity","score","invasive","sp"
"1","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser caerulescens"
"2","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser rossii"
"3","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser albifrons"
"4","11.3","Temperature extremes","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Branta bernicla"
"5","1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Branta bernicla"
"6","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla"
"7","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla"
"8","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla"
"9","8.2","Problematic native species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Branta bernicla"
"10","8.2.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Branta bernicla"
"11","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Unknown","Unknown",NA,"Branta bernicla"
"12","8.5.2","Named species","Future","Minority (<50%)","Unknown","Unknown",NA,"Branta bernicla"
"13","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Branta canadensis"
"14","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Cygnus buccinator"
"15","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Cygnus columbianus"
"16","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Spatula cyanoptera"
"17","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Spatula cyanoptera"
