"","X","code","title","timing","scope","severity","score","invasive","Scientific.name","Common_Name","Scientific_name","GBIF_ID","Dietary_Guild","Water_Forager","Ground.Understory_Forager","Midhigh.Canopy_Forager","Aerial_Forager","Foraging.Strata","Activity_Time","Global.IUCN.Red.List.Category","Annual_Trend","Mean_Wing_Length_.mm.","Mean_M_Wing_Length_.mm.","Mean_F_Wing_Length_.mm.","Mean_Tail_Length_.mm.","Mean_M_Tail_Length_.mm.","Mean_F_Tail_Length_.mm.","Mean_Bill_Length_.mm.","Mean_M_Bill_Length_.mm.","Mean_F_Bill_Length_.mm.","Wingspan_cm","Mean_Body_Length_.cm.","Mean_M_Body_Length_.cm.","Mean_F_Body_Length_.cm.","Mean_Body_Mass_.g.","Mean_F_Body_Mass_.g.","Mean_M_Body_Mass_.g.","Mean_Clutch_Size_.n.","Clutches_per_year","Life_Span_.years.","Generation_length","Number_of_Subspecies","Population_size_MIN","Population_size_MAX","Social","Flight_pattern","Migration.Distance","Migration.Status","Scienttific_name","Waterfowl","Birds.of.Prey","Wetland.Birds","Seabirds","Forest.Birds","All.Other.Birds.","Shorebirds","Grassland.Birds","Aerial.Insectivores","Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies","Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards","Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes","Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles","Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances","Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances","Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud","Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada","Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres"
"1",1,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser caerulescens","Snow Goose","Anser_caerulescens",2498167,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",1.533941,402.248,423.9,415.7,145.598005,156.459672,148.04313,52.87737,55.38105,52.44756,150,75,61.369885,56.95064,2633.45,2501.75,2744,4.2,1,26.59166667,8.9,2,5300000,6200000,"Flocks","Duck-like","short","Obligate","Anser caerulescens",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2",2,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser rossii","Ross's Goose","Anser_rossii",2498161,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",-0.11863,328.7922,318.00529,316.96009,116.301235,121.23779,115.71142,52.02932,55.051815,51.71728,110,59.5,62.2203,56.99098,1616.745,1597.5,1642.25,4,1,21.5,8.6,0,3091438.99,3916944.613,"Flocks","Duck-like","short","Obligate","Anser rossii",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3",3,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Anser albifrons","Greater White-fronted Goose","Anser_albifrons",2498017,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",0.592794,425.75,435.3,416.2,116,119,113,48.8,49.6,48,145,73.5,61.59875,57.99778,2580.63,2508.25,2671.25,4.95,1,25.125,11.3,5,3100000,3200000,"Flocks","Duck-like","short","Obligate","Anser albifrons",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",4,"11.3","Temperature extremes","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5",5,"1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",6,"4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7",7,"5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8",8,"5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",9,"8.2","Problematic native species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",10,"8.2.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11",11,"8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Unknown","Unknown",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12",12,"8.5.2","Named species","Future","Minority (<50%)","Unknown","Unknown",NA,"Branta bernicla","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13",13,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Branta canadensis","Canada Goose","Branta_canadensis",5232437,"PlantSeed",40,60,0,0,"Water_Ground.Understory",0,"LC",9.81,443,443,443,134,134,134,47,47,47,150,82.5,61.17327,56.89391,3810.393333,4133.5,4507.875,5.325,1,27.20833334,10.5,7,5e+06,6200000,"Flocks","Duck-like","short","Obligate","Branta canadensis",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14",14,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Cygnus buccinator","Trumpeter Swan","Cygnus_buccinator",2498345,"PlantSeed",100,0,0,0,"Water",0,"LC",19.1,618.7076,573.68315,555.24015,231.1825,216.526354,209.5244,79.29408,116.45,111.5,200,158.75,147.75,143.56,10685.565,9750,11800,5.2,1,26.5,13.6,0,1590654.707,2325515.146,"Flocks","Gull-like","short","Facultative ","Cygnus buccinator",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Cygnus columbianus","Tundra Swan","Cygnus_columbianus",2498338,"PlantSeed",50,50,0,0,"Water_Ground.Understory",0,"LC",7.086605,523,533,513,151.5,151,152,93,95,91,210,128,85.90945,87.27197,6317.653333,5985,6840,3.7,1,23.14583334,12.7,2,317000,336000,"Flocks","Gull-like","short","Obligate","Cygnus columbianus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,"5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Spatula cyanoptera","Cinnamon Teal","Spatula_cyanoptera",9345027,"PlantSeed",100,0,0,0,"Water",0,"LC",0.406,188.69698,184.59878,179.22115,74.753715,73.10945,72.23489,44.5686175,44.05773,42.31867,56,41.5,50.59135,45.67435,380.225,365.25,395.5,10,1.25,12.9,6.5,5,6828020,7637513.934,"Winter Flocks","Duck-like","long","Facultative ","Spatula cyanoptera",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
