"","X","title","timing","scope","severity","score","invasive","Common_Name","Scientific_name","GBIF_ID","Dietary_Guild","Water_Forager","Ground.Understory_Forager","Midhigh.Canopy_Forager","Aerial_Forager","Foraging.Strata","Activity_Time","Global.IUCN.Red.List.Category","Annual_Trend","Mean_Wing_Length_.mm.","Mean_M_Wing_Length_.mm.","Mean_F_Wing_Length_.mm.","Mean_Tail_Length_.mm.","Mean_M_Tail_Length_.mm.","Mean_F_Tail_Length_.mm.","Mean_Bill_Length_.mm.","Mean_M_Bill_Length_.mm.","Mean_F_Bill_Length_.mm.","Wingspan_cm","Mean_Body_Length_.cm.","Mean_M_Body_Length_.cm.","Mean_F_Body_Length_.cm.","Mean_Body_Mass_.g.","Mean_F_Body_Mass_.g.","Mean_M_Body_Mass_.g.","Mean_Clutch_Size_.n.","Clutches_per_year","Life_Span_.years.","Generation_length","Number_of_Subspecies","Population_size_MIN","Population_size_MAX","Social","Flight_pattern","Migration.Distance","Migration.Status","Scienttific_name","Waterfowl","Birds.of.Prey","Wetland.Birds","Seabirds","Forest.Birds","All.Other.Birds.","Shorebirds","Grassland.Birds","Aerial.Insectivores","Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies","Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards","Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes","Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles","Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances","Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances","Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud","Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada","Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres","Anser caerulescens","Anser rossii","Anser albifrons","Branta bernicla","Branta canadensis","Cygnus buccinator","Cygnus columbianus","Spatula cyanoptera","Spatula clypeata","Mareca penelope","Aythya marila","Somateria spectabilis","Somateria mollissima","Histrionicus histrionicus","Melanitta perspicillata","Melanitta deglandi","Melanitta nigra","Clangula hyemalis","Bucephala clangula","Bucephala islandica","Mergus merganser","Mergus serrator","Colinus virginianus","Centrocercus urophasianus","Lagopus lagopus","Lagopus muta","Tympanuchus cupido","Podiceps auritus","Podiceps grisegena","Podiceps nigricollis","Coccyzus americanus","Antrostomus carolinensis","Antrostomus vociferus","Cypseloides niger","Chaetura pelagica","Selasphorus rufus","Rallus elegans","Grus americana","Pluvialis squatarola","Pluvialis dominica","Pluvialis fulva","Charadrius nivosus","Charadrius hiaticula","Charadrius semipalmatus","Charadrius melodus","Charadrius montanus","Numenius phaeopus","Numenius borealis","Numenius americanus","Limosa haemastica","Arenaria interpres","Arenaria melanocephala","Calidris canutus","Calidris virgata","Calidris pugnax","Calidris acuminata","Calidris himantopus","Calidris alba","Calidris alpina","Calidris ptilocnemis","Calidris maritima","Calidris bairdii","Calidris minutilla","Calidris fuscicollis","Calidris subruficollis","Calidris melanotos","Calidris pusilla","Calidris mauri","Limnodromus scolopaceus","Gallinago delicata","Tringa incana","Tringa flavipes","Phalaropus lobatus","Phalaropus fulicarius","Catharacta skua","Stercorarius pomarinus","Stercorarius parasiticus","Stercorarius longicaudus","Alle alle","Uria aalge","Uria lomvia","Alca torda","Cepphus grylle","Cepphus columba","Brachyramphus marmoratus","Synthliboramphus scrippsi","Synthliboramphus antiquus","Ptychoramphus aleuticus","Aethia psittacula","Cerorhinca monocerata","Fratercula arctica","Fratercula corniculata","Fratercula cirrhata","Rissa tridactyla","Pagophila eburnea","Xema sabini","Rhodostethia rosea","Larus heermanni","Larus californicus","Larus argentatus","Larus glaucoides","Larus fuscus","Larus marinus","Chlidonias niger","Sterna dougallii","Sterna hirundo","Sterna paradisaea","Gavia stellata","Gavia pacifica","Gavia immer","Gavia adamsii","Phoebastria immutabilis","Phoebastria nigripes","Phoebastria albatrus","Fulmarus glacialis","Pterodroma ultima","Pterodroma inexpectata","Calonectris diomedea","Ardenna tenuirostris","Ardenna gravis","Ardenna creatopus","Ardenna carneipes","Puffinus puffinus","Oceanites oceanicus","Morus bassanus","Phalacrocorax carbo","Pelecanus occidentalis","Plegadis falcinellus","Gymnogyps californianus","Pandion haliaetus","Accipiter gentilis","Buteo lagopus","Buteo regalis","Aquila chrysaetos","Surnia ulula","Strix occidentalis","Asio otus","Asio flammeus","Aegolius funereus","Melanerpes erythrocephalus","Falco columbarius","Falco rusticolus","Falco peregrinus","Contopus cooperi","Lanius ludovicianus","Perisoreus canadensis","Eremophila alpestris","Riparia riparia","Hirundo rustica","Oenanthe oenanthe","Catharus bicknelli","Catharus guttatus","Hylocichla mustelina","Turdus migratorius","Sturnus vulgaris","Anthus rubescens","Anthus spragueii","Calcarius lapponicus","Calcarius ornatus","Calcarius pictus","Plectrophenax nivalis","Spizella breweri","Zonotrichia querula","Sturnella magna","Euphagus carolinus","Quiscalus quiscula","Vermivora chrysoptera","Mniotilta varia","Setophaga ruticilla","Strix nebulosa"
"1",1,"Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Snow Goose","Anser_caerulescens",2498167,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",1.533941,402.248,423.9,415.7,145.598005,156.459672,148.04313,52.87737,55.38105,52.44756,150,75,61.369885,56.95064,2633.45,2501.75,2744,4.2,1,26.59166667,8.9,2,5300000,6200000,"Flocks","Duck-like","short","Obligate","Anser caerulescens",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Ross's Goose","Anser_rossii",2498161,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",-0.11863,328.7922,318.00529,316.96009,116.301235,121.23779,115.71142,52.02932,55.051815,51.71728,110,59.5,62.2203,56.99098,1616.745,1597.5,1642.25,4,1,21.5,8.6,0,3091438.99,3916944.613,"Flocks","Duck-like","short","Obligate","Anser rossii",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Greater White-fronted Goose","Anser_albifrons",2498017,"PlantSeed",20,80,0,0,"Ground.Understory",0,"LC",0.592794,425.75,435.3,416.2,116,119,113,48.8,49.6,48,145,73.5,61.59875,57.99778,2580.63,2508.25,2671.25,4.95,1,25.125,11.3,5,3100000,3200000,"Flocks","Duck-like","short","Obligate","Anser albifrons",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,"11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Temperature extremes","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"11.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Commercial & industrial areas","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"5.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Problematic native species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"8.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Vulpes lagopus","Brant","Branta_bernicla",5232446,"PlantSeed",47.04,52.5825,-2.64e-15,0.01,"Water_Ground.Understory",0,"LC",0.023614,340.49086,337.67813,332.7572867,122.88473,126.290346,122.38651,52.11023,55.10397,51.31741,115,64,61.1,57.3,1446.103846,1328,1467,3.75,1,28,10.9,3,3539702.714,3743531.988,"Flocks","Duck-like","short","Obligate","Branta bernicla",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"8.2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
