CITES_Name,CITES_species
Abeillia,1
Abeillia abeillei,1
Accipiter,1
Accipiter albogularis,1
Accipiter badius,1
Accipiter bicolor,1
Accipiter brachyurus,1
Accipiter brevipes,1
Accipiter butleri,1
Accipiter castanilius,1
Accipiter cirrhocephalus,1
Accipiter collaris,1
Accipiter cooperii,1
Accipiter erythrauchen,1
Accipiter erythropus,1
Accipiter fasciatus,1
Accipiter francesii,1
Accipiter gentilis,1
Accipiter griseiceps,1
Accipiter gularis,1
Accipiter gundlachi,1
Accipiter haplochrous,1
Accipiter henicogrammus,1
Accipiter henstii,1
Accipiter imitator,1
Accipiter luteoschistaceus,1
Accipiter madagascariensis,1
Accipiter melanochlamys,1
Accipiter melanoleucus,1
Accipiter meyerianus,1
Accipiter minullus,1
Accipiter nanus,1
Accipiter nisus,1
Accipiter novaehollandiae,1
Accipiter ovampensis,1
Accipiter poliocephalus,1
Accipiter poliogaster,1
Accipiter princeps,1
Accipiter rhodogaster,1
Accipiter rufitorques,1
Accipiter rufiventris,1
Accipiter soloensis,1
Accipiter striatus,1
Accipiter superciliosus,1
Accipiter tachiro,1
Accipiter toussenelii,1
Accipiter trinotatus,1
Accipiter trivirgatus,1
Accipiter virgatus,1
Accipitridae,1
Aceros,1
Aceros cassidix,1
Aceros corrugatus,1
Aceros leucocephalus,1
Aceros nipalensis,1
Aceros waldeni,1
Acrocephalus rodericanus,1
Adelomyia,1
Adelomyia melanogenys,1
Aegolius,1
Aegolius acadicus,1
Aegolius funereus,1
Aegolius harrisii,1
Aegolius ridgwayi,1
Aegypius,1
Aegypius monachus,1
Afrotis,1
Afrotis afra,1
Afrotis afraoides,1
Agapornis,1
Agapornis canus,1
Agapornis fischeri,1
Agapornis lilianae,1
Agapornis nigrigenis,1
Agapornis personatus,1
Agapornis pullarius,1
Agapornis roseicollis,1
Agapornis swindernianus,1
Agapornis taranta,1
Aglaeactis,1
Aglaeactis aliciae,1
Aglaeactis castelnaudii,1
Aglaeactis cupripennis,1
Aglaeactis pamela,1
Aglaiocercus,1
Aglaiocercus coelestis,1
Aglaiocercus kingi,1
Alauda arvensis,1
Alisterus,1
Alisterus amboinensis,1
Alisterus chloropterus,1
Alisterus scapularis,1
Amandava formosa,1
Amazilia,1
Amazilia alticola,1
Amazilia amabilis,1
Amazilia amazilia,1
Amazilia beryllina,1
Amazilia boucardi,1
Amazilia brevirostris,1
Amazilia candida,1
Amazilia castaneiventris,1
Amazilia chionogaster,1
Amazilia cupreicauda,1
Amazilia cyanifrons,1
Amazilia cyanocephala,1
Amazilia cyanura,1
Amazilia edward,1
Amazilia fimbriata,1
Amazilia franciae,1
Amazilia lactea,1
Amazilia leucogaster,1
Amazilia luciae,1
Amazilia rondoniae,1
Amazilia rosenbergi,1
Amazilia rutila,1
Amazilia saucerrottei,1
Amazilia tobaci,1
Amazilia tzacatl,1
Amazilia versicolor,1
Amazilia violiceps,1
Amazilia viridicauda,1
Amazilia viridifrons,1
Amazilia viridigaster,1
Amazilia yucatanensis,1
Amazona,1
Amazona aestiva,1
Amazona agilis,1
Amazona albifrons,1
Amazona amazonica,1
Amazona arausiaca,1
Amazona auropalliata,1
Amazona autumnalis,1
Amazona barbadensis,1
Amazona brasiliensis,1
Amazona collaria,1
Amazona dufresniana,1
Amazona farinosa,1
Amazona festiva,1
Amazona finschi,1
Amazona guildingii,1
Amazona imperialis,1
Amazona kawalli,1
Amazona leucocephala,1
Amazona mercenaria,1
Amazona ochrocephala,1
Amazona oratrix,1
Amazona pretrei,1
Amazona rhodocorytha,1
Amazona tucumana,1
Amazona ventralis,1
Amazona versicolor,1
Amazona vinacea,1
Amazona viridigenalis,1
Amazona vittata,1
Amazona xantholora,1
Amazona xanthops,1
Anas aucklandica,1
Anas bernieri,1
Anas chlorotis,1
Anas formosa,1
Anas laysanensis,1
Anas nesiotis,1
Androdon,1
Androdon aequatorialis,1
Anodorhynchus,1
Anodorhynchus glaucus,1
Anodorhynchus hyacinthinus,1
Anodorhynchus leari,1
Anopetia,1
Anopetia gounellei,1
Anorrhinus,1
Anorrhinus galeritus,1
Anorrhinus tickelli,1
Anthocephala,1
Anthocephala floriceps,1
Anthracoceros,1
Anthracoceros albirostris,1
Anthracoceros coronatus,1
Anthracoceros malayanus,1
Anthracoceros marchei,1
Anthracoceros montani,1
Anthracothorax,1
Anthracothorax dominicus,1
Anthracothorax mango,1
Anthracothorax nigricollis,1
Anthracothorax prevostii,1
Anthracothorax recurvirostris,1
Anthracothorax veraguensis,1
Anthracothorax viridigula,1
Anthracothorax viridis,1
Anthropoides,1
Anthropoides paradiseus,1
Anthropoides virgo,1
Aphantochroa,1
Aphantochroa cirrochloris,1
Aprosmictus,1
Aprosmictus erythropterus,1
Aprosmictus jonquillaceus,1
Aquila,1
Aquila adalberti,1
Aquila audax,1
Aquila chrysaetos,1
Aquila clanga,1
Aquila gurneyi,1
Aquila hastata,1
Aquila heliaca,1
