TaxonId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,FullName,AuthorYear,RankName,CurrentListing,FullAnnotationEnglish,AnnotationEnglish,AnnotationSpanish,AnnotationFrench,#AnnotationSymbol,#Annotation,SynonymsWithAuthors,EnglishNames,SpanishNames,FrenchNames,CitesAccepted,All_DistributionISOCodes,All_DistributionFullNames,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
2581,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,,,Abeillia,"Bonaparte, 1850",GENUS,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"","","","",true,"","","","","","","","",""
3734,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,abeillei,,Abeillia abeillei,"(Lesson & DeLattre, 1839)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Ornismya abeillei Lesson & DeLattre, 1839",Emerald-chinned Hummingbird,Colibrí barbiesmeralda,Colibri d'Abeillé,true,"SV, GT, HN, MX, NI","El Salvador, Guatemala, Honduras, Mexico, Nicaragua","El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","","","","",""
773,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,,,Accipiter,"Brisson, 1760",GENUS,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Sparvius , Erythrospizias , Nisus ","","","",true,"","","","","","","","",""
10868,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,albogularis,,Accipiter albogularis,"Gray, 1870",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,Accipiter eichhorni ,"Pied Goshawk, Pied Sparrowhawk",Gavilán pío,Autour pie,true,"PG, SB","Papua New Guinea, Solomon Islands","Papua New Guinea, Solomon Islands","","","","","",""
7653,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,badius,,Accipiter badius,"(Gmelin, 1788)",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Falco badius Gmelin, 1788","Little Banded Sparrowhawk, Shikra",Gavilán chikra,"Epervier shikra, Épervier shikra",true,"AF, AO, AM, AZ, BD, BJ, BT, BW, BF, BI, KH, CM, CF, TD, CN, CG, CI, CD, DJ, ER, SZ, ET, GM, GH, GN, GW, IN, ID, IR, IL, KZ, KE, KW, KG, LA, LS, LR, MW, MY, ML, MR, MN, MZ, MM, NA, NP, NE, NG, OM, PK, RW, SA, SN, SL, SG, SO, ZA, SS, LK, SD, TJ, TH, TG, TM, UG, AE, TZ, UZ, VN, YE, ZM, ZW","Afghanistan, Angola, Armenia, Azerbaijan, Bangladesh, Benin, Bhutan, Botswana, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Republic, Chad, China, Congo, Côte d'Ivoire, Democratic Republic of the Congo, Djibouti, Eritrea, Eswatini, Ethiopia, Gambia, Ghana, Guinea, Guinea Bissau, India, Indonesia, Iran (Islamic Republic of), Israel, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Lao People's Democratic Republic, Lesotho, Liberia, Malawi, Malaysia, Mali, Mauritania, Mongolia, Mozambique, Myanmar, Namibia, Nepal, Niger, Nigeria, Oman, Pakistan, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Tajikistan, Thailand, Togo, Turkmenistan, Uganda, United Arab Emirates, United Republic of Tanzania, Uzbekistan, Viet Nam, Yemen, Zambia, Zimbabwe","Afghanistan, Angola, Azerbaijan, Bangladesh, Benin, Bhutan, Botswana, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Republic, Chad, China, Congo, Côte d'Ivoire, Democratic Republic of the Congo, Djibouti, Eritrea, Eswatini, Ethiopia, Gambia, Ghana, Guinea, Guinea Bissau, India, Indonesia, Iran (Islamic Republic of), Israel, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Lao People's Democratic Republic, Lesotho, Liberia, Malawi, Malaysia, Mali, Mauritania, Mongolia, Mozambique, Myanmar, Namibia, Nepal, Niger, Nigeria, Oman, Pakistan, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Tajikistan, Thailand, Togo, Turkmenistan, Uganda, United Arab Emirates, United Republic of Tanzania, Uzbekistan, Viet Nam, Yemen, Zambia, Zimbabwe","","","","","",Armenia
7110,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,bicolor,,Accipiter bicolor,"(Vieillot, 1817)",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Sparvius bicolor Vieillot, 1817, Accipiter chilensis Philippi & Landbeck, 1864","Bicolored Hawk, Bicolored Sparrowhawk","Azor bicolor, Esparvero bicolor, Gavilán bicolor, Gavilán pantalón",Épervier bicolore,true,"AR, BZ, BO, BR, CL, CO, CR, EC, SV, GF, GT, GY, HN, MX, NI, PA, PY, PE, SR, UY, VE","Argentina, Belize, Bolivia (Plurinational State of), Brazil, Chile, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana [FR], Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Uruguay, Venezuela (Bolivarian Republic of)","Argentina, Belize, Bolivia (Plurinational State of), Brazil, Chile, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana [FR], Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Uruguay, Venezuela (Bolivarian Republic of)","","","","","",""
3149,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,brachyurus,,Accipiter brachyurus,"(Ramsay, 1879)",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Astur brachyurus Ramsay, 1879","Bismarcks sparrowhawk, Grey sparrowhawk, New Britain Sparrowhawk, Red-collared Sparrowhawk",Gavilancito de Nueva Bretaña,Épervier de Nouvelle-Bretagne,true,PG,Papua New Guinea,Papua New Guinea,"","","","","",""
7830,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,brevipes,,Accipiter brevipes,"(Severtsov, 1850)",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Astur brevipes Severtsov, 1850",Levant Sparrowhawk,Gavilán griego,Épervier à pieds courts,true,"AL, AM, AZ, BH, BA, BG, CM, HR, CY, CZ, CD, DJ, EG, ET, GE, GR, HU, IR, IQ, IL, IT, JO, KZ, KE, KW, LB, ME, NE, MK, PL, MD, RO, RU, SA, RS, SI, SS, SD, SY, TN, TR, UA, AE, TZ, UZ, YE","Albania, Armenia, Azerbaijan, Bahrain, Bosnia and Herzegovina, Bulgaria, Cameroon, Croatia, Cyprus, Czech Republic, Democratic Republic of the Congo, Djibouti, Egypt, Ethiopia, Georgia, Greece, Hungary, Iran (Islamic Republic of), Iraq, Israel, Italy, Jordan, Kazakhstan, Kenya, Kuwait, Lebanon, Montenegro, Niger, North Macedonia, Poland, Republic of Moldova, Romania, Russian Federation, Saudi Arabia, Serbia, Slovenia, South Sudan, Sudan, Syrian Arab Republic, Tunisia, Turkey, Ukraine, United Arab Emirates, United Republic of Tanzania, Uzbekistan, Yemen","Albania, Armenia, Azerbaijan, Bahrain, Bosnia and Herzegovina, Bulgaria, Cameroon, Croatia, Cyprus, Czech Republic, Democratic Republic of the Congo, Djibouti, Egypt, Ethiopia, Greece, Hungary, Iran (Islamic Republic of), Iraq, Israel, Italy, Jordan, Kazakhstan, Kenya, Kuwait, Montenegro, Niger, North Macedonia, Poland, Republic of Moldova, Romania, Russian Federation, Saudi Arabia, Serbia, Slovenia, South Sudan, Sudan, Syrian Arab Republic, Tunisia, Turkey, Ukraine, United Arab Emirates, United Republic of Tanzania, Uzbekistan, Yemen","","","","Georgia, Lebanon","",""
4176,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,butleri,,Accipiter butleri,"(Gurney, 1898)",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"Astur butleri Gurney, 1898","Nicobar Shikra, Nicobar Sparrowhawk",Gavilán de Nicobar,Épervier des Nicobar,true,IN,India,India,"","","","","",""
4513,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,castanilius,,Accipiter castanilius,"Bonaparte, 1853",SPECIES,II,"Appendix II:Except <i>Caracara lutosa</i> and the species of the family Cathartidae, which are not included in the Appendices; and the species included in Appendices I and III. ",Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ,Appendix II:Excluye <i>Caracara lutosa</i> y Cathartidae spp. ,Appendix II:Exclut <i>Caracara lutosa</i> et Cathartidae spp. ,,Appendix II: ,"","Chestnut-bellied Sparrowhawk, Chestnut-flanked Sparrowhawk","Gavilán flanquirrojo, Gavilán pechirrojo",Autour à flancs roux,true,"AO, CM, CF, CG, CD, GQ, GA, NG, UG","Angola, Cameroon, Central African Republic, Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Nigeria, Uganda","Angola, Cameroon, Central African Republic, Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Nigeria, Uganda","","","","","",""
