Sequence,species,English.name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,wing.lcentr,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,result.taxonid,result.category,agriculture,invasive,residential,energy,transportation,resource_use,intrusion,nat_sys_modif,pollution,geological,climate_change,other,masscentr,rangecentr,clutchcentr,clutch.size,gen.length,genlcentr
1,Struthio camelus,Common Ostrich,Struthionidae,Struthioniformes,AVIBASE-2247CB05,5,1,3,1,4,90.5,51.2,47.3,23.4,481.2,2.425458321,579,0.3,578.7,0.1,309.2,111000,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,-30.91,22.47,2.55,19.29,8595319.06,45020636,LC,0,0,0,0,0,0,0,0,0,0,0,0,7.721314786,3.516201118,1.48637613,8.666666667,14.58442945,2.253613559
2,Struthio molybdophanes,Somali Ostrich,Struthionidae,Struthioniformes,AVIBASE-40329BB6,3,0,1,2,2,89.2,52,46.7,23.6,466.7,2.059370549,510.5,0.3,510.2,0.1,291.7,111000,DataFromSplit,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,-3.61,11.62,5.53,43.23,1079016.7,22732795,VU,1,0,0,0,0,1,0,0,0,0,0,0,7.721314786,1.441033522,1.48637613,8.666666667,14.47284387,2.230425964
3,Rhea americana,Greater Rhea,Rheidae,Struthioniformes,AVIBASE-00986B24,5,2,2,1,4,86.5,35.6,27.2,17.2,308,2.561739171,604.5,0.3,604.2,0.1,62,23000,Dunning,NA,NO,NA,NA,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-41.17,-4.65,-21.37,-53.45,6537549.66,22678073,NT,1,0,0,0,0,1,0,0,0,0,0,0,6.147278801,3.242545784,5.534943268,23.71433333,11.35707089,1.582965226
4,Rhea pennata,Lesser Rhea,Rheidae,Struthioniformes,AVIBASE-BA52A675,5,2,2,1,4,68.6,33.1,24.7,16.3,292.5,2.695347847,629.5,0.4,629.1,0.1,56.8,23900,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-53.54,-35.63,-44.99,-69.08,660510.26,22728199,LC,1,0,0,0,0,1,0,0,0,0,0,0,6.185663044,0.950240737,3.647697233,16.69983949,9.25522508,1.146199566
5,Rhea tarapacensis,Puna Rhea,Rheidae,Struthioniformes,AVIBASE-499B75D1,1,1,0,0,0,75.6,35,25.1,14.6,296,2.575100038,607,0.4,629.1,0.1,65,23900,DataFromSplit,NA,YES,Kipp's Distance; Secondary1; Hand-Wing Index,Rhea pennata,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-28.79,-16.21,-22.22,-67.75,424810.53,22728206,NT,1,0,0,0,0,1,0,0,0,0,0,0,6.185663044,0.508871337,NA,NA,13.70881901,2.071660835
6,Nothocercus julius,Tawny-breasted Tinamou,Tinamidae,Struthioniformes,AVIBASE-5FB99321,4,1,1,2,4,33,10.1,4.6,6.2,58.8,0.352920538,191.2,31.9,159.3,16.7,51.6,693,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-12.54,7.98,-0.3,-76.54,139147.96,22678157,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.645059305,-0.607234093,NA,NA,6.16450584,0.50394502
7,Nothocercus bonapartei,Highland Tinamou,Tinamidae,Struthioniformes,AVIBASE-66C31E09,6,1,1,4,4,36.5,10.2,4.8,5.6,68.8,0.464082956,212,31.2,180.8,14.7,60,763,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-5.36,11.04,5.34,-74.93,137927.21,22678154,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.741287337,-0.616045838,0.230811813,4,4.538711435,0.166103318
8,Nothocercus nigrocapillus,Hooded Tinamou,Tinamidae,Struthioniformes,AVIBASE-68E763AE,9,5,3,1,4,35.3,9.1,4.6,5.8,63.5,0.33047428,187,27.5,159.5,14.8,56,540,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-18.19,-5.26,-12.3,-72.24,206296.78,22678160,LC,1,0,0,0,0,0,0,0,0,0,0,0,2.395598446,-0.213456109,NA,NA,4.833985142,0.227461489
9,Tinamus tao,Grey Tinamou,Tinamidae,Struthioniformes,AVIBASE-346D16D5,11,5,4,2,4,45.5,13.6,6.5,6.8,79.7,0.820550904,278.7,47.3,229.2,17.1,125.6,1600.1,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-17.32,11.55,-9.07,-59.84,3810389.02,22678135,VU,1,0,0,0,0,1,0,0,0,0,0,0,3.481850712,2.702714648,1.576059295,9,5.78539734,0.425165895
10,Tinamus solitarius,Solitary Tinamou,Tinamidae,Struthioniformes,AVIBASE-67E5E0FA,6,2,1,3,4,37.9,11.4,5.8,6,73.1,0.728628135,261.5,35.1,223.7,13.7,156.2,1386.4,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-29.81,-7.93,-22.1,-47.4,1069608.94,22678139,NT,1,0,1,0,1,1,0,0,0,0,0,0,3.338495045,1.432276464,0.768910806,6,4.142346156,0.083738217
