"","X","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","logmass","logrange"
"1",1,3090,"Accipiter badius","Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Vertivore","Insessorial",-29.47,46.39,8.23,44.98,22374973,22695490,1,0,1,0,0,0,0,1,0,1,1,0,0,0,4.87672287650999,16.9234536154206
"2",2,3116,"Accipiter brachyurus","Accipitridae","Accipitriformes","AVIBASE-68BF920B",4,4,0,0,3,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-6.31,-4.08,-5.45,150.68,35580.71,22695605,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.95582705760126,10.4795589160516
"3",3,3092,"Accipiter brevipes","Accipitridae","Accipitriformes","AVIBASE-8492E4B7",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Generalist",31.19,55.86,45.24,45.33,2936751.8,22695499,1,0,0,0,0,1,0,1,0,0,1,0,0,0,5.22843123908387,14.8928146986084
"4",4,3091,"Accipiter butleri","Accipitridae","Accipitriformes","AVIBASE-6B64C150",1,0,1,0,1,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",7.87,9.26,8.42,93.17,327.84,22695494,3,1,1,0,1,0,0,1,0,0,0,1,0,0,4.80402104473326,5.79252568449059
"5",5,3130,"Accipiter collaris","Accipitridae","Accipitriformes","AVIBASE-32760AD5",7,1,5,1,6,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,"Updated_literature","BoW","NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-13.2,11.25,2.47,-75.57,253265.36,22695568,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.58292457704077,12.4421930718018
"6",6,3114,"Accipiter erythrauchen","Accipitridae","Accipitriformes","AVIBASE-950C5048",4,3,1,0,4,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Generalist",-3.91,2.65,-1.32,128.19,48150.32,22695596,2,0,1,0,1,1,1,1,0,1,0,0,0,0,5.04985600724954,10.7820830631024
"7",7,3128,"Accipiter gentilis","Accipitridae","Accipitriformes","AVIBASE-420850D6",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,22695683,1,0,1,1,0,1,0,1,1,1,1,0,0,0,6.76388490856244,17.2741988955385
"8",8,3111,"Accipiter gularis","Accipitridae","Accipitriformes","AVIBASE-1E49FE52",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,22695585,1,0,1,1,0,0,0,1,0,0,1,0,0,0,4.79330812810349,15.3811438907231
"9",9,3124,"Accipiter gundlachi","Accipitridae","Accipitriformes","AVIBASE-0EDF5A1C",1,0,1,0,1,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Aerial",19.82,23.16,21.62,-79.36,33511.43,22695659,4,1,1,0,0,0,0,1,0,0,0,0,0,0,6.51471269087253,10.4196418536496
"10",10,3104,"Accipiter haplochrous","Accipitridae","Accipitriformes","AVIBASE-18B4CE02",4,3,1,0,4,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-22.4,-20.09,-21.33,165.48,16389.59,22695541,2,0,1,0,0,0,0,1,0,0,0,0,0,0,5.29028519485077,9.70440165617179
"11",11,3106,"Accipiter henicogrammus","Accipitridae","Accipitriformes","AVIBASE-9288286D",5,2,3,0,4,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,"Inferred",NA,"YES","Body Mass","Accipiter fasciatus","Forest",1,1,"Carnivore","Vertivore","Insessorial",-0.92,2.65,0.88,128.01,22781.85,22695544,2,0,1,0,1,1,1,1,0,1,0,0,0,0,5.88248638453824,10.0337194452928
"12",12,3126,"Accipiter henstii","Accipitridae","Accipitriformes","AVIBASE-05701150",4,2,2,0,4,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.2,-11.95,-18.72,46.85,434639.7,22695678,3,1,1,0,0,0,0,1,0,0,0,0,0,0,6.95654544315157,12.9822726909988
"13",13,3108,"Accipiter imitator","Accipitridae","Accipitriformes","AVIBASE-466CC533",1,1,0,0,1,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-8.58,-5.41,-6.76,156.47,10050.21,22695553,3,1,1,1,0,0,0,1,0,0,0,0,0,0,5.40492710160629,9.2153488087913
"14",14,3107,"Accipiter luteoschistaceus","Accipitridae","Accipitriformes","AVIBASE-EA787A01",1,0,1,0,0,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,"Dunning",NA,"YES","Beak Culmen; Beak Nares","Accipiter imitator","Forest",1,1,"Carnivore","Vertivore","Insessorial",-6.31,-4.19,-5.5,150.45,28814.74,22695547,3,1,1,1,0,1,0,1,0,0,0,0,0,0,5.36597601502185,10.2686423407518
"15",15,3118,"Accipiter madagascariensis","Accipitridae","Accipitriformes","AVIBASE-5D673E3E",4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.43,46.69,476517.51,22695613,2,0,1,0,0,0,0,1,0,0,0,0,0,0,5.19517660762852,13.0742597485156
"16",16,3113,"Accipiter nanus","Accipitridae","Accipitriformes","AVIBASE-7F1573CA",2,0,2,0,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,"Inferred",NA,"YES","Body Mass","Accipiter virgatus","Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.7,1.76,-1.08,121.34,110477,22695591,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4.76217393479776,11.6125626334784
"17",17,3120,"Accipiter nisus","Accipitridae","Accipitriformes","AVIBASE-DB376A66",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",26.9,70.53,54.67,77.29,23601609.31,22695624,1,0,1,0,0,1,0,1,0,1,1,0,0,0,5.39725731440294,16.9768254587726
"18",18,3119,"Accipiter ovampensis","Accipitridae","Accipitriformes","AVIBASE-BAE91683",5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Vertivore","Aerial",-27.22,13.92,-8.53,23.37,7295779.86,22695619,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.27299955856375,15.8028066375837
"19",19,3084,"Accipiter poliogaster","Accipitridae","Accipitriformes","AVIBASE-707547BB",5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-30.38,6.82,-7.81,-60.09,7203530.62,22695453,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5.75257263882563,15.7900818276861
"20",20,3100,"Accipiter princeps","Accipitridae","Accipitriformes","AVIBASE-B202721E",2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,"Inferred",NA,"YES","Body Mass","Accipiter poliocephalus","Forest",1,1,"Carnivore","Vertivore","Insessorial",-6.11,-4.23,-5.35,151.04,11549.62,22695561,3,1,1,0,0,1,0,1,0,0,0,0,1,0,5.36970736263471,9.35440781497581
"21",21,3093,"Accipiter soloensis","Accipitridae","Accipitriformes","AVIBASE-D188E45C",5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Insessorial",20.24,47.24,31.97,117.13,2375886.74,22695503,1,0,1,0,1,0,1,1,0,0,0,0,0,0,5.10473261747537,14.6808812899783
"22",22,3112,"Accipiter virgatus","Accipitridae","Accipitriformes","AVIBASE-A59A2D4D",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.25,4398429.71,22695588,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.76217393479776,15.2967581510993
"23",23,3018,"Aegypius monachus","Accipitridae","Accipitriformes","AVIBASE-158BDC90",4,2,2,0,4,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Scavenger","Scavenger","Terrestrial",25.27,54.37,41.63,87.87,7718571.19,22695231,2,0,1,0,0,1,1,1,1,1,0,0,1,1,9.13998228328989,15.8591398258562
"24",24,3047,"Aquila adalberti","Accipitridae","Accipitriformes","AVIBASE-69742EE4",4,3,1,0,4,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,"Dunning",NA,"NO",NA,NA,"Woodland",1,2,"Carnivore","Vertivore","Generalist",36.28,41.56,39.06,-5.23,131221.76,22696042,3,1,1,1,1,1,1,1,1,0,0,0,0,0,7.99226864327075,11.7846439953985
"25",25,3050,"Aquila chrysaetos","Accipitridae","Accipitriformes","AVIBASE-5F8E7CA8",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,22696060,1,0,1,1,0,1,1,1,0,0,1,0,1,0,8.35420356292178,17.4905511446518
