"","species","English.name","X","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","winglength_ok"
"1","Struthio molybdophanes","Somali Ostrich",3382,2,"Struthionidae","Struthioniformes","AVIBASE-40329BB6",3,0,1,2,2,89.2,52,46.7,23.6,466.7,510.5,0.3,510.2,0.1,291.7,111000,"DataFromSplit",NA,"NO",NA,NA,"Shrubland",3,1,"Herbivore","Omnivore","Terrestrial",-3.61,11.62,5.53,43.23,1079016.7,22732795,3,1,1,0,0,0,0,1,0,0,0,0,0,0,3.07519201,7.115486409,1.442941947
"2","Rhea americana","Greater Rhea",3379,3,"Rheidae","Struthioniformes","AVIBASE-00986B24",5,2,2,1,4,86.5,35.6,27.2,17.2,308,604.5,0.3,604.2,0.1,62,23000,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Omnivore","Omnivore","Terrestrial",-41.17,-4.65,-21.37,-53.45,6537549.66,22678073,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4.87670427,5.541450419,1.828724
"3","Rhea pennata","Lesser Rhea",3380,4,"Rheidae","Struthioniformes","AVIBASE-BA52A675",5,2,2,1,4,68.6,33.1,24.7,16.3,292.5,629.5,0.4,629.1,0.1,56.8,23900,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Omnivore","Terrestrial",-53.54,-35.63,-44.99,-69.08,660510.26,22728199,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2.58439923,5.579834669,1.931325611
"4","Rhea tarapacensis","Puna Rhea",3381,5,"Rheidae","Struthioniformes","AVIBASE-499B75D1",1,1,0,0,0,75.6,35,25.1,14.6,296,607,0.4,629.1,0.1,65,23900,"DataFromSplit",NA,"YES","Kipp's Distance; Secondary1; Hand-Wing Index","Rhea pennata","Grassland",3,1,"Herbivore","Omnivore","Terrestrial",-28.79,-16.21,-22.22,-67.75,424810.53,22728206,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.14302983,5.579834669,1.838984161
"5","Nothocercus nigrocapillus","Hooded Tinamou",3390,8,"Tinamidae","Struthioniformes","AVIBASE-68E763AE",9,5,3,1,4,35.3,9.1,4.6,5.8,63.5,187,27.5,159.5,14.8,56,540,"Updated_literature","BoW","NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-18.19,-5.26,-12.3,-72.24,206296.78,22678160,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.42070238,1.789770069,0.115277112
"6","Tinamus tao","Grey Tinamou",3399,9,"Tinamidae","Struthioniformes","AVIBASE-346D16D5",11,5,4,2,4,45.5,13.6,6.5,6.8,79.7,278.7,47.3,229.2,17.1,125.6,1600.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-17.32,11.55,-9.07,-59.84,3810389.02,22678135,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.33687314,2.876022335,0.491619818
"7","Tinamus solitarius","Solitary Tinamou",3398,10,"Tinamidae","Struthioniformes","AVIBASE-67E5E0FA",6,2,1,3,4,37.9,11.4,5.8,6,73.1,261.5,35.1,223.7,13.7,156.2,1386.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-29.81,-7.93,-22.1,-47.4,1069608.94,22678139,2,0,1,0,1,0,1,1,0,0,0,0,0,0,3.06643495,2.732666667,0.42102991
"8","Tinamus osgoodi","Black Tinamou",3397,11,"Tinamidae","Struthioniformes","AVIBASE-63C5F122",4,1,3,0,1,45.6,12.9,7.1,7.9,70.6,232,40.5,191.6,17.4,69.7,1285,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-13.91,7.15,-11.05,-72.42,28701.74,22678145,3,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.55165568,2.656714926,0.29996001
"9","Tinamus major","Great Tinamou",3396,12,"Tinamidae","Struthioniformes","AVIBASE-42D72AE1",6,1,2,3,4,38.5,11.4,5.2,5.9,64.4,241,51.3,193.1,20.9,83.2,1026.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-18.07,18.96,-1.53,-66.06,7672718.39,22678148,1,0,1,0,0,1,1,1,0,0,0,0,0,0,5.03681282,2.431818868,0.33689659
"10","Tinamus guttatus","White-throated Tinamou",3395,13,"Tinamidae","Struthioniformes","AVIBASE-0480B7C9",8,4,4,0,4,33.1,10.8,5,5.3,57.6,195.4,50.9,142.1,26.4,75.6,686.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-15.03,4.88,-5.63,-64.54,3971186.8,22678151,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4.37820684,2.029370059,0.149751253
