"","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other"
"1",3090,"Accipiter badius","Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Vertivore","Insessorial",-29.47,46.39,8.23,44.98,22374973,22695490,1,0,"1","0","0","0","0","1","0","1","1","0","0","0"
"2",3116,"Accipiter brachyurus","Accipitridae","Accipitriformes","AVIBASE-68BF920B",4,4,0,0,3,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-6.31,-4.08,-5.45,150.68,35580.71,22695605,3,1,"1","0","0","0","0","1","0","0","0","0","0","0"
"3",3092,"Accipiter brevipes","Accipitridae","Accipitriformes","AVIBASE-8492E4B7",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Generalist",31.19,55.86,45.24,45.33,2936751.8,22695499,1,0,"0","0","0","1","0","1","0","0","1","0","0","0"
"4",3091,"Accipiter butleri","Accipitridae","Accipitriformes","AVIBASE-6B64C150",1,0,1,0,1,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",7.87,9.26,8.42,93.17,327.84,22695494,3,1,"1","0","1","0","0","1","0","0","0","1","0","0"
"5",3130,"Accipiter collaris","Accipitridae","Accipitriformes","AVIBASE-32760AD5",7,1,5,1,6,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,"Updated_literature","BoW","NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-13.2,11.25,2.47,-75.57,253265.36,22695568,1,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"6",3114,"Accipiter erythrauchen","Accipitridae","Accipitriformes","AVIBASE-950C5048",4,3,1,0,4,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Generalist",-3.91,2.65,-1.32,128.19,48150.32,22695596,2,0,"1","0","1","1","1","1","0","1","0","0","0","0"
"7",3128,"Accipiter gentilis","Accipitridae","Accipitriformes","AVIBASE-420850D6",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,22695683,1,0,"1","1","0","1","0","1","1","1","1","0","0","0"
"8",3111,"Accipiter gularis","Accipitridae","Accipitriformes","AVIBASE-1E49FE52",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,22695585,1,0,"1","1","0","0","0","1","0","0","1","0","0","0"
"9",3124,"Accipiter gundlachi","Accipitridae","Accipitriformes","AVIBASE-0EDF5A1C",1,0,1,0,1,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Aerial",19.82,23.16,21.62,-79.36,33511.43,22695659,4,1,"1","0","0","0","0","1","0","0","0","0","0","0"
"10",3104,"Accipiter haplochrous","Accipitridae","Accipitriformes","AVIBASE-18B4CE02",4,3,1,0,4,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-22.4,-20.09,-21.33,165.48,16389.59,22695541,2,0,"1","0","0","0","0","1","0","0","0","0","0","0"
