"","species","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other"
"1","Abeillia abeillei","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Abroscopus albogularis","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Abroscopus schisticeps","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Abroscopus superciliaris","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Aburria aburri","1","0","0","0","0","1","0","0","0","0","0","0"
"6","Acanthagenys rufogularis","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Acanthidops bairdi","0","0","0","0","0","0","0","0","0","0","1","0"
"8","Acanthis flammea","0","0","0","0","0","0","0","0","0","0","1","0"
"9","Acanthisitta chloris","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Acanthiza apicalis","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Acanthiza chrysorrhoa","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Acanthiza cinerea","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Acanthiza ewingii","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Acanthiza inornata","0","0","0","0","0","0","0","0","0","0","1","0"
"15","Acanthiza iredalei","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Acanthiza katherina","0","0","0","0","0","0","0","0","0","0","1","0"
"17","Acanthiza lineata","0","0","0","0","0","0","0","0","0","0","1","0"
"18","Acanthiza murina","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Acanthiza nana","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Acanthiza pusilla","0","0","0","0","0","0","0","0","0","0","1","0"
"21","Acanthiza reguloides","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Acanthiza robustirostris","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Acanthiza uropygialis","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Acanthoptila nipalensis","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Acanthorhynchus superciliosus","0","0","0","0","0","0","0","0","0","0","1","0"
"26","Acanthorhynchus tenuirostris","0","0","0","0","0","0","0","0","0","0","1","0"
"27","Acanthornis magna","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Accipiter albogularis","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Accipiter badius","1","0","0","0","0","1","0","1","1","0","0","0"
"30","Accipiter bicolor","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Accipiter brachyurus","1","0","0","0","0","1","0","0","0","0","0","0"
"32","Accipiter brevipes","0","0","0","1","0","1","0","0","1","0","0","0"
"33","Accipiter butleri","1","0","1","0","0","1","0","0","0","1","0","0"
"34","Accipiter castanilius","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Accipiter cirrocephalus","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Accipiter collaris","0","0","0","0","0","1","0","0","0","0","0","0"
"37","Accipiter cooperii","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Accipiter erythrauchen","1","0","1","1","1","1","0","1","0","0","0","0"
"39","Accipiter erythropus","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Accipiter fasciatus","0","0","0","0","0","0","0","0","0","0","0","0"
