"","code","title","timing","scope","severity","score","invasive","species","X.y","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n"
"1","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"2","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"3","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"4","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"5","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"6","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"7","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"8","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"9","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"10","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"11","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"12","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"13","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown",NA,NA,"Aegotheles tatei",502,1093,"Aegothelidae","Caprimulgiformes","AVIBASE-EBD55D2E",1,1,0,0,1,20,7.4,7.5,5,16.1,145.8,40.2,105.6,27.6,130.2,52,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.44,-5.74,-6.95,143.23,3664.11,22728459,0
