"","code","title","timing","scope","severity","score","invasive","sp"
"1","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Slow, Significant Declines","Low Impact: 5",NA,"Icterus northropi"
"2","11.4","Storms & flooding","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA,"Icterus northropi"
"3","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus northropi"
"4","2.1.4","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus northropi"
"5","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus northropi"
"6","7.1.1","Increase in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus northropi"
"7","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Icterus northropi"
"8","8.1","Invasive non-native/alien species/diseases (Canis familiaris)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Canis familiaris","Icterus northropi"
"9","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6","Felis catus","Icterus northropi"
"10","8.1","Invasive non-native/alien species/diseases (Molothrus bonariensis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Molothrus bonariensis","Icterus northropi"
"11","8.1","Invasive non-native/alien species/diseases (Pantherophis guttatus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Pantherophis guttatus","Icterus northropi"
"12","8.1","Invasive non-native/alien species/diseases (Procyon lotor)","Unknown","Minority (<50%)","Negligible declines","Unknown","Procyon lotor","Icterus northropi"
"13","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Rattus rattus","Icterus northropi"
"14","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Icterus northropi"
"15","8.1.2","Named species (Canis familiaris)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Canis familiaris","Icterus northropi"
"16","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6","Felis catus","Icterus northropi"
"17","8.1.2","Named species (Molothrus bonariensis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Molothrus bonariensis","Icterus northropi"
"18","8.1.2","Named species (Pantherophis guttatus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Pantherophis guttatus","Icterus northropi"
"19","8.1.2","Named species (Procyon lotor)","Unknown","Minority (<50%)","Negligible declines","Unknown","Procyon lotor","Icterus northropi"
"20","8.1.2","Named species (Rattus rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Rattus rattus","Icterus northropi"
"21","8.2","Problematic native species/diseases (Chilabothrus strigilatus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Chilabothrus strigilatus","Icterus northropi"
"22","8.2","Problematic native species/diseases (Cubophis vudii)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cubophis vudii","Icterus northropi"
"23","8.2.2","Named species (Chilabothrus strigilatus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Chilabothrus strigilatus","Icterus northropi"
"24","8.2.2","Named species (Cubophis vudii)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cubophis vudii","Icterus northropi"
"25","10.1","Volcanoes","Past, Likely to Return","Whole (>90%)","Very Rapid Declines","Past Impact",NA,"Icterus oberi"
"26","1.1","Housing & urban areas","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus oberi"
"27","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Icterus oberi"
"28","11.2","Droughts","Ongoing","Whole (>90%)","Causing/Could cause fluctuations","Medium Impact: 7",NA,"Icterus oberi"
"29","11.4","Storms & flooding","Past, Likely to Return","Whole (>90%)","Very Rapid Declines","Past Impact",NA,"Icterus oberi"
"30","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus oberi"
"31","2.1.2","Small-holder farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus oberi"
"32","8.1","Invasive non-native/alien species/diseases","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus oberi"
"33","8.1","Invasive non-native/alien species/diseases (Sus domesticus)","Future","Majority (50-90%)","Slow, Significant Declines","Low Impact: 4","Sus domesticus","Icterus oberi"
"34","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Whole (>90%)","Very Rapid Declines","High Impact: 9","Unspecified Rattus","Icterus oberi"
"35","8.1.1","Unspecified species","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icterus oberi"
"36","8.1.2","Named species (Sus domesticus)","Future","Majority (50-90%)","Slow, Significant Declines","Low Impact: 4","Sus domesticus","Icterus oberi"
"37","8.1.2","Named species (Unspecified Rattus)","Ongoing","Whole (>90%)","Very Rapid Declines","High Impact: 9","Unspecified Rattus","Icterus oberi"
"38","8.2","Problematic native species/diseases (Margarops fuscatus)","Ongoing","Whole (>90%)","Very Rapid Declines","High Impact: 9","Margarops fuscatus","Icterus oberi"
"39","8.2.2","Named species (Margarops fuscatus)","Ongoing","Whole (>90%)","Very Rapid Declines","High Impact: 9","Margarops fuscatus","Icterus oberi"
"40","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Icthyophaga humilis"
"41","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Icthyophaga humilis"
"42","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"43","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Icthyophaga ichthyaetus"
"44","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Icthyophaga ichthyaetus"
"45","5.1.3","Persecution/control","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"46","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"47","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"48","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"49","7.2.10","Large dams","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"50","9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"51","9.2.3","Type Unknown/Unrecorded","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Icthyophaga ichthyaetus"
"52","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Illadopsis rufescens"
"53","2.1.2","Small-holder farming","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Illadopsis rufescens"
