"","code","title","timing","scope","severity","score","invasive","species","X.y","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n"
"1","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"2","2.1.3","Agro-industry farming","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"3","5.1","Hunting & trapping terrestrial animals (Bos taurus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Bos taurus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"4","5.1.3","Persecution/control (Bos taurus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Bos taurus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"5","5.3","Logging & wood harvesting","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"6","5.3.4","Unintentional effects: (large scale) [harvest]","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"7","6.3","Work & other activities","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"8","8.1","Invasive non-native/alien species/diseases (Bos taurus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Bos taurus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"9","8.1","Invasive non-native/alien species/diseases (Capra hircus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Capra hircus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"10","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
