"","family","year","n"
"1","Phylloscopidae",2018,550545
"2","Picidae",2018,5270533
"3","Turdidae",2018,4419623
"4","Corvidae",2018,6631961
"5","Fringillidae",2019,5527151
"6","Corvidae",2009,1435664
"7","Charadriidae",2009,428579
"8","Sylviidae",2010,312682
"9","Picidae",2016,3744433
"10","Fringillidae",2018,5172162
"11","Fringillidae",2016,3522664
"12","Laridae",2009,1057299
"13","Regulidae",2013,373652
"14","Paridae",2012,1688688
"15","Turdidae",2019,4986517
"16","Laniidae",2016,275570
"17","Motacillidae",2009,383356
"18","Falconidae",2013,549761
"19","Podicipedidae",2009,276356
"20","Anatidae",2019,11679584
"21","Phalacrocoracidae",2009,290361
"22","Sylviidae",2019,603873
"23","Troglodytidae",2018,2244557
"24","Paridae",2013,1898846
"25","Paridae",2018,3895031
"26","Muscicapidae",2019,1660072
"27","Falconidae",2011,411342
"28","Acrocephalidae",2019,311640
"29","Muscicapidae",2010,659188
"30","Muscicapidae",2009,730313
"31","Fringillidae",2013,2417797
"32","Turdidae",2011,1209267
"33","Cuculidae",2011,155706
"34","Columbidae",2010,1107403
"35","Turdidae",2016,3105521
"36","Certhiidae",2009,83352
"37","Apodidae",2011,197900
"38","Paridae",2010,1350756
"39","Anatidae",2013,5628209
"40","Accipitridae",2019,5114169
"41","Columbidae",2018,5153069
"42","Troglodytidae",2016,1523023
"43","Apodidae",2019,775078
"44","Ardeidae",2009,723933
"45","Sylviidae",2009,320233
"46","Certhiidae",2019,303418
"47","Turdidae",2013,1868603
"48","Muscicapidae",2016,1135781
"49","Alaudidae",2013,206490
"50","Anatidae",2009,2840518
"51","Fringillidae",2009,1700563
"52","Certhiidae",2017,243205
"53","Passeridae",2011,485649
"54","Muscicapidae",2012,665107
"55","Sturnidae",2011,539085
"56","Phalacrocoracidae",2012,482863
"57","Columbidae",2019,5857310
"58","Columbidae",2009,1285498
"59","Sylviidae",2016,445811
"60","Scolopacidae",2009,910409
"61","Phylloscopidae",2017,538300
"62","Acrocephalidae",2012,183853
"63","Certhiidae",2018,290885
"64","Rallidae",2009,332416
"65","Alaudidae",2016,334405
"66","Paridae",2019,4258929
"67","Muscicapidae",2017,1326680
"68","Rallidae",2016,1069975
"69","Passeridae",2013,698609
"70","Regulidae",2016,604770
"71","Alaudidae",2010,141180
"72","Corvidae",2010,1471851
"73","Corvidae",2019,7459920
"74","Corvidae",2013,2646592
"75","Sylviidae",2013,335133
"76","Certhiidae",2013,140808
"77","Phylloscopidae",2019,620639
"78","Columbidae",2016,3381113
"79","Muscicapidae",2013,700667
"80","Paridae",2011,1300868
"81","Sittidae",2017,1214307
"82","Passeridae",2009,531820
"83","Cuculidae",2018,724066
"84","Ardeidae",2010,819322
"85","Turdidae",2010,1122247
"86","Hirundinidae",2010,707781
"87","Paridae",2016,2896281
"88","Picidae",2019,6018251
"89","Hirundinidae",2018,2827617
"90","Alcedinidae",2009,160360
"91","Motacillidae",2018,975524
"92","Sturnidae",2018,2078984
"93","Aegithalidae",2009,139961
"94","Hirundinidae",2009,787791
"95","Motacillidae",2013,477435
"96","Falconidae",2018,1226346
"97","Passeridae",2019,1915585
"98","Tytonidae",2011,15223
"99","Fringillidae",2012,2123234
"100","Accipitridae",2013,2050130
"101","Corvidae",2016,4585686
"102","Alaudidae",2018,453992
"103","Sturnidae",2016,1449641
"104","Troglodytidae",2012,707276
"105","Acrocephalidae",2018,309858
"106","Accipitridae",2009,1049821
"107","Troglodytidae",2019,2685690
"108","Apodidae",2010,169577
"109","Sylviidae",2018,572808
"110","Anatidae",2010,3176384
"111","Muscicapidae",2011,636085
"112","Hirundinidae",2013,1176725
"113","Muscicapidae",2018,1483594
"114","Acrocephalidae",2013,195822
"115","Psittacidae",2019,1190481
"116","Motacillidae",2012,419024
"117","Emberizidae",2010,1430049
"118","Turdidae",2009,1230079
"119","Acrocephalidae",2010,191509
"120","Ardeidae",2019,4527131
"121","Picidae",2009,1023982
