,species,gbif_mean,gbif_sum
1,Abeillia abeillei,244.0,4636
2,Abroscopus albogularis,1859.3,35327
3,Abroscopus schisticeps,309.3,5876
4,Abroscopus superciliaris,460.6,8751
5,Aburria aburri,439.6,8352
6,Aburria cujubi,213.1,3835
7,Aburria cumanensis,668.6,12704
8,Aburria jacutinga,104.6,1988
9,Aburria pipile,25.1,476
10,Acanthagenys rufogularis,5677.9,107880
11,Acanthidops bairdi,89.3,1697
12,Acanthis flammea,96863.2,1840401
13,Acanthis hornemanni,5280.0,100320
14,Acanthisitta chloris,658.4,12510
15,Acanthiza apicalis,1970.7,37443
16,Acanthiza chrysorrhoa,10571.5,200858
17,Acanthiza cinerea,28.2,479
18,Acanthiza ewingii,502.3,9543
19,Acanthiza inornata,230.2,4374
20,Acanthiza iredalei,89.8,1706
21,Acanthiza katherina,166.8,3170
22,Acanthiza lineata,5729.9,108868
23,Acanthiza murina,14.9,209
24,Acanthiza nana,5190.9,98627
25,Acanthiza pusilla,18390.7,349423
26,Acanthiza reguloides,3194.2,60690
27,Acanthiza robustirostris,100.8,1815
28,Acanthiza uropygialis,1882.2,35762
29,Acanthoptila nipalensis,1.0,1
30,Acanthorhynchus superciliosus,351.1,6671
31,Acanthorhynchus tenuirostris,12052.6,228999
32,Acanthornis magna,107.9,2050
33,Accipiter albogularis,9.6,153
34,Accipiter badius,12279.6,233313
35,Accipiter bicolor,633.5,12036
36,Accipiter brachyurus,1.0,1
37,Accipiter brevipes,677.6,12874
38,Accipiter butleri,2.3,9
39,Accipiter castanilius,3.6,54
40,Accipiter chilensis,2.5,20
41,Accipiter chionogaster,2.0,10
42,Accipiter cirrocephalus,2087.5,39663
43,Accipiter collaris,31.8,572
44,Accipiter cooperii,141326.3,2685199
45,Accipiter erythrauchen,7.2,86
46,Accipiter erythronemius,3.2,45
47,Accipiter erythropus,20.5,389
48,Accipiter fasciatus,4433.9,84244
49,Accipiter francesiae,61.6,1170
50,Accipiter gentilis,28905.2,549198
51,Accipiter griseiceps,12.9,206
52,Accipiter gularis,659.7,12534
53,Accipiter gundlachi,80.5,1530
54,Accipiter haplochrous,23.6,424
55,Accipiter henicogrammus,9.8,156
56,Accipiter henstii,25.8,438
57,Accipiter hiogaster,113.5,2043
58,Accipiter imitator,1.5,6
59,Accipiter luteoschistaceus,3.0,3
60,Accipiter madagascariensis,34.1,613
61,Accipiter melanochlamys,10.3,165
62,Accipiter melanoleucus,1345.6,25567
63,Accipiter meyerianus,3.7,59
64,Accipiter minullus,821.3,15605
65,Accipiter nanus,8.1,130
66,Accipiter nisus,79176.1,1504345
67,Accipiter novaehollandiae,1135.9,21583
68,Accipiter ovampensis,348.8,6627
69,Accipiter poliocephalus,24.2,435
70,Accipiter poliogaster,27.6,525
71,Accipiter princeps,1.0,1
72,Accipiter rhodogaster,7.8,132
73,Accipiter rufitorques,59.9,1079
74,Accipiter rufiventris,176.3,3350
75,Accipiter soloensis,840.1,15962
76,Accipiter striatus,62370.2,1185034
77,Accipiter superciliosus,189.7,3605
78,Accipiter tachiro,1307.8,24849
79,Accipiter toussenelii,50.8,966
80,Accipiter trinotatus,20.2,363
81,Accipiter trivirgatus,3150.2,59853
82,Accipiter ventralis,3.7,56
83,Accipiter virgatus,924.1,17558
84,Aceros cassidix,74.6,1418
85,Aceros corrugatus,115.8,2201
86,Aceros leucocephalus,22.6,407
87,Aceros nipalensis,144.2,2739
88,Aceros waldeni,1.0,3
89,Achaetops pycnopygius,95.3,1811
90,Acridotheres albocinctus,38.6,695
91,Acridotheres burmannicus,383.5,7286
92,Acridotheres cinereus,2.3,7
93,Acridotheres cristatellus,4973.3,94493
94,Acridotheres fuscus,8763.2,166500
95,Acridotheres ginginianus,2048.3,38918
96,Acridotheres grandis,2912.3,55333
97,Acridotheres javanicus,11344.3,215541
98,Acridotheres leucocephalus,5.0,5
99,Acridotheres melanopterus,5.1,77
100,Acridotheres tristis,91267.4,1734080
101,Acritillas indica,2818.9,53560
102,Acrobatornis fonsecai,14.8,251
103,Acrocephalus aequinoctialis,2.9,29
104,Acrocephalus agricola,800.7,15214
105,Acrocephalus arundinaceus,9875.1,187627
106,Acrocephalus atyphus,5.9,82
107,Acrocephalus australis,6879.6,130712
108,Acrocephalus baeticatus,2441.9,46396
109,Acrocephalus bistrigiceps,771.2,14653
110,Acrocephalus brevipennis,27.2,408
111,Acrocephalus caffer,4.2,63
112,Acrocephalus concinens,20.4,368
113,Acrocephalus dumetorum,10221.2,194203
114,Acrocephalus familiaris,19.2,211
115,Acrocephalus gracilirostris,4138.9,78639
116,Acrocephalus griseldis,30.5,580
117,Acrocephalus hiwae,13.3,226
118,Acrocephalus kerearako,5.3,32
119,Acrocephalus longirostris,1.0,1
120,Acrocephalus luscinius,6.5,52
121,Acrocephalus melanopogon,1740.6,33071
122,Acrocephalus mendanae,5.6,62
123,Acrocephalus newtoni,61.6,1171
124,Acrocephalus orientalis,1590.3,30216
125,Acrocephalus orinus,3.2,29
126,Acrocephalus paludicola,600.0,11400
127,Acrocephalus palustris,17439.2,331345
128,Acrocephalus palustris x scirpaceus,65.8,856
129,Acrocephalus percernis,6.0,84
130,Acrocephalus rehsei,4.3,17
131,Acrocephalus rimitarae,4.3,13
132,Acrocephalus rodericanus,4.5,68
133,Acrocephalus rufescens,106.9,2031
134,Acrocephalus schoenobaenus,38978.8,740598
135,Acrocephalus scirpaceus,76409.8,1451787
136,Acrocephalus sechellensis,11.8,225
137,Acrocephalus sorghophilus,1.8,9
138,Acrocephalus stentoreus,3672.8,69784
139,Acrocephalus syrinx,7.1,100
140,Acrocephalus taiti,3.2,19
141,Acrocephalus tangorum,51.3,975
142,Acrocephalus vaughani,2.1,15
143,Acropternis orthonyx,417.1,7924
144,Acryllium vulturinum,178.2,3385
145,Actenoides bougainvillei,15.0,15
146,Actenoides concretus,99.0,1881
147,Actenoides hombroni,22.1,397
148,Actenoides lindsayi,76.8,1459
149,Actenoides monachus,48.0,864
150,Actenoides princeps,17.1,274
151,Actinodura egertoni,310.1,5892
152,Actinodura morrisoniana,315.7,5998
153,Actinodura nipalensis,111.7,2011
154,Actinodura ramsayi,119.1,2263
155,Actinodura sodangorum,3.9,39
156,Actinodura souliei,4.8,57
157,Actinodura waldeni,76.2,1372
158,Actitis hypoleucos,72343.1,1374518
159,Actitis macularius,115627.8,2196929
160,Actophilornis africanus,3889.1,73893
161,Actophilornis albinucha,26.1,418
162,Adelomyia melanogenys,2407.6,45744
163,Aechmophorus clarkii,10985.1,208716
164,Aechmophorus occidentalis,36191.6,687640
165,Aechmorhynchus parvirostris,4.4,53
166,Aegintha temporalis,1.0,1
167,Aegithalos bonvaloti,2.2,11
168,Aegithalos caudatus,80635.4,1532072
169,Aegithalos concinnus,2432.4,46216
170,Aegithalos fuliginosus,23.7,427
171,Aegithalos glaucogularis,266.5,5064
172,Aegithalos iouschistos,163.9,2951
173,Aegithalos leucogenys,10.1,91
174,Aegithalos niveogularis,18.6,279
175,Aegithalos sharpei,4.8,29
176,Aegithina lafresnayei,286.6,5445
177,Aegithina nigrolutea,170.1,3231
178,Aegithina tiphia,11419.3,216967
179,Aegithina viridissima,333.5,6336
180,Aegolius acadicus,4581.0,87039
181,Aegolius funereus,5800.7,110213
182,Aegolius harrisii,48.6,923
183,Aegolius ridgwayi,47.7,906
184,Aegotheles affinis,7.8,31
185,Aegotheles albertisi,19.1,306
186,Aegotheles bennettii,17.2,292
187,Aegotheles crinifrons,16.2,276
188,Aegotheles cristatus,1827.6,34724
189,Aegotheles insignis,18.1,289
190,Aegotheles tatei,4.0,36
191,Aegotheles wallacii,6.5,72
192,Aegypius monachus,11235.3,213470
193,Aenigmatolimnas marginalis,10.9,185
194,Aepyornis maximus,1.0,1
195,Aepypodius arfakianus,7.8,86
196,Aepypodius bruijnii,2.3,14
197,Aerodramus amelis,156.5,2817
198,Aerodramus bartschi,36.2,651
199,Aerodramus brevirostris,603.8,10869
200,Aerodramus ceramensis,20.1,261
201,Aerodramus elaphrus,17.2,310
202,Aerodramus francicus,78.7,1495
203,Aerodramus fuciphagus,288.3,5477
204,Aerodramus germani,2288.2,43476
205,Aerodramus hirundinaceus,68.6,1166
206,Aerodramus infuscatus,16.0,256
207,Aerodramus inquietus,9.9,148
208,Aerodramus leucophaeus,3.8,57
209,Aerodramus maximus,116.2,2092
210,Aerodramus mearnsi,60.3,1086
211,Aerodramus ocistus,5.4,87
212,Aerodramus orientalis,2.0,4
213,Aerodramus pelewensis,156.7,2821
214,Aerodramus salangana,48.9,880
215,Aerodramus sawtelli,3.4,44
216,Aerodramus sororum,41.9,754
217,Aerodramus spodiopygius,204.5,3886
218,Aerodramus terraereginae,1029.4,19558
219,Aerodramus unicolor,1134.0,21546
220,Aerodramus vanikorensis,271.7,4890
221,Aerodramus vulcanorum,3.8,60
222,Aerodramus whiteheadi,4.0,8
223,Aeronautes andecolus,471.8,8965
224,Aeronautes montivagus,357.5,6792
225,Aeronautes saxatalis,14568.4,276800
226,Aethia cristatella,616.3,11094
227,Aethia psittacula,599.3,11387
228,Aethia pusilla,532.5,9585
229,Aethia pygmaea,45.8,824
230,Aethopyga bella,34.6,623
231,Aethopyga boltoni,11.8,200
232,Aethopyga christinae,704.8,13391
233,Aethopyga decorosa,11.1,166
234,Aethopyga duyvenbodei,5.1,46
235,Aethopyga eximia,1.6,11
236,Aethopyga flagrans,37.1,667
237,Aethopyga gouldiae,561.2,10662
238,Aethopyga guimarasensis,13.1,196
239,Aethopyga ignicauda,255.3,4851
240,Aethopyga jefferyi,23.7,427
241,Aethopyga latouchii,2.5,5
242,Aethopyga linaraborae,31.0,279
243,Aethopyga magnifica,30.2,574
