code,subcategory,threat_category,category_title
1.1,Housing & urban areas,1,Residential & commercial development
1.2,Commercial & industrial areas,1,Residential & commercial development
1.3,Tourism & recreation areas,1,Residential & commercial development
2.1,,2,Agriculture & aquaculture
2.2,,2,
2.3,,2,
2.4,,2,
3.1,,,
3.2,,,
3.3,,,
4.1,,,
4.2,,,
4.3,,,
4.4,,,
5.1,,,
5.2,,,
5.3,,,
5.4,,,
6.1,,,
6.2,,,
6.3,,,
7.1,,,
7.2,,,
7.3,,,
8.1,,,
8.2,,,
8.3,,,
8.4,,,
8.5,,,
8.6,,,
9.1,,,
9.2,,,
9.3,,,
9.4,,,
9.5,,,
9.6,,,
10.1,,,
10.2,,,
10.3,,,
11.1,,,
11.2,,,
11.3,,,
11.4,,,
11.5,,,
12.1,,,
2.1.1,,,
2.1.2,,,
2.1.3,,,
2.1.4,,,
2.2.1,,,
2.2.2,,,
2.2.3,,,
2.3.1,,,
2.3.2,,,
2.3.3,,,
2.3.4,,,
2.4.1,,,
2.4.2,,,
2.4.3,,,
5.1.1,,,
5.1.2,,,
5.1.3,,,
5.1.4,,,
5.2.2,,,
5.2.3,,,
5.3.3,,,
5.3.4,,,
5.3.5,,,
5.4.1,,,
5.4.3,,,
5.4.4,,,
5.4.5,,,
7.1.1,,,
7.1.2,,,
7.1.3,,,
7.2.1,,,
7.2.10,,,
7.2.11,,,
7.2.2,,,
7.2.3,,,
7.2.4,,,
7.2.5,,,
7.2.6,,,
7.2.7,,,
7.2.8,,,
7.2.9,,,
8.1.1,,,
8.1.2,,,
8.2.1,,,
8.2.2,,,
8.4.1,,,
8.4.2,,,
8.5.1,,,
8.5.2,,,
9.1.1,,,
9.1.2,,,
9.1.3,,,
9.2.1,,,
9.2.2,,,
9.2.3,,,
9.3.1,,,
9.3.2,,,
9.3.3,,,
9.3.4,,,
9.5.1,,,
9.5.4,,,
9.6.1,,,
NA_,,,
