"","species_names","iucn_pull"
"1","Pan paniscus","Pan paniscus"
"2","Gorilla gorilla","1.1"
"3","Chiroxiphia linearis","11.1"
"4","Lemur catta","2.1"
"5","Pan paniscus","2.1"
"6","Gorilla gorilla","2.1"
"7","Chiroxiphia linearis","2.1.1"
"8","Lemur catta","2.1.2"
"9","Pan paniscus","2.1.3"
"10","Gorilla gorilla","2.3"
"11","Chiroxiphia linearis","2.3"
"12","Lemur catta","2.3.2"
"13","Pan paniscus","2.3.3"
"14","Gorilla gorilla","3.2"
"15","Chiroxiphia linearis","5.1"
"16","Lemur catta","5.1"
"17","Pan paniscus","5.1.1"
"18","Gorilla gorilla","5.1.2"
"19","Chiroxiphia linearis","5.3"
"20","Lemur catta","5.3"
"21","Pan paniscus","5.3.3"
"22","Gorilla gorilla","5.3.4"
"23","Chiroxiphia linearis","6.2"
"24","Lemur catta","6.3"
"25","Pan paniscus","8.5"
"26","Gorilla gorilla","8.5.1"
"27","Chiroxiphia linearis","Housing & urban areas"
"28","Lemur catta","Habitat shifting & alteration"
"29","Pan paniscus","Annual & perennial non-timber crops"
"30","Gorilla gorilla","Annual & perennial non-timber crops"
"31","Chiroxiphia linearis","Annual & perennial non-timber crops"
"32","Lemur catta","Shifting agriculture"
"33","Pan paniscus","Small-holder farming"
"34","Gorilla gorilla","Agro-industry farming"
"35","Chiroxiphia linearis","Livestock farming & ranching"
"36","Lemur catta","Livestock farming & ranching"
"37","Pan paniscus","Small-holder grazing, ranching or farming"
"38","Gorilla gorilla","Agro-industry grazing, ranching or farming"
"39","Chiroxiphia linearis","Mining & quarrying"
"40","Lemur catta","Hunting & trapping terrestrial animals"
"41","Pan paniscus","Hunting & trapping terrestrial animals"
"42","Gorilla gorilla","Intentional use (species is the target)"
"43","Chiroxiphia linearis","Unintentional effects (species is not the target)"
"44","Lemur catta","Logging & wood harvesting"
"45","Pan paniscus","Logging & wood harvesting"
"46","Gorilla gorilla","Unintentional effects: (subsistence/small scale) [harvest]"
"47","Chiroxiphia linearis","Unintentional effects: (large scale) [harvest]"
"48","Lemur catta","War, civil unrest & military exercises"
"49","Pan paniscus","Work & other activities"
"50","Gorilla gorilla","Viral/prion-induced diseases"
"51","Chiroxiphia linearis","Unspecified species"
"52","Lemur catta","Ongoing"
"53","Pan paniscus","Ongoing"
"54","Gorilla gorilla","Ongoing"
"55","Chiroxiphia linearis","Ongoing"
"56","Lemur catta","Ongoing"
"57","Pan paniscus","Ongoing"
"58","Gorilla gorilla","Ongoing"
"59","Chiroxiphia linearis","Ongoing"
"60","Lemur catta","Ongoing"
"61","Pan paniscus","Ongoing"
"62","Gorilla gorilla","Ongoing"
"63","Chiroxiphia linearis","Ongoing"
"64","Lemur catta","Future"
"65","Pan paniscus","Ongoing"
"66","Gorilla gorilla","Ongoing"
"67","Chiroxiphia linearis","Ongoing"
"68","Lemur catta","Ongoing"
"69","Pan paniscus","Ongoing"
"70","Gorilla gorilla","Ongoing"
"71","Chiroxiphia linearis","Ongoing"
"72","Lemur catta","Ongoing"
"73","Pan paniscus","Past, Likely to Return"
"74","Gorilla gorilla","Ongoing"
"75","Chiroxiphia linearis","Ongoing"
"76","Lemur catta","Ongoing"
"77","Pan paniscus","Minority (<50%)"
"78","Gorilla gorilla","Whole (>90%)"
"79","Chiroxiphia linearis","Majority (50-90%)"
"80","Lemur catta","Majority (50-90%)"
"81","Pan paniscus","Minority (<50%)"
"82","Gorilla gorilla","Majority (50-90%)"
"83","Chiroxiphia linearis","Majority (50-90%)"
"84","Lemur catta","Minority (<50%)"
"85","Pan paniscus","Minority (<50%)"
"86","Gorilla gorilla","Minority (<50%)"
"87","Chiroxiphia linearis","Minority (<50%)"
"88","Lemur catta","Minority (<50%)"
"89","Pan paniscus","Minority (<50%)"
"90","Gorilla gorilla","Majority (50-90%)"
"91","Chiroxiphia linearis","Minority (<50%)"
"92","Lemur catta","Majority (50-90%)"
"93","Pan paniscus","Minority (<50%)"
"94","Gorilla gorilla","Majority (50-90%)"
"95","Chiroxiphia linearis","Minority (<50%)"
"96","Lemur catta","Majority (50-90%)"
"97","Pan paniscus","Minority (<50%)"
"98","Gorilla gorilla","Majority (50-90%)"
"99","Chiroxiphia linearis","Minority (<50%)"
"100","Lemur catta","Minority (<50%)"
"101","Pan paniscus","Minority (<50%)"
"102","Gorilla gorilla","Negligible declines"
"103","Chiroxiphia linearis","Slow, Significant Declines"
"104","Lemur catta","Rapid Declines"
"105","Pan paniscus","Slow, Significant Declines"
"106","Gorilla gorilla","Very Rapid Declines"
"107","Chiroxiphia linearis","Rapid Declines"
"108","Lemur catta","Slow, Significant Declines"
"109","Pan paniscus","Very Rapid Declines"
"110","Gorilla gorilla","Rapid Declines"
"111","Chiroxiphia linearis","Unknown"
"112","Lemur catta","Unknown"
"113","Pan paniscus","Rapid Declines"
"114","Gorilla gorilla","Rapid Declines"
"115","Chiroxiphia linearis","Very Rapid Declines"
"116","Lemur catta","Very Rapid Declines"
"117","Pan paniscus","Very Rapid Declines"
"118","Gorilla gorilla","Very Rapid Declines"
"119","Chiroxiphia linearis","Negligible declines"
"120","Lemur catta","Slow, Significant Declines"
"121","Pan paniscus","Negligible declines"
"122","Gorilla gorilla","Slow, Significant Declines"
"123","Chiroxiphia linearis","Rapid Declines"
"124","Lemur catta","Slow, Significant Declines"
"125","Pan paniscus","Very Rapid Declines"
"126","Gorilla gorilla","Very Rapid Declines"
"127","Chiroxiphia linearis","Low Impact: 4"
"128","Lemur catta","Medium Impact: 7"
"129","Pan paniscus","Medium Impact: 7"
"130","Gorilla gorilla","Medium Impact: 6"
"131","Chiroxiphia linearis","Medium Impact: 7"
"132","Lemur catta","Medium Impact: 7"
"133","Pan paniscus","Medium Impact: 6"
"134","Gorilla gorilla","Medium Impact: 7"
"135","Chiroxiphia linearis","Medium Impact: 6"
"136","Lemur catta","Unknown"
"137","Pan paniscus","Unknown"
"138","Gorilla gorilla","Medium Impact: 6"
"139","Chiroxiphia linearis","Low Impact: 4"
"140","Lemur catta","High Impact: 8"
"141","Pan paniscus","Medium Impact: 7"
"142","Gorilla gorilla","High Impact: 8"
"143","Chiroxiphia linearis","Medium Impact: 7"
"144","Lemur catta","Low Impact: 5"
"145","Pan paniscus","Low Impact: 5"
"146","Gorilla gorilla","Low Impact: 5"
"147","Chiroxiphia linearis","Low Impact: 5"
"148","Lemur catta","Past Impact"
"149","Pan paniscus","Low Impact: 5"
"150","Gorilla gorilla","Medium Impact: 7"
"151","Chiroxiphia linearis","Medium Impact: 7"
"152","Lemur catta",NA
"153","Pan paniscus",NA
"154","Gorilla gorilla",NA
"155","Chiroxiphia linearis",NA
"156","Lemur catta",NA
"157","Pan paniscus",NA
"158","Gorilla gorilla",NA
"159","Chiroxiphia linearis",NA
"160","Lemur catta",NA
"161","Pan paniscus",NA
"162","Gorilla gorilla",NA
"163","Chiroxiphia linearis",NA
"164","Lemur catta",NA
"165","Pan paniscus",NA
"166","Gorilla gorilla",NA
"167","Chiroxiphia linearis",NA
"168","Lemur catta",NA
"169","Pan paniscus",NA
"170","Gorilla gorilla",NA
"171","Chiroxiphia linearis",NA
"172","Lemur catta",NA
"173","Pan paniscus",NA
"174","Gorilla gorilla",NA
"175","Chiroxiphia linearis",NA
"176","Lemur catta",NA
"177","Pan paniscus","Gorilla gorilla"
"178","Gorilla gorilla","11.1"
"179","Chiroxiphia linearis","2.1"
"180","Lemur catta","2.1"
"181","Pan paniscus","2.1.1"
"182","Gorilla gorilla","2.1.2"
"183","Chiroxiphia linearis","2.1.3"
"184","Lemur catta","3.2"
"185","Pan paniscus","4.1"
"186","Gorilla gorilla","5.1"
"187","Chiroxiphia linearis","5.1"
"188","Lemur catta","5.1.1"
"189","Pan paniscus","5.1.2"
"190","Gorilla gorilla","5.1.3"
"191","Chiroxiphia linearis","5.3"
