"","Sequence","species","English.name","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","wing.lcentr","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","hits"
"1",1,"Struthio camelus","Common Ostrich","Struthionidae","Struthioniformes","AVIBASE-2247CB05",5,1,3,1,4,90.5,51.2,47.3,23.4,481.2,2.425458321,579,0.3,578.7,0.1,309.2,111000,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Herbivore","Omnivore","Terrestrial",-30.91,22.47,2.55,19.29,8595319.06,45020636,1,0,0,0,0,0,0,0,0,0,0,0,0,7.721314786,3.516201118,1.48637613,8.666666667,14.58442945,2.253613559,0,24.2702702702703
"2",2,"Struthio molybdophanes","Somali Ostrich","Struthionidae","Struthioniformes","AVIBASE-40329BB6",3,0,1,2,2,89.2,52,46.7,23.6,466.7,2.059370549,510.5,0.3,510.2,0.1,291.7,111000,"DataFromSplit",NA,"NO",NA,NA,"Shrubland",3,1,"Herbivore","Omnivore","Terrestrial",-3.61,11.62,5.53,43.23,1079016.7,22732795,3,1,0,0,0,0,1,0,0,0,0,0,0,7.721314786,1.441033522,1.48637613,8.666666667,14.47284387,2.230425964,1,6.54054054054054
"3",3,"Rhea americana","Greater Rhea","Rheidae","Struthioniformes","AVIBASE-00986B24",5,2,2,1,4,86.5,35.6,27.2,17.2,308,2.561739171,604.5,0.3,604.2,0.1,62,23000,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Omnivore","Omnivore","Terrestrial",-41.17,-4.65,-21.37,-53.45,6537549.66,22678073,2,1,0,0,0,0,1,0,0,0,0,0,0,6.147278801,3.242545784,5.534943268,23.71433333,11.35707089,1.582965226,0,12.9774774774775
"4",4,"Rhea pennata","Lesser Rhea","Rheidae","Struthioniformes","AVIBASE-BA52A675",5,2,2,1,4,68.6,33.1,24.7,16.3,292.5,2.695347847,629.5,0.4,629.1,0.1,56.8,23900,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Omnivore","Terrestrial",-53.54,-35.63,-44.99,-69.08,660510.26,22728199,1,1,0,0,0,0,1,0,0,0,0,0,0,6.185663044,0.950240737,3.647697233,16.69983949,9.25522508,1.146199566,0,4.52252252252252
"5",9,"Tinamus tao","Grey Tinamou","Tinamidae","Struthioniformes","AVIBASE-346D16D5",11,5,4,2,4,45.5,13.6,6.5,6.8,79.7,0.820550904,278.7,47.3,229.2,17.1,125.6,1600.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-17.32,11.55,-9.07,-59.84,3810389.02,22678135,3,1,0,0,0,0,1,0,0,0,0,0,0,3.481850712,2.702714648,1.576059295,9,5.78539734,0.425165895,1,2.95945945945946
"6",12,"Tinamus major","Great Tinamou","Tinamidae","Struthioniformes","AVIBASE-42D72AE1",6,1,2,3,4,38.5,11.4,5.2,5.9,64.4,0.619069021,241,51.3,193.1,20.9,83.2,1026.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-18.07,18.96,-1.53,-66.06,7672718.39,22678148,1,1,0,0,1,1,1,0,0,0,0,0,0,3.037647245,3.40265433,0.230811813,4,5.839391169,0.436385866,0,8.76576576576577
"7",17,"Crypturellus soui","Little Tinamou","Tinamidae","Struthioniformes","AVIBASE-39DD9DD7",18,8,7,3,5,24.2,8,4.2,3.9,36.4,0.012485631,127.5,32.9,96.4,25.4,47.9,216.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-22.54,19.13,-4.47,-60.51,11151222.76,22678169,1,0,0,0,0,0,0,0,0,0,0,0,0,1.480233211,3.776532515,-0.30728718,2,5.081209652,0.278834989,0,2.05855855855856
"8",40,"Nothoprocta perdicaria","Chilean Tinamou","Tinamidae","Struthioniformes","AVIBASE-F900EE88",10,5,3,2,8,26,13.5,5.9,5.5,34.7,0.194193431,161.5,43.8,119,26.9,50.7,458,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-41.77,-28.41,-35.43,-72.13,118590.62,22678265,1,0,0,0,0,0,0,0,0,0,0,0,0,2.23089849,-0.767094526,1.307009799,8,4.148444563,0.085005472,0,5.20720720720721
"9",49,"Eudromia elegans","Elegant Crested Tinamou","Tinamidae","Struthioniformes","AVIBASE-4E215E82",6,3,2,1,5,29.1,13.8,7.4,7.4,44,0.481719302,215.3,74,141.8,34.3,85.8,702.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-50.16,-19.72,-37.3,-65.92,1493624.4,22678289,1,0,0,0,0,0,0,0,0,0,0,0,0,2.65924394,1.766189008,1.037960302,7,4.964601192,0.254603635,0,2.40540540540541
"10",1545,"Calliphlox amethystina","Amethyst Woodstar","Trochilidae","Caprimulgiformes","AVIBASE-0431F843",9,4,5,0,7,19.3,13.8,1.5,1.7,3.8,-0.48293534,34.8,22.5,12,65.2,24.6,2.8,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Nectarivore","Aerial",-32.42,10.93,-9.78,-53.36,7988128.33,22688211,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.866351277,3.442939839,-0.30728718,2,1.709314859,-0.421848118,0,4.64864864864865
