"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"1","Regulus goodfellowi","Flamecrest",9365,"Regulidae","Passeriformes","AVIBASE-367F4CFC",4,2,2,0,4,9.8,5.4,2,2,17.4,52.5,11.5,41,21.9,35.5,4.1,"Dunning",NA,"NO",NA,NA,0,2,2,"Carnivore","Invertivore","Insessorial",21.9,25.3,23.79,121.1,22144.91,22712580,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.81100576,-3.090812097,-0.43671955,NA,NA,1.651537938,-5.431616977,8.27027027
"2","Amandava formosa","Green Avadavat",9819,"Estrildidae","Passeriformes","AVIBASE-7423EBDD",5,2,3,0,4,10.6,7.9,4.7,5.3,14.1,47.7,4.5,42.9,9.4,38.9,9,"Updated_literature","Birdcare Avicultural","NO",NA,NA,0,2,1,"Omnivore","Granivore","Terrestrial",17.02,25.03,21.68,78.29,686385.24,22719618,3,1,1,0,0,0,0,1,0,1,1,0,0,0,2.62282561,-2.304574494,-0.45641906,NA,NA,1.673476019,-5.393787173,0
"3","Phlogophilus harterti","Peruvian Piedtail",1303,"Trochilidae","Caprimulgiformes","AVIBASE-BDFF6CEB",5,0,0,5,3,18.8,13.5,2.2,1.8,5,45.6,29.2,16.4,64.1,30.2,2.7,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Insessorial",-14.14,-8.66,-12.02,-72.39,33304.03,22687708,2,0,1,0,1,0,1,1,0,0,0,0,0,0,-0.40293502,-3.508547298,-0.465037595,NA,NA,1.69269033,-5.36065421,0
"4","Discosura popelairii","Wire-crested Thorntail",1287,"Trochilidae","Caprimulgiformes","AVIBASE-592083CC",5,3,2,0,3,15.7,11.7,1.3,1.6,4.1,33.2,21.3,11.7,64.8,20,2.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",-14.2,4.58,-5.47,-76.26,164969.5,22687253,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.19714718,-3.585508339,-0.515927993,NA,NA,1.694284504,-5.357905233,0
"5","Lophornis brachylophus","Short-crested Coquette",1294,"Trochilidae","Caprimulgiformes","AVIBASE-B4FBA85D",2,0,2,0,1,12.9,10.1,1.6,1.6,2.8,42.5,27.2,15.3,64,24.5,2.7,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",17.27,17.43,17.34,-100.25,53.27,22687196,5,1,1,0,0,0,0,0,0,0,0,0,0,0,-6.840995389,-3.508547298,-0.477760194,NA,NA,1.701182499,-5.3460104,0
"6","Zosterops flavus","Javan White-eye",8202,"Zosteropidae","Passeriformes","AVIBASE-78053B6F",4,1,0,3,4,12.3,6.7,2.6,2.8,14.4,50.6,10.2,40.4,20.2,33.8,7,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-7.02,1.81,-2.26,111.13,17721.85,22714082,4,1,1,0,1,0,0,1,0,0,0,0,0,0,-1.033815089,-2.555888922,-0.444517273,NA,NA,1.707398068,-5.335292336,0
"7","Lophornis gouldii","Dot-eared Coquette",1292,"Trochilidae","Caprimulgiformes","AVIBASE-F643911E",8,3,5,0,7,13.3,9.7,1.3,1.4,4.4,37.8,25.3,12.5,67,24.1,2.4,"Dunning",NA,"NO",NA,NA,1,2,1,"Herbivore","Nectarivore","Aerial",-16.97,-0.54,-8.27,-52.08,1191137.77,22687187,2,0,1,0,0,1,1,0,0,0,0,0,0,0,3.17405081,-3.626330334,-0.497049297,-1.227670305,2,1.710170366,-5.330511814,0
"8","Ramphomicron dorsale","Black-backed Thornbill",1320,"Trochilidae","Caprimulgiformes","AVIBASE-868924FC",3,2,1,0,3,12.7,9.4,1.4,1.2,5.9,55.2,35.4,19.8,64.2,41.3,3.5,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Generalist",10.58,11.19,10.91,-73.73,2603.99,22687987,4,1,1,0,0,0,0,1,0,1,0,0,1,0,-2.951568547,-3.249036103,-0.425638576,NA,NA,1.731757086,-5.293287893,0
"9","Doricha eliza","Mexican Sheartail",1549,"Trochilidae","Caprimulgiformes","AVIBASE-FAF780DF",4,2,2,0,4,23.1,19.2,1.4,1.3,3.9,38.4,24.4,14,63.6,31.5,2.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",19.41,21.61,20.9,-90.54,2908.29,22688175,2,0,1,0,1,0,0,0,0,0,0,0,0,0,-2.841048151,-3.585508339,-0.494586858,-1.227670305,2,1.761972643,-5.241184493,0
"10","Phlogophilus hemileucurus","Ecuadorian Piedtail",1302,"Trochilidae","Caprimulgiformes","AVIBASE-F231A8EA",4,2,2,0,4,19,15.4,2,1.9,5.2,50,31.8,18.2,63.6,31,2.8,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Insessorial",-5.89,1.66,-1.9,-77.82,25433.94,22687703,3,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.67252893,-3.472179654,-0.446979711,-1.227670305,2,1.766145836,-5.233988281,0
"11","Paludipasser locustella","Locust Finch",9821,"Estrildidae","Passeriformes","AVIBASE-EF6293B7",4,2,2,0,4,9.1,5.2,3.8,5,15.5,44.5,6.4,38,14.5,30,10.6,"Inferred",NA,"YES","Body Mass","Ortygospiza atricollis",0,3,1,"Herbivore","Granivore","Terrestrial",-20.53,10.34,-10.09,27.21,731202.26,22719645,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.68607668,-2.14094507,-0.469552066,2.340000419,5.3,1.769009943,-5.229049444,0
"12","Lonchura stygia","Black Mannikin",9853,"Estrildidae","Passeriformes","AVIBASE-D8C80CAF",3,1,2,0,3,11.9,8.3,6.7,8,15.3,51.2,10.4,40.7,20.4,37,11.2,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Insessorial",-8.59,-6.06,-7.77,140.77,18694.09,22719890,2,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.980406,-2.085885293,-0.442054834,1.475110547,4.5,1.776301617,-5.216475756,0
"13","Laterallus jamaicensis","Black Rail",1758,"Rallidae","Gruiformes","AVIBASE-5C7D70A4",4,1,2,1,4,15,6.8,1.8,3.5,20.9,65.3,14.1,51.3,21.5,28.8,32.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Aquatic predator","Terrestrial",-41.87,41.1,-3.6,-69.34,926165.39,22692353,4,1,1,0,0,0,0,0,0,1,1,0,1,0,2.92243939,-1.017486783,-0.384187526,4.394113866,7.2,1.776870411,-5.215494933,56.04054054
"14","Chaetocercus berlepschi","Esmeraldas Woodstar",1541,"Trochilidae","Caprimulgiformes","AVIBASE-7A28F870",3,1,2,0,2,15.5,13.5,1.8,1.4,3.2,26.7,17.6,9.1,66,13.5,2,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",-2.05,1,-1.09,-80.43,4383.38,22688279,3,1,1,1,1,0,0,1,0,1,0,0,1,0,-2.430793315,-3.80865189,-0.542604412,NA,NA,1.778644875,-5.212435065,0
"15","Chlorostilbon forficatus","Cozumel Emerald",1405,"Trochilidae","Caprimulgiformes","AVIBASE-3737BCB9",4,2,2,0,4,16.8,12.9,1.6,1.7,4.2,47.2,33.2,14,70.3,37.8,2.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",20.26,20.6,20.44,-86.91,488.3,22724454,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-4.625438739,-3.546287626,-0.458471092,-1.227670305,2,1.778672871,-5.212386789,0
"16","Zosterops ficedulinus","Principe White-eye",8185,"Zosteropidae","Passeriformes","AVIBASE-59C09710",4,2,1,1,4,12.1,6.3,2.5,2.9,16.6,53.1,10.2,42.9,19.2,39,9.4,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",1.54,1.62,1.58,7.38,40.89,103890694,4,1,1,0,1,0,0,1,0,0,0,0,0,0,-7.105483176,-2.261089382,-0.434257112,0.934554376,4,1.782569825,-5.205666921,0
