,date,hits,keyword,geo,time,gprop,category
1,1/1/2004,0,Western Parotia,world,all,web,0
2,2/1/2004,0,Western Parotia,world,all,web,0
3,3/1/2004,0,Western Parotia,world,all,web,0
4,4/1/2004,0,Western Parotia,world,all,web,0
5,5/1/2004,0,Western Parotia,world,all,web,0
6,6/1/2004,0,Western Parotia,world,all,web,0
7,7/1/2004,0,Western Parotia,world,all,web,0
8,8/1/2004,0,Western Parotia,world,all,web,0
9,9/1/2004,0,Western Parotia,world,all,web,0
10,10/1/2004,0,Western Parotia,world,all,web,0
11,11/1/2004,0,Western Parotia,world,all,web,0
12,12/1/2004,0,Western Parotia,world,all,web,0
13,1/1/2005,0,Western Parotia,world,all,web,0
14,2/1/2005,0,Western Parotia,world,all,web,0
15,3/1/2005,0,Western Parotia,world,all,web,0
16,4/1/2005,0,Western Parotia,world,all,web,0
17,5/1/2005,0,Western Parotia,world,all,web,0
18,6/1/2005,0,Western Parotia,world,all,web,0
19,7/1/2005,0,Western Parotia,world,all,web,0
20,8/1/2005,0,Western Parotia,world,all,web,0
21,9/1/2005,0,Western Parotia,world,all,web,0
22,10/1/2005,0,Western Parotia,world,all,web,0
23,11/1/2005,0,Western Parotia,world,all,web,0
24,12/1/2005,0,Western Parotia,world,all,web,0
25,1/1/2006,0,Western Parotia,world,all,web,0
26,2/1/2006,0,Western Parotia,world,all,web,0
27,3/1/2006,0,Western Parotia,world,all,web,0
28,4/1/2006,0,Western Parotia,world,all,web,0
29,5/1/2006,0,Western Parotia,world,all,web,0
30,6/1/2006,0,Western Parotia,world,all,web,0
31,7/1/2006,0,Western Parotia,world,all,web,0
32,8/1/2006,0,Western Parotia,world,all,web,0
33,9/1/2006,0,Western Parotia,world,all,web,0
34,10/1/2006,0,Western Parotia,world,all,web,0
35,11/1/2006,0,Western Parotia,world,all,web,0
36,12/1/2006,0,Western Parotia,world,all,web,0
37,1/1/2007,0,Western Parotia,world,all,web,0
38,2/1/2007,0,Western Parotia,world,all,web,0
39,3/1/2007,30,Western Parotia,world,all,web,0
40,4/1/2007,0,Western Parotia,world,all,web,0
41,5/1/2007,0,Western Parotia,world,all,web,0
42,6/1/2007,0,Western Parotia,world,all,web,0
43,7/1/2007,0,Western Parotia,world,all,web,0
44,8/1/2007,0,Western Parotia,world,all,web,0
45,9/1/2007,0,Western Parotia,world,all,web,0
46,10/1/2007,0,Western Parotia,world,all,web,0
47,11/1/2007,0,Western Parotia,world,all,web,0
