"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"1","Regulus goodfellowi","Flamecrest",9365,"Regulidae","Passeriformes","AVIBASE-367F4CFC",4,2,2,0,4,9.8,5.4,2,2,17.4,52.5,11.5,41,21.9,35.5,4.1,"Dunning",NA,"NO",NA,NA,0,2,2,"Carnivore","Invertivore","Insessorial",21.9,25.3,23.79,121.1,22144.91,22712580,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.81100576,-3.090812097,-0.43671955,NA,NA,1.651537938,-5.431616977,8.27027027027027
"2","Laterallus jamaicensis","Black Rail",1758,"Rallidae","Gruiformes","AVIBASE-5C7D70A4",4,1,2,1,4,15,6.8,1.8,3.5,20.9,65.3,14.1,51.3,21.5,28.8,32.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Aquatic predator","Terrestrial",-41.87,41.1,-3.6,-69.34,926165.39,22692353,4,1,1,0,0,0,0,0,0,1,1,0,1,0,2.92243939,-1.017486783,-0.384187526,4.394113866,7.2,1.776870411,-5.215494933,56.0405405405405
"3","Setophaga flavescens","Bahama Warbler",10622,"Parulidae","Passeriformes","AVIBASE-25333CB5",5,1,3,1,1,15.8,12.3,3.1,3.3,16.3,65,15.9,49.1,24.5,50.4,9,"Updated_literature","Dunning (2021)","NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",25.85,26.95,26.5,-77.77,2587.72,22724802,4,1,0,1,1,0,0,1,1,1,0,0,1,0,-2.957836252,-2.304574494,-0.385418745,0.934554376,4,1.813356324,-5.152578995,3.23423423423423
"4","Anthus gustavi","Pechora Pipit",9956,"Motacillidae","Passeriformes","AVIBASE-9DC4CC54",5,2,3,0,4,15.4,9,3.4,3.7,22.2,80.5,25,54.9,31.3,57.3,19.8,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Terrestrial",42.07,72.71,65.91,119.79,4257344.47,22718553,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.44778745,-1.516117133,-0.321805747,1.907555483,4.9,1.84169564,-5.103710966,3.87837837837838
"5","Neochmia ruficauda","Star Finch",9869,"Estrildidae","Passeriformes","AVIBASE-FC54497E",9,4,5,0,4,11.6,8.2,5.5,6.4,13.9,50.9,10.7,39.5,21.3,43.6,11.1,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Terrestrial",-26.85,-10.69,-17.7,127.54,1106611.4,22719673,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3.1004444,-2.094853963,-0.443286053,1.583221781,4.6,1.84588585,-5.096485411,19.2882882882883
"6","Chloebia gouldiae","Gouldian Finch",9888,"Estrildidae","Passeriformes","AVIBASE-886A8AB7",9,5,4,0,4,11.5,8.5,6.9,7.2,14.9,64.2,19.5,44.6,30.4,46.2,13.8,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Generalist",-18.38,-12.45,-15.85,128.89,101027.63,22719744,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0.70678061,-1.877130479,-0.388701997,NA,NA,1.854098279,-5.082323981,36.7342342342342
"7","Linaria johannis","Warsangli Linnet",10205,"Fringillidae","Passeriformes","AVIBASE-3E8BDBBA",4,2,2,0,4,10.3,7.7,5.8,7,14.4,73.6,17.6,56,23.9,51.5,13.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Generalist",10.56,11.04,10.83,47.73,2340.98,22720457,2,0,1,0,0,0,0,1,0,0,0,0,1,0,-3.058043786,-1.906544364,-0.350123791,NA,NA,1.878531862,-5.040190959,2.58558558558559
"8","Zapornia parva","Little Crake",1841,"Rallidae","Gruiformes","AVIBASE-9106EBE6",8,4,4,0,4,19.4,11.1,2.4,4.7,28.6,100.9,43.8,55.8,44,52.9,49.7,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Aquatic predator","Terrestrial",35.65,63.76,50.9,51.02,6785055.74,22692663,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.91386436,-0.595794138,-0.238082833,NA,NA,1.895361542,-5.01117003,5.84234234234234
"9","Lanius minor","Lesser Grey Shrike",6901,"Laniidae","Passeriformes","AVIBASE-8852337B",19,6,13,0,4,20,11,6.9,9.2,25.5,118,42.6,75.5,36,87.6,46.5,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Insessorial",31.54,57.34,47.12,49.2,8409985.28,22705038,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.12856157,-0.662346758,-0.167903332,2.556222887,5.5,1.936744455,-4.939809754,7.20720720720721
"10","Emberiza sulphurata","Yellow Bunting",10292,"Emberizidae","Passeriformes","AVIBASE-AB73D3C9",5,2,3,0,4,12.4,7.5,3.9,5.3,18,68.1,18.4,49.8,26.9,54.9,14.9,"Dunning",NA,"NO",NA,NA,0,1,3,"Omnivore","Omnivore","Terrestrial",35.08,41.55,37.92,139.48,111789.59,22720996,3,1,1,0,0,0,0,1,0,0,1,0,1,0,0.80800501,-1.800437858,-0.372696146,0.826443142,3.9,1.936805179,-4.939705043,24.9324324324324
"11","Zosterops palpebrosus","Indian White-eye",8170,"Zosteropidae","Passeriformes","AVIBASE-0BD6646B",16,3,13,0,13,12.7,6.9,2.9,2.8,14.9,51.8,10.7,40.9,20.7,35.3,8.6,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",5.92,35.84,22.22,90.83,6382482.99,155155950,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.85269905,-2.350036868,-0.439592395,-0.254669198,2.9,1.941772527,-4.931139398,3.71171171171171
"12","Leiothlypis crissalis","Colima Warbler",10576,"Parulidae","Passeriformes","AVIBASE-82F8890F",4,1,3,0,4,13.9,8.8,3.2,3.9,17.6,61.2,11.9,49.4,19.3,56.5,9.3,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",23.18,29.89,25.86,-101.47,99945.67,22721633,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.69601331,-2.271784671,-0.40101419,0.934554376,4,1.946424873,-4.92311694,3.76576576576577
"13","Setophaga cerulea","Cerulean Warbler",10605,"Parulidae","Passeriformes","AVIBASE-D00EC2C9",9,3,5,1,4,14.3,8.2,3.2,3.3,15.5,65.6,21.9,44,33.2,42.3,9,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",33.26,47.22,40.57,-85.47,1849163.51,22721740,2,0,1,1,1,1,0,1,0,0,0,0,0,0,3.61387523,-2.304574494,-0.382956307,0.934554376,4,1.960813984,-4.898304503,16.8873873873874
"14","Estrilda poliopareia","Anambra Waxbill",9784,"Estrildidae","Passeriformes","AVIBASE-A25AFBEA",5,2,3,0,4,9.6,6.7,4.3,6.1,15.1,47.4,9.4,37.9,19.9,40.4,7.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",4.28,7.4,5.64,6.08,43938.47,22719543,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.12582318,-2.48689605,-0.457650279,1.691333015,4.7,1.974293144,-4.875061176,2.62612612612613
"15","Pardalotus punctatus","Spotted Pardalote",6162,"Pardalotidae","Passeriformes","AVIBASE-54C12F34",21,8,13,0,4,8,4.3,3.2,3.7,17.4,56.5,13.7,41.3,24.8,27.6,8.7,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Insessorial",-43.64,-15.23,-31.72,140.79,2170812.26,22704490,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.77424326,-2.338476045,-0.420303293,1.150776844,4.2,1.982886905,-4.860242182,11.2612612612613
"16","Emberiza pusilla","Little Bunting",10289,"Emberizidae","Passeriformes","AVIBASE-1866F80E",14,6,8,0,4,10.7,6.8,3.7,4.6,18,70.3,17.1,52.9,24.5,55.5,14.6,"Dunning",NA,"NO",NA,NA,0,2,3,"Herbivore","Granivore","Generalist",42.9,72.52,62.69,104.75,10268381.21,22720954,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.32821124,-1.820777542,-0.363667204,2.015666717,5,1.983267466,-4.859585946,23.3333333333333
"17","Vidua maryae","Jos Plateau Indigobird",9900,"Viduidae","Passeriformes","AVIBASE-12EC9197",4,2,2,0,4,10.1,6.3,4.6,6,14.1,66.4,16.4,50,24.8,38.2,12.8,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Terrestrial",9.05,10.61,9.7,9.45,12038.87,22728558,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.420472849,-1.9523539,-0.379673055,NA,NA,1.98431656,-4.857776899,3.07657657657658
"18","Setophaga virens","Black-throated Green Warbler",10633,"Parulidae","Passeriformes","AVIBASE-9FFEDE99",15,6,9,0,10,12.5,7.1,3.1,3.3,17.5,62.1,16.5,45.6,26.5,48.4,8.7,"Dunning",NA,"NO",NA,NA,0,1,3,"Omnivore","Invertivore","Insessorial",33.64,58.7,49.03,-84.73,3340613.66,22721689,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.20529637,-2.338476045,-0.397320532,0.934554376,4,1.985630255,-4.855511577,5.03603603603604
"19","Phylloscopus collybita","Common Chiffchaff",7941,"Phylloscopidae","Passeriformes","AVIBASE-458C8CBE",17,8,9,0,4,11.6,6,2.3,2.2,19.7,58.8,10.8,47.7,18.4,48.5,8.3,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",35.32,70.14,53.49,26.75,7564956.38,103843725,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5.02266843,-2.385543556,-0.410863945,2.556222887,5.5,1.997610423,-4.834853097,5.81531531531532
"20","Zapornia pusilla","Baillon's Crake",1842,"Rallidae","Gruiformes","AVIBASE-34D5B04D",5,2,3,0,4,17.4,9.2,2.4,4.8,25,84.4,29.8,54.5,35.3,32.2,35.4,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Aquatic predator","Terrestrial",-47.29,63.86,23.48,74.5,19543407.73,22692667,1,0,1,0,0,0,1,1,0,1,0,0,0,0,5.97177988,-0.935087251,-0.305799896,NA,NA,2.000792801,-4.829365437,1.36936936936937
"21","Spinus cucullatus","Red Siskin",10235,"Fringillidae","Passeriformes","AVIBASE-8B583CC8",5,1,4,0,4,10.5,7.4,4.9,6,10.8,58.1,16,41.4,27.9,32.9,9.8,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",2.66,11.27,8.15,-66.33,3251,22720374,4,1,1,0,0,0,0,1,0,0,0,0,0,0,-2.72965079,-2.219416685,-0.41373679,NA,NA,2.009387494,-4.814544835,34.7702702702703
