species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
ostric2,avibase-2247CB05,1,species,Common Ostrich,Autruche d'Afrique,Struthio camelus,fr
ostric3,avibase-40329BB6,6,species,Somali Ostrich,Autruche de Somalie,Struthio molybdophanes,fr
y00934,avibase-5D14080C,7,slash,Common/Somali Ostrich,Autruche d'Afrique ou A. de Somalie,Struthio camelus/molybdophanes,fr
grerhe1,avibase-00986B24,8,species,Greater Rhea,Nandou d'Amerique,Rhea americana,fr
lesrhe2,avibase-590ADF92,14,species,Lesser Rhea,Nandou de Darwin,Rhea pennata,fr
lesrhe4,avibase-499B75D1,15,issf,Lesser Rhea (Puna),Nandou de Darwin (tarapacensis/garleppi),Rhea pennata tarapacensis/garleppi,fr
lesrhe3,avibase-BA52A675,18,issf,Lesser Rhea (Darwin's),Nandou de Darwin (pennata),Rhea pennata pennata,fr
tabtin1,avibase-5FB99321,19,species,Tawny-breasted Tinamou,Tinamou a tete rousse,Nothocercus julius,fr
higtin1,avibase-66C31E09,20,species,Highland Tinamou,Tinamou de Bonaparte,Nothocercus bonapartei,fr
higtin2,avibase-7A906705,21,issf,Highland Tinamou (South American),Tinamou de Bonaparte (groupe bonapartei),Nothocercus bonapartei [bonapartei Group],fr
higtin3,avibase-E1140648,26,issf,Highland Tinamou (Costa Rican),Tinamou de Bonaparte (frantzii),Nothocercus bonapartei frantzii,fr
hootin1,avibase-68E763AE,27,species,Hooded Tinamou,Tinamou a capuchon,Nothocercus nigrocapillus,fr
grytin1,avibase-346D16D5,30,species,Gray Tinamou,Tinamou tao,Tinamus tao,fr
soltin1,avibase-67E5E0FA,35,species,Solitary Tinamou,Tinamou solitaire,Tinamus solitarius,fr
blatin1,avibase-63C5F122,36,species,Black Tinamou,Tinamou noir,Tinamus osgoodi,fr
gretin1,avibase-42D72AE1,39,species,Great Tinamou,Grand Tinamou,Tinamus major,fr
whttin1,avibase-0480B7C9,52,species,White-throated Tinamou,Tinamou a gorge blanche,Tinamus guttatus,fr
tinamu1,avibase-678BBDA9,53,spuh,Tinamus sp.,Tinamus sp.,Tinamus sp.,fr
cintin1,avibase-7C90F8DB,54,species,Cinereous Tinamou,Tinamou cendre,Crypturellus cinereus,fr
bertin1,avibase-9B036853,55,species,Berlepsch's Tinamou,Tinamou de Berlepsch,Crypturellus berlepschi,fr
littin1,avibase-39DD9DD7,56,species,Little Tinamou,Tinamou soui,Crypturellus soui,fr
teptin1,avibase-F5F9A63F,71,species,Tepui Tinamou,Tinamou des tepuis,Crypturellus ptaritepui,fr
brotin1,avibase-D624C373,72,species,Brown Tinamou,Tinamou brun,Crypturellus obsoletus,fr
