"","keyword","year","count"
"1","African Black Duck",2004,86
"2","African Black Duck",2005,289
"3","African Black Duck",2006,147
"4","African Black Duck",2007,255
"5","African Black Duck",2008,52
"6","African Black Duck",2009,108
"7","African Black Duck",2010,156
"8","African Black Duck",2011,146
"9","African Black Duck",2012,77
"10","African Black Duck",2013,131
"11","African Black Duck",2014,184
"12","African Black Duck",2015,154
"13","African Black Duck",2016,250
"14","African Black Duck",2017,301
"15","African Black Duck",2018,288
"16","African Black Duck",2019,248
"17","African Black Duck",2020,201
"18","African Black Duck",2021,194
"19","African Black Duck",2022,115
"20","African Comb Duck",2004,0
"21","African Comb Duck",2005,100
"22","African Comb Duck",2006,80
"23","African Comb Duck",2007,0
"24","African Comb Duck",2008,97
"25","African Comb Duck",2009,0
"26","African Comb Duck",2010,0
"27","African Comb Duck",2011,29
"28","African Comb Duck",2012,0
"29","African Comb Duck",2013,9
"30","African Comb Duck",2014,0
"31","African Comb Duck",2015,0
"32","African Comb Duck",2016,21
"33","African Comb Duck",2017,21
"34","African Comb Duck",2018,12
"35","African Comb Duck",2019,24
"36","African Comb Duck",2020,16
"37","African Comb Duck",2021,51
"38","African Comb Duck",2022,6
"39","Alagoas Curassow",2004,0
"40","Alagoas Curassow",2005,0
"41","Alagoas Curassow",2006,0
"42","Alagoas Curassow",2007,301
"43","Alagoas Curassow",2008,248
"44","Alagoas Curassow",2009,174
"45","Alagoas Curassow",2010,162
"46","Alagoas Curassow",2011,259
"47","Alagoas Curassow",2012,148
"48","Alagoas Curassow",2013,102
"49","Alagoas Curassow",2014,48
"50","Alagoas Curassow",2015,139
"51","Alagoas Curassow",2016,78
"52","Alagoas Curassow",2017,79
"53","Alagoas Curassow",2018,80
"54","Alagoas Curassow",2019,112
"55","Alagoas Curassow",2020,75
"56","Alagoas Curassow",2021,86
"57","Alagoas Curassow",2022,43
"58","American Black Duck",2004,401
"59","American Black Duck",2005,366
"60","American Black Duck",2006,234
"61","American Black Duck",2007,220
"62","American Black Duck",2008,241
"63","American Black Duck",2009,199
"64","American Black Duck",2010,193
"65","American Black Duck",2011,219
"66","American Black Duck",2012,228
"67","American Black Duck",2013,265
"68","American Black Duck",2014,250
"69","American Black Duck",2015,241
"70","American Black Duck",2016,236
"71","American Black Duck",2017,260
"72","American Black Duck",2018,264
"73","American Black Duck",2019,232
"74","American Black Duck",2020,238
"75","American Black Duck",2021,268
"76","American Black Duck",2022,145
"77","American Flamingo",2004,595
"78","American Flamingo",2005,436
"79","American Flamingo",2006,416
"80","American Flamingo",2007,386
"81","American Flamingo",2008,294
"82","American Flamingo",2009,249
"83","American Flamingo",2010,229
"84","American Flamingo",2011,203
"85","American Flamingo",2012,174
"86","American Flamingo",2013,174
"87","American Flamingo",2014,171
"88","American Flamingo",2015,182
"89","American Flamingo",2016,200
"90","American Flamingo",2017,210
"91","American Flamingo",2018,208
"92","American Flamingo",2019,246
"93","American Flamingo",2020,204
"94","American Flamingo",2021,202
"95","American Flamingo",2022,156
"96","American Wigeon",2004,362
"97","American Wigeon",2005,311
"98","American Wigeon",2006,282
"99","American Wigeon",2007,275
"100","American Wigeon",2008,191
"101","American Wigeon",2009,168
"102","American Wigeon",2010,190
"103","American Wigeon",2011,221
"104","American Wigeon",2012,303
"105","American Wigeon",2013,280
"106","American Wigeon",2014,293
"107","American Wigeon",2015,249
"108","American Wigeon",2016,232
"109","American Wigeon",2017,231
"110","American Wigeon",2018,241
"111","American Wigeon",2019,219
"112","American Wigeon",2020,204
"113","American Wigeon",2021,221
"114","American Wigeon",2022,118
"115","Andaman Teal",2004,153
"116","Andaman Teal",2005,32
"117","Andaman Teal",2006,139
"118","Andaman Teal",2007,101
"119","Andaman Teal",2008,86
"120","Andaman Teal",2009,39
"121","Andaman Teal",2010,109
"122","Andaman Teal",2011,141
"123","Andaman Teal",2012,121
"124","Andaman Teal",2013,142
"125","Andaman Teal",2014,149
"126","Andaman Teal",2015,106
"127","Andaman Teal",2016,147
"128","Andaman Teal",2017,76
"129","Andaman Teal",2018,114
"130","Andaman Teal",2019,189
"131","Andaman Teal",2020,119
"132","Andaman Teal",2021,107
"133","Andaman Teal",2022,131
"134","Andean Flamingo",2004,405
"135","Andean Flamingo",2005,232
"136","Andean Flamingo",2006,90
"137","Andean Flamingo",2007,97
"138","Andean Flamingo",2008,75
"139","Andean Flamingo",2009,47
"140","Andean Flamingo",2010,85
"141","Andean Flamingo",2011,74
"142","Andean Flamingo",2012,59
"143","Andean Flamingo",2013,84
"144","Andean Flamingo",2014,46
"145","Andean Flamingo",2015,59
"146","Andean Flamingo",2016,56
"147","Andean Flamingo",2017,63
"148","Andean Flamingo",2018,86
"149","Andean Flamingo",2019,64
"150","Andean Flamingo",2020,62
"151","Andean Flamingo",2021,49
"152","Andean Flamingo",2022,25
"153","Andean Goose",2004,100
"154","Andean Goose",2005,0
"155","Andean Goose",2006,41
"156","Andean Goose",2007,51
"157","Andean Goose",2008,80
"158","Andean Goose",2009,68
"159","Andean Goose",2010,95
"160","Andean Goose",2011,104
"161","Andean Goose",2012,79
"162","Andean Goose",2013,62
"163","Andean Goose",2014,71
"164","Andean Goose",2015,120
"165","Andean Goose",2016,68
"166","Andean Goose",2017,68
"167","Andean Goose",2018,101
"168","Andean Goose",2019,121
"169","Andean Goose",2020,143
"170","Andean Goose",2021,67
"171","Andean Goose",2022,43
"172","Andean Potoo",2004,0
"173","Andean Potoo",2005,0
"174","Andean Potoo",2006,0
"175","Andean Potoo",2007,100
"176","Andean Potoo",2008,0
"177","Andean Potoo",2009,0
"178","Andean Potoo",2010,42
"179","Andean Potoo",2011,61
"180","Andean Potoo",2012,0
"181","Andean Potoo",2013,18
"182","Andean Potoo",2014,122
"183","Andean Potoo",2015,30
"184","Andean Potoo",2016,30
"185","Andean Potoo",2017,115
"186","Andean Potoo",2018,66
"187","Andean Potoo",2019,37
"188","Andean Potoo",2020,55
"189","Andean Potoo",2021,107
"190","Andean Potoo",2022,65
"191","Antillean Nighthawk",2004,196
"192","Antillean Nighthawk",2005,0
"193","Antillean Nighthawk",2006,0
"194","Antillean Nighthawk",2007,0
"195","Antillean Nighthawk",2008,60
"196","Antillean Nighthawk",2009,11
"197","Antillean Nighthawk",2010,17
"198","Antillean Nighthawk",2011,42
"199","Antillean Nighthawk",2012,35
"200","Antillean Nighthawk",2013,20
"201","Antillean Nighthawk",2014,25
"202","Antillean Nighthawk",2015,33
"203","Antillean Nighthawk",2016,12
"204","Antillean Nighthawk",2017,24
"205","Antillean Nighthawk",2018,12
"206","Antillean Nighthawk",2019,31
"207","Antillean Nighthawk",2020,9
"208","Antillean Nighthawk",2021,34
"209","Antillean Nighthawk",2022,25
"210","Auckland Teal",2004,100
"211","Auckland Teal",2005,123
