"","keyword","count"
"1","African Black Duck",3382
"2","African Comb Duck",466
"3","Alagoas Curassow",2134
"4","American Black Duck",4700
"5","American Flamingo",4935
"6","American Wigeon",4591
"7","Andaman Teal",2201
"8","Andean Flamingo",1758
"9","Andean Goose",1482
"10","Andean Potoo",848
"11","Antillean Nighthawk",586
"12","Auckland Teal",2024
"13","Australasian Grebe",1041
"14","Australian Shelduck",1058
"15","Baer's Pochard",998
"16","Baikal Teal",2604
"17","Bar-headed Goose",2675
"18","Barbary Partridge",1750
"19","Bare-faced Curassow",323
"20","Barnacle Goose",9810
"21","Barred Dove",1721
"22","Barrow's Goldeneye",2120
"23","Bean Goose",6676
"24","Black-bellied Whistling-duck",1442
"25","Black-necked Grebe",1847
"26","Black Francolin",5227
"27","Black Grouse",10358
"28","Black Guan",5219
"29","Black Guineafowl",850
"30","Black Partridge",5360
"31","Black Scoter",6043
"32","Black Swan",1218
"33","Blood Pheasant",2427
"34","Blue-billed Duck",975
"35","Blue-eyed Ground-dove",147
"36","Blue-winged Teal",1478
"37","Blue Duck",15476
"38","Bornean Frogmouth",644
"39","Bornean Peacock-pheasant",799
"40","Brazilian Merganser",1261
"41","Brazilian Teal",1353
"42","Brent Goose",5136
"43","Brown Quail",4672
"44","Brown Teal",13741
"45","Brush Bronzewing",936
"46","Bufflehead",10378
"47","Cackling Goose",3565
"48","California Quail",5448
"49","Campbell Teal",2612
"50","Canada Goose",4054
"51","Canvasback",11881
"52","Cape Barren Goose",2525
"53","Cape Teal",2984
"54","Caribbean Dove",5683
"55","Chatham Pigeon",1802
"56","Cheer Pheasant",1741
"57","Chestnut-breasted Partridge",237
"58","Chestnut Teal",3362
"59","Chilean Flamingo",1800
"60","Chilean Tinamou",1070
"61","Chiloe Wigeon",991
"62","Chinese Francolin",937
"63","Chinese Grouse",2967
"64","Chinese Monal",1268
"65","Chukar",13085
"66","Cinnamon Teal",6748
"67","Clark's Grebe",1503
"68","Collared Nightjar",422
"69","Common Bronzewing",1324
"70","Common Eider",3893
"71","Common Emu",3284
"72","Common Goldeneye",3664
"73","Common Nighthawk",4183
"74","Common Ostrich",3471
"75","Common Pheasant",7250
"76","Common Pochard",2865
"77","Common Potoo",1575
"78","Common Quail",4101
"79","Common Scoter",3523
"80","Common Shelduck",1150
"81","Common Teal",5560
"82","Congo Peafowl",2709
"83","Copper Pheasant",3689
"84","Coscoroba Swan",1948
"85","Crested Duck",6228
"86","Crested Francolin",1542
"87","Crested Guan",768
"88","Crested Partridge",1488
"89","Crested Pigeon",5237
"90","Diamond Dove",11791
"91","Dulit Frogmouth",692
"92","Dusky Grouse",3744
"93","Dusky Scrubfowl",283
"94","Dwarf Cassowary",2113
"95","Eared Dove",2027
"96","Egyptian Goose",8471
"97","Elegant Crested Tinamou",567
"98","Elliot's Pheasant",425
"99","Emperor Goose",2740
"100","Eurasian Collared-dove",1695
"101","Eurasian Wigeon",3514
"102","Falcated Duck",1180
"103","Ferruginous Duck",2771
"104","Freckled Duck",1186
"105","Fulvous Whistling-duck",408
"106","Gadwall",8768
"107","Galapagos Dove",3392
"108","Gambel's Quail",1473
"109","Garganey",NA
"110","Golden Dove",8509
"111","Golden Pheasant",10240
"112","Goosander",4176
"113","Great Argus",6063
"114","Great Crested Grebe",6231
"115","Great Curassow",2818
"116","Great Grebe",4088
"117","Great Potoo",NA
"118","Great Spotted Kiwi",1403
"119","Great Tinamou",2459
"120","Greater Flamingo",5035
"121","Greater Rhea",3275
"122","Greater Scaup",2837
"123","Greater White-fronted Goose",735
"124","Green-winged Teal",2558
"125","Green Junglefowl",1016
"126","Green Peafowl",4128
"127","Green Pheasant",6996
"128","Grenada Dove",2297
"129","Grey Francolin",6227
"130","Grey Junglefowl",1680
"131","Grey Partridge",6319
"132","Grey Teal",5315
"133","Grey Tinamou",657
"134","Greylag Goose",7713
"135","Gunnison Grouse",2842
"136","Hardhead",8105
"137","Harlequin Duck",7403
