,keyword,mean
1,Abbott's Booby,4.807174888
2,Abyssinian Roller,6.766816143
3,Acadian Flycatcher,7.6367713
4,Acorn Woodpecker,23.56053812
5,Adelie Penguin,29.71300448
6,African Black Duck,15.16591928
7,African Blue Tit,4.206278027
8,African Comb Duck,2.089686099
9,African Crake,5.820627803
10,African Cuckoo,3.125560538
11,African Darter,6.33632287
12,African Emerald Cuckoo,11.18834081
13,African Finfoot,4.269058296
14,African Goshawk,3.273542601
15,African Grey Hornbill,11.17488789
16,African Hobby,21.59641256
17,African Jacana,12.9955157
18,African Openbill,5.116591928
19,African Penguin,32.81165919
20,African Pied Starling,2.121076233
21,African Pied Wagtail,7.085201794
22,African Pipit,8.134529148
23,African Pitta,5.596412556
24,African Rail,25.39461883
25,African River Martin,4.443946188
26,African Sacred Ibis,16.74887892
27,African Silverbill,9.210762332
28,African Skimmer,4.556053812
29,African Spoonbill,6.919282511
30,African Swift,29.96860987
31,African Thrush,10.92825112
32,Agami Heron,7.932735426
33,Akekee,8.116591928
34,Akiapolaau,8.291479821
35,Akikiki,11.55156951
36,Akohekohe,4.121076233
37,Alagoas Curassow,9.569506726
38,Alder Flycatcher,9.399103139
39,Aleutian Tern,4.547085202
40,Alexandrine Parakeet,20.29147982
41,Algerian Nuthatch,3.515695067
42,Allen's Hummingbird,6.071748879
43,Alpine Accentor,7.780269058
44,Alpine Swift,21.98206278
45,Alpine Thrush,4.085201794
46,Altamira Oriole,8.233183857
47,Amazilia Hummingbird,5.273542601
48,Amazon Kingfisher,22.21524664
49,Amazonian Royal Flycatcher,6.022421525
50,Amazonian Umbrellabird,2.031390135
51,American Avocet,14.73542601
52,American Bittern,27.39461883
53,American Black Duck,21.07623318
54,American Black Vulture,9.793721973
55,American Bushtit,4.753363229
56,American Coot,25.90134529
57,American Crow,28.57399103
58,American Dipper,20.05381166
59,American Flamingo,22.13004484
60,American Golden Plover,12.94618834
61,American Goldfinch,24.01793722
62,American Kestrel,30.34080717
63,American Oystercatcher,18.34529148
64,American Redstart,10.58744395
65,American Robin,31.25112108
66,American Tree Sparrow,18.47085202
67,American White Pelican,10.37668161
68,American Wigeon,20.58744395
69,American Woodcock,31.46188341
70,American Yellow Warbler,12.87443946
71,Amethyst-throated Hummingbird,2.408071749
72,Amethyst-throated Sunangel,1.206278027
73,Amethyst Sunbird,4.843049327
74,Amethyst Woodstar,5.121076233
75,Amsterdam Albatross,9.161434978
76,Amur Falcon,4.99103139
77,Anambra Waxbill,2.686098655
78,Ancient Murrelet,6.448430493
79,Andaman Teal,9.869955157
80,Andean Avocet,2.762331839
81,Andean Cock-of-the-rock,6.403587444
82,Andean Condor,29.0896861
83,Andean Flamingo,7.883408072
84,Andean Goose,6.64573991
85,Andean Potoo,3.802690583
86,Andre's Swift,15.55156951
87,Anhinga,31.16143498
88,Anianiau,5.3632287
89,Anna's Hummingbird,12.84753363
90,Antarctic Petrel,10.05381166
91,Antarctic Prion,2.937219731
92,Antarctic Tern,7.313901345
93,Antillean Crested Hummingbird,8.766816143
94,Antillean Nighthawk,2.627802691
95,Antipodean Albatross,5.33632287
96,Apapane,11.98206278
97,Aplomado Falcon,11.5426009
98,Apostlebird,11.16143498
99,Aquatic Warbler,7.044843049
100,Arabian Babbler,4.847533632
101,Arabian Bustard,3.071748879
102,Arabian Golden Sparrow,2.448430493
