English.name,newrow
Ruppell's Chat,1
Oberlander's Ground-Thrush,1
Ruppell's Griffon,4
White-backed Vulture,4
Eurasian Griffon,5
Ruppell's Parrot,5
Luhder's Bushshrike,5
Fulleborn's Boubou,5
Ruppell's Warbler,6
Kruper's Nuthatch,6
Ruppell's Starling,6
Ruck's Blue Flycatcher,7
Ruppell's Robin-Chat,7
Ruppell's Weaver,11
Fulleborn's Longclaw,12
Bohm's Bee-eater,12
Sjostedt's Greenbul,15
Alstrom's Warbler,16
Bianchi's Warbler,16
Martens's warbler,18
Bohm's Flycatcher,20
Alcion Picociguena,21
Arao de Brunnich,21
Azor de Burgers,23
Bisbita de Fulleborn,24
Bubu de Fulleborn,25
Bubu de Luhder,25
Chirigue Austral,25
Chirigue Azafranado,25
Chirigue Cabecigualdo,27
Chirigue Citrino,27
Chirigue de Monte,29
Chirigue de Raimondi,30
Chirigue de Taczanowski,31
Chirigue Frentinaranja,34
Chirigue Grande,34
Chirigue Olivaceo,35
Chirigue Puneno,36
Chirigue Sabanero,36
Ciguena Blanca,36
Ciguena de Abdim,38
Ciguena de Storm,38
Ciguena Lanuda Asiatica,38
Ciguena Maguari,38
Ciguena Negra,39
Ciguena Oriental,42
Ciguenuela Comun,42
Ciguenuela Negra,44
Ciguenuela Pechirroja,45
Colirrojo de Guldenstadt,48
Cosifa de Ruppell,48
Estornino de Ruppell,51
Lorito de Ruppell,52
Loro de Muller,52
Papamoscas de Ruck,52
Paraguero Corbatudo,53
Paraguero Cuellicalvo,53
Paraguero Ornado,53
Pinguino Barbijo,56
Pinguino de Adelia,56
Pinguino de El Cabo,59
Pinguino de Fiordland,60
Pinguino de Galapagos,61
Pinguino de Humboldt,61
Pinguino de Las Snares,62
Pinguino de Schlegel,63
Pinguino de Sclater,64
Pinguino Emperador,66
Pinguino Enano,67
Pinguino Juanito,68
Pinguino Macaroni,70
Pinguino Magallanico,71
Pinguino Ojigualdo,72
Pinguino Rey,72
Pinguino Saltarrocas Meridional,74
Pinguino Saltarrocas Septentrional,75
Semillero Nicaraguense,75
Tejedor de Ruppell,77
Tordo Guirahuro,79
Trepador de Kruper,81
Zanate Nicaraguense,82
Zorzal Hormiguero de Ruppell,82
Zorzal Hormiguero de Ruppell,86
Vencejo de Bohm,86
Abejaruco de Bohm,87
Curruca de Bohm,87
Papamoscas de Bohm,88
Autour de Burgers,88
Carpophage de Muller,90
Choucador de Ruppell,90
Colibri de Stubel,91
Cossyphe de Ruppell,91
Eurocephale de Ruppell,92
Fauvette de Ruppell,95
Gobemouche de Ruck,96
Gonolek de Fulleborn,97
Gonolek de Fulleborn,99
Gonolek de Luhder,99
Grive d'Oberlander,101
Grive d'Oberlander,102
Guillemot de Brunnich,103
Guillemot de Brunnich,104
Guillemot marmette,105
Outarde de Ruppell,106
Perroquet de Ruppell,106
Perruche de Muller,108
Prinia de Ruppell,109
Prinia de Ruppell,113
Rougequeue de Guldenstadt,114
Rougequeue de Guldenstadt,114
Ruppell's Bustard,115
Sentinelle de Fulleborn,115
Sittelle de Kruper,118
Sittelle de Kruper,118
Souimanga de Fulleborn,118
Tisserin de Ruppell,120
Traquet de Ruppell,121
Vautour africain,122
Vautour de Ruppell,124
Vautour fauve,124
Martinet de Bohm,126
Guepier de Bohm,127
Green-throated Mountain-gem,130
Double-spurred Francolin,132
Orange-breasted Falcon,132
Usambara Hyliota,132
Red-capped Robin,133
Rufous-tailed Xenops,135
Mussau Flycatcher,135
Adelie Penguin,137
Band-rumped Storm-petrel,137
Subdesert Brush-warbler,137
Glittering Starfrontlet,140
Grey-winged Francolin,141
Black Mannikin,141
Mourning Warbler,141
Long-tailed Ground-dove,142
Festive Coquette,142
Somali Bee-eater,142
Crescent-faced Antpitta,142
Orange-crested Flycatcher,144
Great Kiskadee,145
Golden-crowned Sparrow,145
Storm's Stork,147
New Guinea Thornbill,147
Piapiac,147
Lemon-rumped Tanager,147
Yellow Bittern,148
Bright-rumped Attila,151
Running Coua,152
Unicolored Tapaculo,152
Cinnamon-crested Spadebill,152
Iberian Green Woodpecker,153
Scaly Babbler,153
Scaly Chatterer,154
Cape Verde Shearwater,155
Magpie Starling,156
Blue-crowned Trogon,157
Maui Nukupuu,157
Red-headed Fody,158
Mouse-grey Flycatcher,159
Carolina Wren,159
Pechora Pipit,159
Island Canary,159
Grey-rumped Swift,160
Green-billed Toucanet,160
Ash-throated Antwren,160
White-winged Trumpeter,161
Lesser Greenlet,162
Brown Songlark,162
Black-headed Sibia,162
Red-stained Woodpecker,163
Reichenbach's Sunbird,164
Gila Woodpecker,165
Chestnut-flanked White-eye,165
Western Black-headed Oriole,167
Brandt's Cormorant,168
Varzea Piculet,168
Pheasant Cuckoo,172
Biak Fantail,174
Emerald-collared Parakeet,175
Flores Shortwing,175
Jackson's Widowbird,175
Scarlet Finch,175
White-streaked Honeyeater,176
Egyptian Plover,180
Marsh Owl,180
Maranon Crescentchest,180
Vesper Sparrow,180
Ridgway's Rail,182
Northern Rockhopper Penguin,182
Pelagic Cormorant,183
Urrao Antpitta,183
Buller's Shearwater,184
Arabian Serin,184
Fawn-breasted Bowerbird,185
Mallard,189
Grenada Tanager,189
Sri Lanka Frogmouth,190
Blue Noddy,190
Orange-backed Woodpecker,191
Ashy-fronted Bulbul,192
Rusty-crowned Ground-sparrow,195
Olive-headed Lorikeet,196
Sulu Racquet-tail,196
Green Ibis,198
Southern Red-breasted Plover,198
Eastern Yellow-billed Hornbill,198
Yellow-throated Bunting,198
Bare-eyed Rail,200
Ground Cuckooshrike,201
Hoary-throated Spinetail,203
Violaceous Euphonia,203
Chinese Barbet,204
Chestnut-bellied Monarch,204
Brown-cheeked Fulvetta,204
Hartlaub's Francolin,207
Speckled Piculet,207
Rufous-throated Thrush,207
Clarke's Weaver,207
Many-banded Araçari,209
Rusty-belted Tapaculo,209
Striated Grasswren,210
Dusky Lark,210
Hoary-headed Grebe,212
Common Swift,212
Seram Masked-owl,212
White-crested Spadebill,213
Sharpbill,214
Chestnut-backed Thornbird,215
Thick-billed Ground-pigeon,216
Sri Lanka Barbet,217
Superb Lyrebird,218
Tawny-crowned Honeyeater,218
Grey-headed Fruit-dove,219
Pampas Pipit,221
Rubeho Akalat,223
Abyssinian Citril,224
Golden Dove,225
Sulphur-breasted Warbler,225
Field Sparrow,225
Woodlark,226
Green-backed Honeybird,228
Chestnut Seedeater,229
Salvadori's Pheasant,231
Chequer-throated Yellownape,231
Ecuadorian Hermit,232
Makira Honeyeater,233
Tuamotu Sandpiper,234
Sulawesi Honey-buzzard,234
White-necked Hawk,236
Grey-throated Sunbird,236
Variegated Bristle-tyrant,237
Blue-masked Leafbird,237
Slender-billed Curlew,238
Green-and-rufous Kingfisher,238
Yellow-rumped Flowerpecker,238
Brown-bellied Antwren,240
Brown Fulvetta,241
South American Painted-snipe,242
Palau Kingfisher,243
Western Tropical Pewee,243
Hooded Warbler,243
Chatham Shag,244
Large Wren-babbler,244
Greenish Warbler,246
Dusky Gerygone,248
Madeira Parakeet,249
Siau Pitta,251
Lafresnaye's Vanga,251
Cinnamon-chested Flycatcher,251
Large-billed Tern,252
Yungas Tody-tyrant,255
Pacific Golden Plover,256
Archer's Robin-chat,257
Red Knot,258
Western Crowned-pigeon,260
Nubian Bustard,260
Golden-bellied Tanager,260
Spotted Wood-quail,261
Red-fronted Tinkerbird,261
Rufous-capped Lark,262
Speckled Pigeon,263
Lesser Cuckoo,264
Marsh Wren,264
Sykes's Nightjar,265
White-bellied Drongo,265
Wallace's Fruit-dove,267
Lesser Sri Lanka Flameback,267
Grey Apalis,267
Plumbeous Warbler,267
Lesser Nothura,269
Dugand's Antwren,269
Beautiful Jay,270
Glossy-mantled Manucode,270
Jerdon's Nightjar,271
Elegant Quail,273
Olivaceous Piha,273
Black-necked Stork,274
Fire-crested Alethe,274
Peaceful Dove,276
Buru Boobook,276
Red-capped Myzomela,276
Green-backed Firecrown,277
Black-capped Speirops,277
Golden-tailed Sapphire,278
Rufous-backed Thrush,278
Rhinoceros Hornbill,279
Ashy-throated Warbler,280
Firewood-gatherer,281
Double-striped Thick-knee,282
Eurasian Scops-owl,287
Genovesa Ground-finch,288
Grey-faced Tit-babbler,289
Wetar Oriole,290
Vermiculated Screech-owl,291
Negros Fruit-dove,294
Mongolian Lark,294
Rusty-bellied Shortwing,296
Great White Heron,297
Annobon Scops-owl,297
Crested Gallito,297
African Palm-swift,298
Tahiti Kingfisher,298
Chestnut-backed Antshrike,298
Ash-throated Flycatcher,298
Gilded Hummingbird,300
Galapagos Penguin,300
Common Redshank,300
Northwestern Crow,302
Bamboo Woodpecker,303
Blackish Cicadabird,305
White-cheeked Tit,306
Yellow Thornbill,307
Dusky Woodswallow,307
Montane Tiny Greenbul,307
Slender-billed Prion,308
Pyrrhuloxia,309
Jackal Buzzard,310
Honeyguide Greenbul,310
Greater Antillean Bullfinch,313
American Wigeon,316
Western Spotted Dove,317
Swainson's Thrush,318
Tabar Pitta,320
Tibetan Eared-pheasant,323
Pale Blue-flycatcher,323
Tibetan Snowcock,324
Philippine Collared-dove,324
Golden-shouldered Parrot,326
Cabanis's Bunting,326
Gabon Coucal,327
Grey-cheeked Parakeet,328
Red-billed Leiothrix,328
Black-crested Tit-tyrant,330
Rufous Flycatcher-thrush,331
Spectacled Tetraka,332
Grey-crowned Tit,332
Southern Banded Snake-eagle,333
Rust-and-yellow Tanager,333
Torrent Tyrannulet,334
Lyre-tailed Hummingbird,335
Santa Marta Antbird,336
Taiwan Barbet,338
Golden-backed Weaver,339
Rufous-and-white Wren,342
Western Tanager,342
Ash-bellied Hermit,343
Brown-backed Woodpecker,344
Sahelian Woodpecker,346
Common Quail,347
Black-thighed Puffleg,348
Hooded Wheatear,348
White-tipped Monarch,351
Golden-fronted Whitestart,351
Brown-billed Scythebill,354
Collared Laughingthrush,354
Pink-throated Twinspot,356
Buller's Albatross,362
Speckled Mourner,362
Yellow-green Finch,362
Grey Gull,363
Mangaia Kingfisher,364
Araucaria Tit-spinetail,365
Buff-throated Apalis,365
Palawan Striped Babbler,367
Australian Raven,368
Knysna Warbler,368
White-crested Tyrannulet,371
Sumatran Cochoa,371
Karoo Prinia,372
Grey-sided Flowerpecker,372
Perija Metaltail,374
Red-naped Bush-shrike,375
Yellow-rumped Marshbird,375
Brown-capped Babbler,377
Yellow-throated Seedeater,379
Amethyst Woodstar,380
Black-throated Sparrow,380
Barking Imperial-pigeon,384
Forest Swallow,384
Eurasian Sparrowhawk,385
Fire-maned Bowerbird,385
Lazuline Sabrewing,387
Yellow-lored Amazon,387
Crossley's Ground-thrush,387
Brewer's Blackbird,387
Scaly-naped Amazon,388
Tumbes Tyrannulet,389
Rufous-brown Solitaire,390
Western Water Rail,391
Malabar Pied Hornbill,392
Black-throated Saltator,393
Southern Chestnut-breasted Wren,395
Purple-rumped Sunbird,396
Buru Cuckooshrike,397
