,keyword,count
1,Abbott's Booby,1072
2,Abyssinian Roller,1509
3,Acadian Flycatcher,1703
4,Acorn Woodpecker,5254
5,Adelie Penguin,6626
6,African Black Duck,3382
7,African Blue Tit,938
8,African Comb Duck,466
9,African Crake,1298
10,African Cuckoo,697
11,African Darter,1413
12,African Emerald Cuckoo,2495
13,African Finfoot,952
14,African Goshawk,730
15,African Grey Hornbill,2492
16,African Hobby,4816
17,African Jacana,2898
18,African Openbill,1141
19,African Penguin,7317
20,African Pied Starling,473
21,African Pied Wagtail,1580
22,African Pipit,1814
23,African Pitta,1248
24,African Rail,5663
25,African River Martin,991
26,African Sacred Ibis,3735
27,African Silverbill,2054
28,African Skimmer,1016
29,African Spoonbill,1543
30,African Swift,6683
31,African Thrush,2437
32,Agami Heron,1769
33,Akekee,1810
34,Akiapolaau,1849
35,Akikiki,2576
36,Akohekohe,919
37,Alagoas Curassow,2134
38,Alder Flycatcher,2096
39,Aleutian Tern,1014
40,Alexandrine Parakeet,4525
41,Algerian Nuthatch,784
42,Allen's Hummingbird,1354
43,Alpine Accentor,1735
44,Alpine Swift,4902
45,Alpine Thrush,911
46,Altamira Oriole,1836
47,Amazilia Hummingbird,1176
48,Amazon Kingfisher,4954
49,Amazonian Royal Flycatcher,1343
50,Amazonian Umbrellabird,453
51,American Avocet,3286
52,American Bittern,6109
53,American Black Duck,4700
54,American Black Vulture,2184
55,American Bushtit,1060
56,American Coot,5776
57,American Crow,6372
58,American Dipper,4472
59,American Flamingo,4935
60,American Golden Plover,2887
61,American Goldfinch,5356
62,American Kestrel,6766
63,American Oystercatcher,4091
64,American Redstart,2361
65,American Robin,6969
66,American Tree Sparrow,4119
67,American White Pelican,2314
68,American Wigeon,4591
69,American Woodcock,7016
70,American Yellow Warbler,2871
71,Amethyst-throated Hummingbird,537
72,Amethyst-throated Sunangel,269
73,Amethyst Sunbird,1080
74,Amethyst Woodstar,1142
75,Amsterdam Albatross,2043
76,Amur Falcon,1113
77,Anambra Waxbill,599
78,Ancient Murrelet,1438
79,Andaman Teal,2201
80,Andean Avocet,616
81,Andean Cock-of-the-rock,1428
82,Andean Condor,6487
83,Andean Flamingo,1758
84,Andean Goose,1482
85,Andean Potoo,848
86,Andre's Swift,3468
87,Anhinga,6949
88,Anianiau,1196
89,Anna's Hummingbird,2865
90,Antarctic Petrel,2242
91,Antarctic Prion,655
92,Antarctic Tern,1631
93,Antillean Crested Hummingbird,1955
94,Antillean Nighthawk,586
95,Antipodean Albatross,1190
96,Apapane,2672
97,Aplomado Falcon,2574
98,Apostlebird,2489
99,Aquatic Warbler,1571
100,Arabian Babbler,1081
101,Arabian Bustard,685
102,Arabian Golden Sparrow,546
103,Araripe Manakin,1662
104,Arctic Jaeger,1359
105,Arctic Loon,1842
106,Arctic Tern,6544
107,Arctic Warbler,1339
108,Arizona Woodpecker,2992
109,Ascension Frigatebird,488
110,Ash-throated Flycatcher,1727
111,Ashy Drongo,4020
112,Ashy Minivet,755
113,Ashy Prinia,4984
114,Ashy Robin,1512
115,Ashy Storm-petrel,350
116,Ashy Tailorbird,2025
117,Asian Barred Owlet,3023
118,Asian Brown Flycatcher,2549
119,Asian Crested Ibis,910
120,Asian Dowitcher,475
121,Asian Emerald Cuckoo,2402
122,Asian Glossy Starling,3176
123,Asian Green Bee-eater,778
124,Asian Houbara,576
125,Asian House Martin,2209
126,Asian Openbill,2111
127,Asian Pied Starling,1591
128,Asian Stubtail,239
129,Asir Magpie,1093
130,Atlantic Petrel,1351
131,Atlantic Puffin,6239
132,Atlantic Royal Flycatcher,770
133,Atlantic Yellow-nosed Albatross,889
134,Auckland Rail,6713
135,Auckland Teal,2024
136,Audouin's Gull,969
137,Augur Buzzard,1558
138,Austral Parakeet,477
139,Australasian Bittern,334
140,Australasian Darter,2654
141,Australasian Figbird,2795
142,Australasian Gannet,1261
143,Australasian Grebe,1041
144,Australasian Pipit,2063
145,Australian Bustard,3173
146,Australian Hobby,3379
147,Australian Ibis,3080
148,Australian Magpie,8159
149,Australian Pelican,5145
150,Australian Raven,3644
151,Australian Ringneck,2206
152,Australian Shelduck,1058
153,Australian Swiftlet,777
154,Australian Zebra Finch,2034
155,Azores Bullfinch,740
156,Aztec Thrush,1154
157,Azure Jay,3583
158,Azure Kingfisher,3794
159,Azure Tit,1713
160,Bachman's Warbler,865
161,Baer's Pochard,998
162,Baglafecht Weaver,743
163,Bahama Mockingbird,1047
164,Bahama Nuthatch,593
165,Bahama Oriole,1880
166,Bahama Swallow,2039
167,Bahama Warbler,703
168,Baikal Teal,2604
169,Baillon's Crake,316
170,Baird's Sandpiper,1110
171,Bald Eagle,8638
172,Bald Parrot,3908
173,Balearic Shearwater,1879
174,Bali Myna,2165
175,Baltimore Oriole,2671
176,Bananaquit,3128
177,Band-bellied Crake,479
178,Band-rumped Storm-petrel,477
179,Band-tailed Manakin,232
180,Banded Bay Cuckoo,2137
181,Banded Broadbill,1802
182,Banded Cotinga,714
183,Banded Kingfisher,2644
184,Banded Lapwing,729
185,Banded Stilt,1255
186,Banded Woodpecker,1305
187,Banggai Crow,321
188,Bank Cormorant,1989
189,Bank Myna,1807
190,Bar-headed Goose,2675
191,Bar-tailed Godwit,2690
192,Bar-tailed Trogon,426
193,Bar-winged Prinia,490
194,Barau's Petrel,196
195,Barbados Bullfinch,1324
196,Barbary Partridge,1750
197,Barbuda Warbler,508
198,Bare-faced Bulbul,210
199,Bare-faced Curassow,323
200,Bare-throated Bellbird,504
201,Bare-throated Tiger-heron,392
202,Barking Owl,5405
203,Barn Swallow,6360
204,Barnacle Goose,9810
205,Barred Antshrike,1496
206,Barred Buttonquail,1136
207,Barred Dove,1721
208,Barred Eagle-owl,739
209,Barred Hawk,3641
210,Barred Owl,9354
211,Barred Parakeet,2557
212,Barrow's Goldeneye,2120
213,Basra Reed-warbler,276
214,Bassian Thrush,1779
215,Bat Falcon,1081
216,Bat Hawk,6426
217,Bateleur,9504
218,Bay-backed Shrike,652
219,Bay-breasted Warbler,1350
220,Bay-headed Tanager,677
221,Bay Woodpecker,3360
222,Bay Wren,4307
223,Baya Weaver,784.5
224,Beach Kingfisher,7100
225,Bean Goose,6676
226,Bearded Barbet,1765
227,Bearded Bellbird,1454
228,Bearded Reedling,1028
229,Bearded Vulture,2824
230,Beautiful Firetail,482
231,Beautiful Hummingbird,8669
232,Beautiful Jay,7211
233,Beautiful Woodpecker,1098
234,Beck's Petrel,201
235,Bee Hummingbird,2587
236,Bell's Vireo,1843
237,Bell Miner,1046
238,Belted Kingfisher,4380
239,Bengal Florican,2674
240,Bermuda Petrel,1429
241,Berylline Hummingbird,1183
242,Besra,4407
243,Bewick's Wren,1290
244,Bicknell's Thrush,1151
245,Bicolored Wren,1233
246,Bimaculated Lark,1998
247,Black-and-white Hawk-eagle,1005
248,Black-and-white Owl,1133
249,Black-and-white Warbler,1108
250,Black-backed Oriole,519
251,Black-backed Woodpecker,1334
252,Black-bellied Bustard,637
253,Black-bellied Storm-petrel,288
254,Black-bellied Whistling-duck,1442
255,Black-billed Cuckoo,957
256,Black-billed Magpie,1591
257,Black-billed Thrush,1376
258,Black-breasted Buzzard,609
259,Black-browed Albatross,1217
260,Black-browed Babbler,317
261,Black-capped Chickadee,2989
262,Black-capped Lory,522
263,Black-capped Petrel,594
264,Black-capped Vireo,1611
265,Black-casqued Hornbill,417
266,Black-cheeked Lovebird,815
267,Black-chinned Hummingbird,2380
268,Black-collared Barbet,372
269,Black-collared Starling,518
270,Black-crested Finch,236
271,Black-crested Titmouse,1544
272,Black-crowned Night-heron,1419
273,Black-faced Bunting,635
274,Black-faced Dacnis,599
275,Black-faced Grassquit,359
276,Black-faced Spoonbill,1327
277,Black-footed Albatross,838
278,Black-fronted Bulbul,589
279,Black-fronted Tern,1362
280,Black-headed Grosbeak,2342
281,Black-headed Gull,2749
282,Black-headed Ibis,453
283,Black-headed Parrot,692
284,Black-headed Siskin,840
285,Black-hooded Oriole,1680
286,Black-legged Kittiwake,1757
287,Black-legged Seriema,427
288,Black-naped Monarch,816
289,Black-naped Oriole,1468
290,Black-necked Crane,961
291,Black-necked Grebe,1847
292,Black-necked Stork,1239
293,Black-necked Wattle-eye,213
294,Black-rumped Flameback,593
295,Black-shouldered Kite,1490
296,Black-tailed Godwit,2125
297,Black-tailed Gull,1018
298,Black-thighed Falconet,829
299,Black-throated Accentor,687
300,Black-throated Blue Warbler,1967
301,Black-throated Finch,1010
302,Black-throated Green Warbler,1272
303,Black-throated Grosbeak,282
304,Black-throated Magpie-jay,1095
305,Black-throated Sparrow,1507
306,Black-throated Thrush,990
307,Black-throated Tit,409
