,keyword,en_count,en_mean
1,Abbott's Booby,1072,4.81
2,Abyssinian Roller,1509,6.77
3,Acadian Flycatcher,1703,7.64
4,Acorn Woodpecker,5254,23.56
5,Adelie Penguin,6626,29.71
6,African Black Duck,3382,15.17
7,African Blue Tit,938,4.21
8,African Comb Duck,466,2.09
9,African Crake,1298,5.82
10,African Cuckoo,697,3.13
11,African Darter,1413,6.34
12,African Emerald Cuckoo,2495,11.19
13,African Finfoot,952,4.27
14,African Goshawk,730,3.27
15,African Grey Hornbill,2492,11.17
16,African Hobby,4816,21.60
17,African Jacana,2898,13.00
18,African Openbill,1141,5.12
19,African Penguin,7317,32.81
20,African Pied Starling,473,2.12
21,African Pied Wagtail,1580,7.09
22,African Pipit,1814,8.13
23,African Pitta,1248,5.60
24,African Rail,5663,25.39
25,African River Martin,991,4.44
26,African Sacred Ibis,3735,16.75
27,African Silverbill,2054,9.21
28,African Skimmer,1016,4.56
29,African Spoonbill,1543,6.92
30,African Swift,6683,29.97
31,African Thrush,2437,10.93
32,Agami Heron,1769,7.93
33,Akekee,1810,8.12
34,Akiapolaau,1849,8.29
35,Akikiki,2576,11.55
36,Akohekohe,919,4.12
37,Alagoas Curassow,2134,9.57
38,Alder Flycatcher,2096,9.40
39,Aleutian Tern,1014,4.55
40,Alexandrine Parakeet,4525,20.29
41,Algerian Nuthatch,784,3.52
42,Allen's Hummingbird,1354,6.07
43,Alpine Accentor,1735,7.78
44,Alpine Swift,4902,21.98
45,Alpine Thrush,911,4.09
46,Altamira Oriole,1836,8.23
47,Amazilia Hummingbird,1176,5.27
48,Amazon Kingfisher,4954,22.22
49,Amazonian Royal Flycatcher,1343,6.02
50,Amazonian Umbrellabird,453,2.03
51,American Avocet,3286,14.74
52,American Bittern,6109,27.39
53,American Black Duck,4700,21.08
54,American Black Vulture,2184,9.79
55,American Bushtit,1060,4.75
56,American Coot,5776,25.90
57,American Crow,6372,28.57
58,American Dipper,4472,20.05
59,American Flamingo,4935,22.13
60,American Golden Plover,2887,12.95
61,American Goldfinch,5356,24.02
62,American Kestrel,6766,30.34
63,American Oystercatcher,4091,18.35
64,American Redstart,2361,10.59
65,American Robin,6969,31.25
66,American Tree Sparrow,4119,18.47
67,American White Pelican,2314,10.38
68,American Wigeon,4591,20.59
69,American Woodcock,7016,31.46
70,American Yellow Warbler,2871,12.87
71,Amethyst-throated Hummingbird,537,2.41
72,Amethyst-throated Sunangel,269,1.21
73,Amethyst Sunbird,1080,4.84
74,Amethyst Woodstar,1142,5.12
75,Amsterdam Albatross,2043,9.16
76,Amur Falcon,1113,4.99
77,Anambra Waxbill,599,2.69
78,Ancient Murrelet,1438,6.45
79,Andaman Teal,2201,9.87
80,Andean Avocet,616,2.76
81,Andean Cock-of-the-rock,1428,6.40
82,Andean Condor,6487,29.09
83,Andean Flamingo,1758,7.88
84,Andean Goose,1482,6.65
85,Andean Potoo,848,3.80
86,Andre's Swift,3468,15.55
87,Anhinga,6949,31.16
88,Anianiau,1196,5.36
89,Anna's Hummingbird,2865,12.85
90,Antarctic Petrel,2242,10.05
91,Antarctic Prion,655,2.94
92,Antarctic Tern,1631,7.31
93,Antillean Crested Hummingbird,1955,8.77
94,Antillean Nighthawk,586,2.63
95,Antipodean Albatross,1190,5.34
96,Apapane,2672,11.98
97,Aplomado Falcon,2574,11.54
98,Apostlebird,2489,11.16
99,Aquatic Warbler,1571,7.04
100,Arabian Babbler,1081,4.85
101,Arabian Bustard,685,3.07
102,Arabian Golden Sparrow,546,2.45
103,Araripe Manakin,1662,7.45
104,Arctic Jaeger,1359,6.09
105,Arctic Loon,1842,8.26
106,Arctic Tern,6544,29.35
107,Arctic Warbler,1339,6.00
108,Arizona Woodpecker,2992,13.42
109,Ascension Frigatebird,488,2.19
110,Ash-throated Flycatcher,1727,7.74
111,Ashy Drongo,4020,18.03
112,Ashy Minivet,755,3.39
113,Ashy Prinia,4984,22.35
114,Ashy Robin,1512,6.78
115,Ashy Storm-petrel,350,1.57
116,Ashy Tailorbird,2025,9.08
117,Asian Barred Owlet,3023,13.56
118,Asian Brown Flycatcher,2549,11.43
119,Asian Crested Ibis,910,4.08
120,Asian Dowitcher,475,2.13
121,Asian Emerald Cuckoo,2402,10.77
122,Asian Glossy Starling,3176,14.24
123,Asian Green Bee-eater,778,3.49
124,Asian Houbara,576,2.58
