"","French.name"
"1","Autruche d'Afrique"
"2","Autruche de Somalie"
"3","Nandou d'Amerique"
"4","Nandou de Darwin"
"6","Tinamou a tete rousse"
"7","Tinamou de Bonaparte"
"8","Tinamou a capuchon"
"9","Tinamou tao"
"10","Tinamou solitaire"
"11","Tinamou noir"
"12","Grand Tinamou"
"13","Tinamou a gorge blanche"
"14","Tinamou de Berlepsch"
"15","Tinamou cendre"
"16","Tinamou des tepuis"
"17","Tinamou soui"
"18","Tinamou brun"
"19","Tinamou vermicule"
"20","Tinamou oariana"
"21","Tinamou de Zimmer"
"22","Tinamou a pieds rouges"
"23","Tinamou noctivague"
"24","Tinamou a calotte noire"
"26","Tinamou cannelle"
"27","Tinamou a grands sourcils"
"28","Tinamou de Boucard"
"29","Tinamou de Kerr"
"30","Tinamou varie"
"31","Tinamou rubigineux"
"32","Tinamou de Bartlett"
"33","Tinamou barre"
"34","Tinamou a petit bec"
"35","Tinamou tataupa"
"36","Tinamou isabelle"
"37","Tinamou huayco"
"38","Tinamou de Taczanowski"
"39","Tinamou orne"
"40","Tinamou perdrix"
"41","Tinamou sauvageon"
"42","Tinamou des Andes"
"43","Tinamou curvirostre"
"44","Tinamou boraquira"
"45","Petit Tinamou"
"46","Tinamou de Darwin"
"47","Tinamou tachete"
"48","Tinamou carape"
"49","Tinamou elegant"
"50","Tinamou superbe"
"51","Tinamou quioula"
"52","Tinamou de Patagonie"
"53","Casoar a casque"
"54","Casoar de Bennett"
"55","Casoar unicaroncule"
"56","emeu d'Australie"
"57","Kiwi roa"
"58","Kiwi d'Owen"
"59","Kiwi de Mantell"
"60","Kiwi austral"
"61","Kiwi d'Okarito"
"62","Talegalle de Latham"
"63","Talegalle des Arfak"
"64","Talegalle de Bruijn"
"65","Talegalle de Cuvier"
"66","Talegalle a bec fonce"
"67","Talegalle de Jobi"
"68","Leipoa ocelle"
"69","Megapode maleo"
"70","Megapode de Wallace"
"71","Megapode des Nicobar"
"72","Megapode des Philippines"
"73","Megapode de Bernstein"
"74","Megapode des Tanimbar"
"75","Megapode de Layard"
"76","Megapode de La Perouse"
"77","Megapode de Pritchard"
"78","Megapode de Freycinet"
"79","Megapode de Geelvink"
"80","Megapode de Nouvelle-Guinee"
"81","Megapode melanesien"
"82","Megapode de Reinwardt"
"83","Penelope unicolore"
"84","Penelope de Goudot"
"85","Penelope pajuil"
"86","Penelope a queue barree"
"87","Penelope barbue"
"88","Penelope d'Orton"
"89","Penelope des Andes"
"90","Penelope marail"
"91","Penelope peoa"
"92","Penelope de Dabbene"
"93","Penelope de Spix"
"94","Penelope panachee"
"95","Penelope de Cauca"
"96","Penelope a ailes blanches"
"97","Penelope yacouhou"
"98","Penelope a poitrine rousse"
"99","Penelope a ventre roux"
"100","Penelope a front blanc"
"101","Penelope siffleuse"
"102","Penelope a gorge bleue"
"104","Penelope cujubi"
"105","Penelope a front noir"
"106","Penelope aburri"
"107","Oreophase cornu"
"108","Ortalide chacamel"
"109","Ortalide a tete grise"
"110","Ortalide babillarde"
"111","Ortalide a ventre roux"
"112","Ortalide a tete rousse"
"113","Ortalide a ventre marron"
"114","Ortalide de Wagler"
"115","Ortalide du Chaco"
"116","Ortalide a ventre blanc"
"117","Ortalide de Colombie"
"118","Ortalide maillee"
"119","Ortalide araucuan"
"120","Ortalide ecaillee"
"121","Ortalide motmot"
"122","Ortalide a sourcils"
"123","Hocco nocturne"
"124","Grand Hocco"
"125","Hocco d'Albert"
"126","Hocco de Daubenton"
"127","Hocco alector"
"128","Hocco a face nue"
