,keyword,mean
1,Acanthize mignon,0.522522523
2,Accenteur alpin,10.99103139
3,Accenteur montanelle,1.64573991
4,Accenteur mouchet,21.47085202
5,Ada noir,17.31531532
6,Agami trompette,7.013513514
7,Agrobate roux,3.587443946
8,Aigle botte,28.62612613
9,Aigle couronne,13.05405405
10,Aigle criard,4.463963964
11,Aigle de Bonelli,16.83783784
12,Aigle de Java,5.743243243
13,Aigle de Verreaux,3.68018018
14,Aigle des Philippines,6.031531532
15,Aigle imperial,12.62162162
16,Aigle martial,7.662162162
17,Aigle noir,22.83783784
18,Aigle noir et blanc,10.74774775
19,Aigle orne,15.29279279
20,Aigle pomarin,9.324324324
21,Aigle ravisseur,6.756756757
22,Aigle royal,40.91441441
23,Aigrette bleue,4.490990991
24,Aigrette garzette,25.94144144
25,Aigrette neigeuse,6.274774775
26,Aigrette tricolore,1.68018018
27,Albatros brun,2.756756757
28,Albatros de Buller,3.427927928
29,Albatros de Laysan,3.198198198
30,Albatros des Galapagos,4.806306306
31,Albatros fuligineux,3.527027027
32,Albatros hurleur,12.04054054
33,Albatros royal,30.5
34,Alouette a long bec,1.174887892
35,Alouette calandre,5.632286996
36,Alouette calandrelle,3.901345291
37,Alouette des champs,20.11210762
38,Alouette lulu,16.86995516
39,Alouette pispolette,1.874439462
40,Amazone a front blanc,3.486486486
41,Amazone a front bleu,13.82432432
42,Amazone a front jaune,9.067567568
43,Amazone verte,19.77027027
44,Ara bleu,19.1981982
45,Ara chloroptere,7.481981982
46,Ara de Buffon,5.063063063
47,Ara de Lafresnaye,2.121621622
48,Ara de Lear,2.86036036
49,Ara de Spix,4.166666667
50,Ara hyacinthe,17.24324324
51,Ara militaire,9.112612613
52,Ara noble,11.1036036
53,Ara rouge,23.34234234
54,Ara vert,15.04054054
55,Araponga blanc,1.572072072
56,Argus geant,5.711711712
57,Arlequin plongeur,4.306306306
58,Autour blanc,47.0990991
59,Autour chanteur,10.84234234
60,Autour des palombes,29.27927928
61,Autour noir,49.68918919
62,Autour rouge,43.53153153
63,Balbuzard pecheur,7.833333333
64,Barge a queue noire,6.495495495
65,Barge rousse,14.76126126
66,Bateleur des savanes,5.040540541
67,Bec-en-sabot du Nil,4.076576577
68,Becasse des bois,13.19369369
69,Becasseau violet,1.103603604
70,Bengali rouge,13.24663677
71,Bergeronnette citrine,12.56950673
72,Bergeronnette des ruisseaux,20.61434978
73,Bergeronnette grise,27.08520179
74,Bergeronnette printaniere,3.493273543
75,Bernache cravant,21.65315315
76,Bernache du Canada,22.31081081
77,Bernache nonnette,11.83333333
78,Bihoreau gris,18.1036036
79,Blongios nain,10.25225225
80,Bondree apivore,3.878378378
81,Bouscarle de Cetti,6.188340807
82,Bouvreuil brun,6.860986547
83,Bouvreuil pivoine,28.02690583
84,Breve azurine,11.61261261
85,Bruant a couronne blanche,1.910313901
86,Bruant a gorge blanche,4.426008969
87,Bruant aureole,1.022421525
88,Bruant chanteur,17.19282511
