"","keyword","count"
"1","Acanthize mignon",116
"2","Accenteur alpin",2451
"3","Accenteur montanelle",367
"4","Accenteur mouchet",4788
"5","Ada noir",3844
"6","Agami trompette",1557
"7","Agrobate roux",800
"8","Aigle botte",6355
"9","Aigle couronne",2898
"10","Aigle criard",991
"11","Aigle de Bonelli",3738
"12","Aigle de Java",1275
"13","Aigle de Verreaux",817
"14","Aigle des Philippines",1339
"15","Aigle imperial",2802
"16","Aigle martial",1701
"17","Aigle noir",5070
"18","Aigle noir et blanc",2386
"19","Aigle orne",3395
"20","Aigle pomarin",2070
"21","Aigle ravisseur",1500
"22","Aigle royal",9083
"23","Aigrette bleue",997
"24","Aigrette garzette",5759
"25","Aigrette neigeuse",1393
"26","Aigrette tricolore",373
"27","Albatros brun",612
"28","Albatros de Buller",761
"29","Albatros de Laysan",710
"30","Albatros des Galapagos",1067
"31","Albatros fuligineux",783
"32","Albatros hurleur",2673
"33","Albatros royal",6771
"34","Alouette a long bec",262
"35","Alouette calandre",1256
"36","Alouette calandrelle",870
"37","Alouette des champs",4485
"38","Alouette lulu",3762
"39","Alouette pispolette",418
"40","Amazone a front blanc",774
"41","Amazone a front bleu",3069
"42","Amazone a front jaune",2013
"43","Amazone verte",4389
"44","Ara bleu",4262
"45","Ara chloroptere",1661
"46","Ara de Buffon",1124
"47","Ara de Lafresnaye",471
"48","Ara de Lear",635
"49","Ara de Spix",925
"50","Ara hyacinthe",3828
"51","Ara militaire",2023
"52","Ara noble",2465
"53","Ara rouge",5182
"54","Ara vert",3339
"55","Araponga blanc",349
"56","Argus geant",1268
"57","Arlequin plongeur",956
"58","Autour blanc",10456
"59","Autour chanteur",2407
"60","Autour des palombes",6500
"61","Autour noir",11031
"62","Autour rouge",9664
"63","Balbuzard pecheur",1739
"64","Barge a queue noire",1442
"65","Barge rousse",3277
"66","Bateleur des savanes",1119
"67","Bec-en-sabot du Nil",905
"68","Becasse des bois",2929
"69","Becasseau violet",245
"70","Bengali rouge",2954
"71","Bergeronnette citrine",2803
"72","Bergeronnette des ruisseaux",4597
"73","Bergeronnette grise",6040
"74","Bergeronnette printaniere",779
"75","Bernache cravant",4807
"76","Bernache du Canada",4953
"77","Bernache nonnette",2627
"78","Bihoreau gris",4019
"79","Blongios nain",2276
"80","Bondree apivore",861
"81","Bouscarle de Cetti",1380
"82","Bouvreuil brun",1530
"83","Bouvreuil pivoine",6250
"84","Breve azurine",2578
"85","Bruant a couronne blanche",426
"86","Bruant a gorge blanche",987
"87","Bruant aureole",228
"88","Bruant chanteur",3834
"89","Bruant des marais",1259
"90","Bruant des roseaux",2011
"91","Bruant familier",1969
"92","Bruant fauve",713
"93","Bruant fou",1278
"94","Bruant jaune",5840
"95","Bruant noir et blanc",925
"96","Bruant ortolan",2534
"97","Bruant proyer",3719
"98","Bruant roux",675
"99","Bruant rustique",556
"100","Bruant sauterelle",320
"101","Bruant zizi",5737
"102","Bucorve du Sud",1728
"103","Busard des marais",680
"104","Busard des roseaux",2657
"105","Busard pale",1243
"106","Busard Saint-Martin",847
"107","Buse a queue rousse",1262
"108","Buse blanche",4081
"109","Buse de Harris",3224
"110","Buse noire",3173
"111","Buse pattue",1302
"112","Buse rouilleuse",766
"113","Buse tricolore",1403
"114","Buse variable",4716
"115","Cacatoes a huppe jaune",2925
"116","Cacatoes blanc",3498
"117","Cacatoes de Latham",527
"118","Cacatoes noir",1982
"119","Cacatoes rosalbin",4836
"120","Caille du Japon",6810
"121","Caique a tete noire",1218
"122","Calao a bec rouge",553
"123","Calao bicorne",1295
"124","Calao papou",663
"125","Canard a bec rouge",1101
"126","Canard a queue pointue",404
"127","Canard bleu",4673
"128","Canard branchu",2224
"129","Canard brun",3111
"130","Canard chipeau",4355
"131","Canard colvert",8086
"132","Canard de Chine",2172
"133","Canard huppe",1800
"134","Canard mandarin",6390
"135","Canard noir",9501
"136","Canard pilet",4887
"137","Canard siffleur",7029
"138","Canard souchet",4269
"139","Caracara austral",849
"140","Cardinal a poitrine rose",841
"141","Cardinal jaune",2857
"142","Cardinal pyrrhuloxia",663
"143","Cardinal rouge",8963
"144","Casoar a casque",958
"145","Caurale soleil",463
"146","Chardonneret elegant",4495
"147","Chardonneret jaune",3516
"148","Chevalier aboyeur",2874
"149","Chevalier arlequin",2386
"150","Chevalier bargette",282
"151","Chevalier errant",3530
"152","Chevalier gambette",4342
"153","Chevalier guignette",3569
"154","Chevalier solitaire",2951
"155","Chevalier sylvain",3688
"156","Chionis blanc",395
"157","Choucador superbe",274
"158","Choucas des tours",4314
"159","Chouette hulotte",9978
"160","Chouette lapone",1315
"161","Cigogne blanche",3545
"162","Cigogne noire",3202
"163","Cigogne orientale",659
"164","Cincle plongeur",3625
"165","Cisticole des joncs",1275
"166","Colibri a gorge rubis",1184
"167","Colibri bourdon",1038
"168","Colibri de Costa",4252
"169","Colibri lucifer",1581
"170","Colibri roux",714
"171","Colibri topaze",381
"172","Colin de Californie",2997
"173","Colin de Gambel",970
"174","Colin de Virginie",3520
"175","Colombar giouanne",387
"176","Colombe de Grenade",580
"177","Colombine arlequin",2169
"178","Condor de Californie",1928
"179","Condor des Andes",4163
"180","Conure de Molina",1161
"181","Conure de Patagonie",1788
"182","Conure jandaya",3535
"183","Conure nanday",4314
"184","Conure soleil",7016
"185","Conure verte",5656
"186","Coq bankiva",1224
"187","Coracine chauve",592
"188","Corbeau corbivau",809
"189","Corbeau familier",1296
"190","Corbeau freux",4931
"191","Corbeau pie",1974
"192","Cormoran de Temminck",691
"193","Cormoran imperial",1794
"194","Cormoran noir",3141
"195","Corneille de rivage",809
"196","Corneille grise",815
"197","Corneille noire",4689
"198","Cotinga de Cayenne",454
"199","Coucou geai",2078
"200","Coucou gris",1363
"201","Courlis cendre",682
"202","Courlis corlieu",1647
"203","Courlis esquimau",400
"204","Courlis nain",163
"205","Courvite isabelle",1171
"206","Crabier chevelu",2854
"207","Cygne chanteur",1240
"208","Cygne noir",3337
"209","Cygne siffleur",744
"210","Cygne trompette",1360
"211","Cygne tubercule",785
"212","Dendrocygne fauve",1648
"213","Dendrocygne veuf",892
"214","Diamant a bavette",997
"215","Diamant de Gould",6624
"216","Diamant mandarin",6876
"217","Diamant masque",1972
"218","Diduncule strigirostre",393
"219","Dindon sauvage",3951
"220","Drongo brillant",855
"221","Durbec des sapins",1466
"222","echasse blanche",3617
"223","Effraie des clochers",2981
"224","Eider a duvet",983
"225","Eider de Steller",1197
"226","elanion blanc",4456
"227","Engoulevent bois-pourri",897
"228","Engoulevent oreillard",235
"229","epervier brun",1957
"230","erismature a tete blanche",875
"231","erismature rousse",1127
"232","Esclave palmiste",824
"233","etourneau roselin",267
"234","etourneau sansonnet",3615
"235","Faisan de Colchide",4589
"236","Faisan de Lady Amherst",841
"237","Faisan dore",5301
"238","Faisan venere",4202
"239","Faucon concolore",328
"240","Faucon crecerelle",5609
"241","Faucon crecerellette",844
"242","Faucon emerillon",2596
"243","Faucon gerfaut",1918
"244","Faucon gris",1078
"245","Faucon hobereau",3671
"246","Faucon kobez",1430
"247","Faucon lanier",1838
"248","Faucon noir",5268
"249","Faucon orange",5367
"250","Faucon pelerin",5401
"251","Faucon sacre",1625
"252","Fauvette a tete noire",2756
"253","Fauvette des jardins",3568
"254","Flamant de James",396
"255","Flamant nain",1548
"256","Flamant rose",5701
"257","Fou austral",907
"258","Fou brun",2379
"259","Fou de Bassan",2406
"260","Fou de Grant",662
"261","Fou du Cap",3934
"262","Fou masque",3799
"263","Foulque macroule",4048
"264","Fuligule milouin",4420
"265","Fuligule milouinan",2883
"266","Fuligule morillon",2914
"267","Fuligule nyroca",1651
"268","Gallinule de Tasmanie",464
"269","Ganga cata",2460
"270","Garrulaxe hoamy",646
"271","Geai bleu",5017
"272","Geai buissonnier",509
"273","Geai de Steller",528
"274","Geai des chenes",4218
"275","Geai vert",5516
"276","Gobemouche gris",2142
"277","Gobemouche noir",2027
