,keyword,fr_count,fr_mean
1,Acanthize mignon,116,0.52
2,Accenteur alpin,2451,10.99
3,Accenteur montanelle,367,1.65
4,Accenteur mouchet,4788,21.47
5,Ada noir,3844,17.32
6,Agami trompette,1557,7.01
7,Agrobate roux,800,3.59
8,Aigle botte,6355,28.63
9,Aigle couronne,2898,13.05
10,Aigle criard,991,4.46
11,Aigle de Bonelli,3738,16.84
12,Aigle de Java,1275,5.74
13,Aigle de Verreaux,817,3.68
14,Aigle des Philippines,1339,6.03
15,Aigle imperial,2802,12.62
16,Aigle martial,1701,7.66
17,Aigle noir,5070,22.84
18,Aigle noir et blanc,2386,10.75
19,Aigle orne,3395,15.29
20,Aigle pomarin,2070,9.32
21,Aigle ravisseur,1500,6.76
22,Aigle royal,9083,40.91
23,Aigrette bleue,997,4.49
24,Aigrette garzette,5759,25.94
25,Aigrette neigeuse,1393,6.27
26,Aigrette tricolore,373,1.68
27,Albatros brun,612,2.76
28,Albatros de Buller,761,3.43
29,Albatros de Laysan,710,3.20
30,Albatros des Galapagos,1067,4.81
31,Albatros fuligineux,783,3.53
32,Albatros hurleur,2673,12.04
33,Albatros royal,6771,30.50
34,Alouette a long bec,262,1.17
35,Alouette calandre,1256,5.63
36,Alouette calandrelle,870,3.90
37,Alouette des champs,4485,20.11
38,Alouette lulu,3762,16.87
39,Alouette pispolette,418,1.87
40,Amazone a front blanc,774,3.49
41,Amazone a front bleu,3069,13.82
42,Amazone a front jaune,2013,9.07
43,Amazone verte,4389,19.77
44,Ara bleu,4262,19.20
45,Ara chloroptere,1661,7.48
46,Ara de Buffon,1124,5.06
47,Ara de Lafresnaye,471,2.12
48,Ara de Lear,635,2.86
49,Ara de Spix,925,4.17
50,Ara hyacinthe,3828,17.24
51,Ara militaire,2023,9.11
52,Ara noble,2465,11.10
53,Ara rouge,5182,23.34
54,Ara vert,3339,15.04
55,Araponga blanc,349,1.57
56,Argus geant,1268,5.71
57,Arlequin plongeur,956,4.31
58,Autour blanc,10456,47.10
59,Autour chanteur,2407,10.84
60,Autour des palombes,6500,29.28
61,Autour noir,11031,49.69
62,Autour rouge,9664,43.53
63,Balbuzard pecheur,1739,7.83
64,Barge a queue noire,1442,6.50
65,Barge rousse,3277,14.76
66,Bateleur des savanes,1119,5.04
67,Bec-en-sabot du Nil,905,4.08
68,Becasse des bois,2929,13.19
69,Becasseau violet,245,1.10
70,Bengali rouge,2954,13.25
71,Bergeronnette citrine,2803,12.57
72,Bergeronnette des ruisseaux,4597,20.61
73,Bergeronnette grise,6040,27.09
74,Bergeronnette printaniere,779,3.49
75,Bernache cravant,4807,21.65
76,Bernache du Canada,4953,22.31
77,Bernache nonnette,2627,11.83
78,Bihoreau gris,4019,18.10
79,Blongios nain,2276,10.25
80,Bondree apivore,861,3.88
81,Bouscarle de Cetti,1380,6.19
82,Bouvreuil brun,1530,6.86
83,Bouvreuil pivoine,6250,28.03
84,Breve azurine,2578,11.61
85,Bruant a couronne blanche,426,1.91
86,Bruant a gorge blanche,987,4.43
87,Bruant aureole,228,1.02
88,Bruant chanteur,3834,17.19
89,Bruant des marais,1259,5.65
90,Bruant des roseaux,2011,9.02
91,Bruant familier,1969,8.83
92,Bruant fauve,713,3.20
93,Bruant fou,1278,5.73
94,Bruant jaune,5840,26.19
95,Bruant noir et blanc,925,4.15
96,Bruant ortolan,2534,11.36
97,Bruant proyer,3719,16.68
98,Bruant roux,675,3.03
99,Bruant rustique,556,2.49
100,Bruant sauterelle,320,1.43
101,Bruant zizi,5737,25.73
102,Bucorve du Sud,1728,7.78
103,Busard des marais,680,3.06
104,Busard des roseaux,2657,11.97
105,Busard pale,1243,5.60
106,Busard Saint-Martin,847,3.82
107,Buse a queue rousse,1262,5.68
108,Buse blanche,4081,18.38
109,Buse de Harris,3224,14.52
110,Buse noire,3173,14.29
111,Buse pattue,1302,5.86
112,Buse rouilleuse,766,3.45
113,Buse tricolore,1403,6.32
114,Buse variable,4716,21.24
115,Cacatoes a huppe jaune,2925,13.18
116,Cacatoes blanc,3498,15.76
117,Cacatoes de Latham,527,2.37
118,Cacatoes noir,1982,8.93
119,Cacatoes rosalbin,4836,21.78
120,Caille du Japon,6810,30.68
121,Caique a tete noire,1218,5.49
122,Calao a bec rouge,553,2.49
123,Calao bicorne,1295,5.83
124,Calao papou,663,2.99
125,Canard a bec rouge,1101,4.96
126,Canard a queue pointue,404,1.82
127,Canard bleu,4673,21.05
128,Canard branchu,2224,10.02
129,Canard brun,3111,14.01
130,Canard chipeau,4355,19.62
131,Canard colvert,8086,36.42
132,Canard de Chine,2172,9.78
133,Canard huppe,1800,8.11
