,date,hits,keyword,geo,time,gprop,category
1,1/1/2004,0,Nandou de Darwin,world,all,web,0
2,2/1/2004,0,Nandou de Darwin,world,all,web,0
3,3/1/2004,0,Nandou de Darwin,world,all,web,0
4,4/1/2004,0,Nandou de Darwin,world,all,web,0
5,5/1/2004,0,Nandou de Darwin,world,all,web,0
6,6/1/2004,0,Nandou de Darwin,world,all,web,0
7,7/1/2004,0,Nandou de Darwin,world,all,web,0
8,8/1/2004,0,Nandou de Darwin,world,all,web,0
9,9/1/2004,0,Nandou de Darwin,world,all,web,0
10,10/1/2004,0,Nandou de Darwin,world,all,web,0
11,11/1/2004,0,Nandou de Darwin,world,all,web,0
12,12/1/2004,0,Nandou de Darwin,world,all,web,0
13,1/1/2005,0,Nandou de Darwin,world,all,web,0
14,2/1/2005,0,Nandou de Darwin,world,all,web,0
15,3/1/2005,0,Nandou de Darwin,world,all,web,0
16,4/1/2005,0,Nandou de Darwin,world,all,web,0
17,5/1/2005,0,Nandou de Darwin,world,all,web,0
18,6/1/2005,100,Nandou de Darwin,world,all,web,0
19,7/1/2005,0,Nandou de Darwin,world,all,web,0
20,8/1/2005,0,Nandou de Darwin,world,all,web,0
21,9/1/2005,0,Nandou de Darwin,world,all,web,0
22,10/1/2005,0,Nandou de Darwin,world,all,web,0
23,11/1/2005,0,Nandou de Darwin,world,all,web,0
24,12/1/2005,0,Nandou de Darwin,world,all,web,0
25,1/1/2006,0,Nandou de Darwin,world,all,web,0
26,2/1/2006,0,Nandou de Darwin,world,all,web,0
27,3/1/2006,0,Nandou de Darwin,world,all,web,0
28,4/1/2006,0,Nandou de Darwin,world,all,web,0
29,5/1/2006,0,Nandou de Darwin,world,all,web,0
30,6/1/2006,0,Nandou de Darwin,world,all,web,0
31,7/1/2006,0,Nandou de Darwin,world,all,web,0
32,8/1/2006,0,Nandou de Darwin,world,all,web,0
33,9/1/2006,0,Nandou de Darwin,world,all,web,0
34,10/1/2006,0,Nandou de Darwin,world,all,web,0
35,11/1/2006,0,Nandou de Darwin,world,all,web,0
36,12/1/2006,0,Nandou de Darwin,world,all,web,0
37,1/1/2007,0,Nandou de Darwin,world,all,web,0
38,2/1/2007,0,Nandou de Darwin,world,all,web,0
39,3/1/2007,0,Nandou de Darwin,world,all,web,0
40,4/1/2007,0,Nandou de Darwin,world,all,web,0
41,5/1/2007,0,Nandou de Darwin,world,all,web,0
42,6/1/2007,0,Nandou de Darwin,world,all,web,0
43,7/1/2007,0,Nandou de Darwin,world,all,web,0
44,8/1/2007,0,Nandou de Darwin,world,all,web,0
45,9/1/2007,0,Nandou de Darwin,world,all,web,0
46,10/1/2007,0,Nandou de Darwin,world,all,web,0
47,11/1/2007,0,Nandou de Darwin,world,all,web,0
48,12/1/2007,0,Nandou de Darwin,world,all,web,0
49,1/1/2008,0,Nandou de Darwin,world,all,web,0
50,2/1/2008,0,Nandou de Darwin,world,all,web,0
51,3/1/2008,0,Nandou de Darwin,world,all,web,0
52,4/1/2008,0,Nandou de Darwin,world,all,web,0
53,5/1/2008,0,Nandou de Darwin,world,all,web,0
54,6/1/2008,0,Nandou de Darwin,world,all,web,0
55,7/1/2008,0,Nandou de Darwin,world,all,web,0
56,8/1/2008,0,Nandou de Darwin,world,all,web,0
57,9/1/2008,0,Nandou de Darwin,world,all,web,0
58,10/1/2008,23,Nandou de Darwin,world,all,web,0
59,11/1/2008,0,Nandou de Darwin,world,all,web,0
60,12/1/2008,0,Nandou de Darwin,world,all,web,0
61,1/1/2009,22,Nandou de Darwin,world,all,web,0
62,2/1/2009,0,Nandou de Darwin,world,all,web,0
63,3/1/2009,0,Nandou de Darwin,world,all,web,0
64,4/1/2009,22,Nandou de Darwin,world,all,web,0
65,5/1/2009,0,Nandou de Darwin,world,all,web,0
66,6/1/2009,0,Nandou de Darwin,world,all,web,0
67,7/1/2009,0,Nandou de Darwin,world,all,web,0
68,8/1/2009,0,Nandou de Darwin,world,all,web,0
69,9/1/2009,0,Nandou de Darwin,world,all,web,0
70,10/1/2009,0,Nandou de Darwin,world,all,web,0
71,11/1/2009,0,Nandou de Darwin,world,all,web,0
72,12/1/2009,0,Nandou de Darwin,world,all,web,0
73,1/1/2010,17,Nandou de Darwin,world,all,web,0
74,2/1/2010,0,Nandou de Darwin,world,all,web,0
75,3/1/2010,0,Nandou de Darwin,world,all,web,0
76,4/1/2010,0,Nandou de Darwin,world,all,web,0
77,5/1/2010,0,Nandou de Darwin,world,all,web,0
78,6/1/2010,0,Nandou de Darwin,world,all,web,0
79,7/1/2010,0,Nandou de Darwin,world,all,web,0
80,8/1/2010,0,Nandou de Darwin,world,all,web,0
81,9/1/2010,0,Nandou de Darwin,world,all,web,0
82,10/1/2010,0,Nandou de Darwin,world,all,web,0
83,11/1/2010,0,Nandou de Darwin,world,all,web,0
84,12/1/2010,13,Nandou de Darwin,world,all,web,0
85,1/1/2011,0,Nandou de Darwin,world,all,web,0
86,2/1/2011,0,Nandou de Darwin,world,all,web,0
87,3/1/2011,0,Nandou de Darwin,world,all,web,0
88,4/1/2011,0,Nandou de Darwin,world,all,web,0
89,5/1/2011,0,Nandou de Darwin,world,all,web,0
90,6/1/2011,0,Nandou de Darwin,world,all,web,0
91,7/1/2011,0,Nandou de Darwin,world,all,web,0
92,8/1/2011,0,Nandou de Darwin,world,all,web,0
93,9/1/2011,11,Nandou de Darwin,world,all,web,0
94,10/1/2011,0,Nandou de Darwin,world,all,web,0
95,11/1/2011,0,Nandou de Darwin,world,all,web,0
96,12/1/2011,31,Nandou de Darwin,world,all,web,0
97,1/1/2012,10,Nandou de Darwin,world,all,web,0
98,2/1/2012,0,Nandou de Darwin,world,all,web,0
99,3/1/2012,9,Nandou de Darwin,world,all,web,0
100,4/1/2012,0,Nandou de Darwin,world,all,web,0
101,5/1/2012,0,Nandou de Darwin,world,all,web,0
102,6/1/2012,10,Nandou de Darwin,world,all,web,0
103,7/1/2012,0,Nandou de Darwin,world,all,web,0
104,8/1/2012,9,Nandou de Darwin,world,all,web,0
105,9/1/2012,18,Nandou de Darwin,world,all,web,0
106,10/1/2012,0,Nandou de Darwin,world,all,web,0
107,11/1/2012,8,Nandou de Darwin,world,all,web,0
108,12/1/2012,0,Nandou de Darwin,world,all,web,0
109,1/1/2013,8,Nandou de Darwin,world,all,web,0
110,2/1/2013,8,Nandou de Darwin,world,all,web,0
111,3/1/2013,0,Nandou de Darwin,world,all,web,0
112,4/1/2013,15,Nandou de Darwin,world,all,web,0
113,5/1/2013,0,Nandou de Darwin,world,all,web,0
114,6/1/2013,0,Nandou de Darwin,world,all,web,0
115,7/1/2013,15,Nandou de Darwin,world,all,web,0
116,8/1/2013,7,Nandou de Darwin,world,all,web,0
117,9/1/2013,7,Nandou de Darwin,world,all,web,0
118,10/1/2013,7,Nandou de Darwin,world,all,web,0
119,11/1/2013,0,Nandou de Darwin,world,all,web,0
120,12/1/2013,28,Nandou de Darwin,world,all,web,0
121,1/1/2014,53,Nandou de Darwin,world,all,web,0
122,2/1/2014,7,Nandou de Darwin,world,all,web,0
123,3/1/2014,0,Nandou de Darwin,world,all,web,0
124,4/1/2014,7,Nandou de Darwin,world,all,web,0
125,5/1/2014,0,Nandou de Darwin,world,all,web,0
126,6/1/2014,7,Nandou de Darwin,world,all,web,0
127,7/1/2014,7,Nandou de Darwin,world,all,web,0
128,8/1/2014,0,Nandou de Darwin,world,all,web,0
129,9/1/2014,0,Nandou de Darwin,world,all,web,0
130,10/1/2014,0,Nandou de Darwin,world,all,web,0
131,11/1/2014,0,Nandou de Darwin,world,all,web,0
132,12/1/2014,7,Nandou de Darwin,world,all,web,0
133,1/1/2015,6,Nandou de Darwin,world,all,web,0
134,2/1/2015,0,Nandou de Darwin,world,all,web,0
135,3/1/2015,6,Nandou de Darwin,world,all,web,0
136,4/1/2015,6,Nandou de Darwin,world,all,web,0
137,5/1/2015,6,Nandou de Darwin,world,all,web,0
138,6/1/2015,6,Nandou de Darwin,world,all,web,0
139,7/1/2015,6,Nandou de Darwin,world,all,web,0
140,8/1/2015,18,Nandou de Darwin,world,all,web,0
141,9/1/2015,0,Nandou de Darwin,world,all,web,0
142,10/1/2015,6,Nandou de Darwin,world,all,web,0
143,11/1/2015,0,Nandou de Darwin,world,all,web,0
144,12/1/2015,0,Nandou de Darwin,world,all,web,0
145,1/1/2016,0,Nandou de Darwin,world,all,web,0
146,2/1/2016,6,Nandou de Darwin,world,all,web,0
147,3/1/2016,0,Nandou de Darwin,world,all,web,0
148,4/1/2016,0,Nandou de Darwin,world,all,web,0
149,5/1/2016,0,Nandou de Darwin,world,all,web,0
150,6/1/2016,6,Nandou de Darwin,world,all,web,0
151,7/1/2016,0,Nandou de Darwin,world,all,web,0
152,8/1/2016,0,Nandou de Darwin,world,all,web,0
153,9/1/2016,0,Nandou de Darwin,world,all,web,0
154,10/1/2016,0,Nandou de Darwin,world,all,web,0
155,11/1/2016,6,Nandou de Darwin,world,all,web,0
156,12/1/2016,0,Nandou de Darwin,world,all,web,0
157,1/1/2017,6,Nandou de Darwin,world,all,web,0
158,2/1/2017,6,Nandou de Darwin,world,all,web,0
159,3/1/2017,0,Nandou de Darwin,world,all,web,0
160,4/1/2017,6,Nandou de Darwin,world,all,web,0
161,5/1/2017,6,Nandou de Darwin,world,all,web,0
162,6/1/2017,6,Nandou de Darwin,world,all,web,0
163,7/1/2017,6,Nandou de Darwin,world,all,web,0
164,8/1/2017,6,Nandou de Darwin,world,all,web,0
165,9/1/2017,0,Nandou de Darwin,world,all,web,0
166,10/1/2017,0,Nandou de Darwin,world,all,web,0
167,11/1/2017,6,Nandou de Darwin,world,all,web,0
168,12/1/2017,0,Nandou de Darwin,world,all,web,0
169,1/1/2018,0,Nandou de Darwin,world,all,web,0
170,2/1/2018,0,Nandou de Darwin,world,all,web,0
171,3/1/2018,0,Nandou de Darwin,world,all,web,0
172,4/1/2018,5,Nandou de Darwin,world,all,web,0
173,5/1/2018,10,Nandou de Darwin,world,all,web,0
174,6/1/2018,0,Nandou de Darwin,world,all,web,0
175,7/1/2018,0,Nandou de Darwin,world,all,web,0
176,8/1/2018,10,Nandou de Darwin,world,all,web,0
177,9/1/2018,0,Nandou de Darwin,world,all,web,0
178,10/1/2018,5,Nandou de Darwin,world,all,web,0
179,11/1/2018,0,Nandou de Darwin,world,all,web,0
180,12/1/2018,0,Nandou de Darwin,world,all,web,0
181,1/1/2019,5,Nandou de Darwin,world,all,web,0
182,2/1/2019,0,Nandou de Darwin,world,all,web,0
183,3/1/2019,5,Nandou de Darwin,world,all,web,0
184,4/1/2019,0,Nandou de Darwin,world,all,web,0
185,5/1/2019,15,Nandou de Darwin,world,all,web,0
186,6/1/2019,5,Nandou de Darwin,world,all,web,0
187,7/1/2019,15,Nandou de Darwin,world,all,web,0
188,8/1/2019,0,Nandou de Darwin,world,all,web,0
189,9/1/2019,15,Nandou de Darwin,world,all,web,0
190,10/1/2019,0,Nandou de Darwin,world,all,web,0
191,11/1/2019,10,Nandou de Darwin,world,all,web,0
192,12/1/2019,10,Nandou de Darwin,world,all,web,0
193,1/1/2020,0,Nandou de Darwin,world,all,web,0
194,2/1/2020,0,Nandou de Darwin,world,all,web,0
195,3/1/2020,0,Nandou de Darwin,world,all,web,0
196,4/1/2020,13,Nandou de Darwin,world,all,web,0
197,5/1/2020,8,Nandou de Darwin,world,all,web,0
198,6/1/2020,4,Nandou de Darwin,world,all,web,0
199,7/1/2020,0,Nandou de Darwin,world,all,web,0
200,8/1/2020,4,Nandou de Darwin,world,all,web,0
201,9/1/2020,9,Nandou de Darwin,world,all,web,0
202,10/1/2020,4,Nandou de Darwin,world,all,web,0
203,11/1/2020,0,Nandou de Darwin,world,all,web,0
204,12/1/2020,9,Nandou de Darwin,world,all,web,0
205,1/1/2021,9,Nandou de Darwin,world,all,web,0
206,2/1/2021,0,Nandou de Darwin,world,all,web,0
207,3/1/2021,61,Nandou de Darwin,world,all,web,0
208,4/1/2021,14,Nandou de Darwin,world,all,web,0
209,5/1/2021,0,Nandou de Darwin,world,all,web,0
210,6/1/2021,0,Nandou de Darwin,world,all,web,0
211,7/1/2021,14,Nandou de Darwin,world,all,web,0
212,8/1/2021,14,Nandou de Darwin,world,all,web,0
213,9/1/2021,5,Nandou de Darwin,world,all,web,0
214,10/1/2021,14,Nandou de Darwin,world,all,web,0
215,11/1/2021,0,Nandou de Darwin,world,all,web,0
216,12/1/2021,15,Nandou de Darwin,world,all,web,0
217,1/1/2022,15,Nandou de Darwin,world,all,web,0
218,2/1/2022,11,Nandou de Darwin,world,all,web,0
219,3/1/2022,5,Nandou de Darwin,world,all,web,0
220,4/1/2022,5,Nandou de Darwin,world,all,web,0
221,5/1/2022,5,Nandou de Darwin,world,all,web,0
222,6/1/2022,8,Nandou de Darwin,world,all,web,0
223,1/1/2004,0,Casoar a casque,world,all,web,0
224,2/1/2004,0,Casoar a casque,world,all,web,0
225,3/1/2004,0,Casoar a casque,world,all,web,0
226,4/1/2004,0,Casoar a casque,world,all,web,0
227,5/1/2004,0,Casoar a casque,world,all,web,0
228,6/1/2004,0,Casoar a casque,world,all,web,0
229,7/1/2004,0,Casoar a casque,world,all,web,0
230,8/1/2004,0,Casoar a casque,world,all,web,0
231,9/1/2004,100,Casoar a casque,world,all,web,0
232,10/1/2004,0,Casoar a casque,world,all,web,0
233,11/1/2004,0,Casoar a casque,world,all,web,0
234,12/1/2004,0,Casoar a casque,world,all,web,0
235,1/1/2005,0,Casoar a casque,world,all,web,0
236,2/1/2005,0,Casoar a casque,world,all,web,0
237,3/1/2005,0,Casoar a casque,world,all,web,0
238,4/1/2005,0,Casoar a casque,world,all,web,0
239,5/1/2005,0,Casoar a casque,world,all,web,0
240,6/1/2005,0,Casoar a casque,world,all,web,0
241,7/1/2005,0,Casoar a casque,world,all,web,0
242,8/1/2005,0,Casoar a casque,world,all,web,0
243,9/1/2005,0,Casoar a casque,world,all,web,0
244,10/1/2005,0,Casoar a casque,world,all,web,0
245,11/1/2005,0,Casoar a casque,world,all,web,0
246,12/1/2005,0,Casoar a casque,world,all,web,0
247,1/1/2006,0,Casoar a casque,world,all,web,0
248,2/1/2006,0,Casoar a casque,world,all,web,0
249,3/1/2006,46,Casoar a casque,world,all,web,0
250,4/1/2006,0,Casoar a casque,world,all,web,0
251,5/1/2006,45,Casoar a casque,world,all,web,0
252,6/1/2006,0,Casoar a casque,world,all,web,0
253,7/1/2006,0,Casoar a casque,world,all,web,0
254,8/1/2006,0,Casoar a casque,world,all,web,0
255,9/1/2006,0,Casoar a casque,world,all,web,0
256,10/1/2006,0,Casoar a casque,world,all,web,0
257,11/1/2006,0,Casoar a casque,world,all,web,0
258,12/1/2006,0,Casoar a casque,world,all,web,0
259,1/1/2007,0,Casoar a casque,world,all,web,0
260,2/1/2007,0,Casoar a casque,world,all,web,0
261,3/1/2007,0,Casoar a casque,world,all,web,0
262,4/1/2007,0,Casoar a casque,world,all,web,0
263,5/1/2007,0,Casoar a casque,world,all,web,0
264,6/1/2007,0,Casoar a casque,world,all,web,0
265,7/1/2007,0,Casoar a casque,world,all,web,0
266,8/1/2007,0,Casoar a casque,world,all,web,0
267,9/1/2007,0,Casoar a casque,world,all,web,0
268,10/1/2007,0,Casoar a casque,world,all,web,0
269,11/1/2007,0,Casoar a casque,world,all,web,0
270,12/1/2007,0,Casoar a casque,world,all,web,0
271,1/1/2008,22,Casoar a casque,world,all,web,0
272,2/1/2008,0,Casoar a casque,world,all,web,0
273,3/1/2008,0,Casoar a casque,world,all,web,0
274,4/1/2008,0,Casoar a casque,world,all,web,0
275,5/1/2008,0,Casoar a casque,world,all,web,0
276,6/1/2008,0,Casoar a casque,world,all,web,0
277,7/1/2008,0,Casoar a casque,world,all,web,0
278,8/1/2008,0,Casoar a casque,world,all,web,0
279,9/1/2008,0,Casoar a casque,world,all,web,0
280,10/1/2008,0,Casoar a casque,world,all,web,0
281,11/1/2008,0,Casoar a casque,world,all,web,0
282,12/1/2008,0,Casoar a casque,world,all,web,0
283,1/1/2009,0,Casoar a casque,world,all,web,0
284,2/1/2009,0,Casoar a casque,world,all,web,0
285,3/1/2009,0,Casoar a casque,world,all,web,0
286,4/1/2009,0,Casoar a casque,world,all,web,0
287,5/1/2009,0,Casoar a casque,world,all,web,0
288,6/1/2009,0,Casoar a casque,world,all,web,0
289,7/1/2009,0,Casoar a casque,world,all,web,0
290,8/1/2009,0,Casoar a casque,world,all,web,0
291,9/1/2009,0,Casoar a casque,world,all,web,0
292,10/1/2009,0,Casoar a casque,world,all,web,0
293,11/1/2009,0,Casoar a casque,world,all,web,0
294,12/1/2009,13,Casoar a casque,world,all,web,0
295,1/1/2010,0,Casoar a casque,world,all,web,0
296,2/1/2010,0,Casoar a casque,world,all,web,0
297,3/1/2010,0,Casoar a casque,world,all,web,0
298,4/1/2010,0,Casoar a casque,world,all,web,0
299,5/1/2010,0,Casoar a casque,world,all,web,0
300,6/1/2010,0,Casoar a casque,world,all,web,0
301,7/1/2010,11,Casoar a casque,world,all,web,0
302,8/1/2010,0,Casoar a casque,world,all,web,0
303,9/1/2010,0,Casoar a casque,world,all,web,0
304,10/1/2010,0,Casoar a casque,world,all,web,0
305,11/1/2010,10,Casoar a casque,world,all,web,0
306,12/1/2010,0,Casoar a casque,world,all,web,0
307,1/1/2011,0,Casoar a casque,world,all,web,0
308,2/1/2011,0,Casoar a casque,world,all,web,0
309,3/1/2011,0,Casoar a casque,world,all,web,0
310,4/1/2011,9,Casoar a casque,world,all,web,0
311,5/1/2011,76,Casoar a casque,world,all,web,0
312,6/1/2011,9,Casoar a casque,world,all,web,0
313,7/1/2011,0,Casoar a casque,world,all,web,0
314,8/1/2011,8,Casoar a casque,world,all,web,0
315,9/1/2011,8,Casoar a casque,world,all,web,0
316,10/1/2011,15,Casoar a casque,world,all,web,0
317,11/1/2011,0,Casoar a casque,world,all,web,0
318,12/1/2011,0,Casoar a casque,world,all,web,0
319,1/1/2012,7,Casoar a casque,world,all,web,0
320,2/1/2012,14,Casoar a casque,world,all,web,0
321,3/1/2012,13,Casoar a casque,world,all,web,0
322,4/1/2012,0,Casoar a casque,world,all,web,0
323,5/1/2012,20,Casoar a casque,world,all,web,0
324,6/1/2012,7,Casoar a casque,world,all,web,0
