"","date","hits","keyword","geo","time","gprop","category"
"1",2004-01-01,"0","Hoazin","world","all","web",0
"2",2004-02-01,"0","Hoazin","world","all","web",0
"3",2004-03-01,"0","Hoazin","world","all","web",0
"4",2004-04-01,"0","Hoazin","world","all","web",0
"5",2004-05-01,"0","Hoazin","world","all","web",0
"6",2004-06-01,"0","Hoazin","world","all","web",0
"7",2004-07-01,"0","Hoazin","world","all","web",0
"8",2004-08-01,"100","Hoazin","world","all","web",0
"9",2004-09-01,"93","Hoazin","world","all","web",0
"10",2004-10-01,"0","Hoazin","world","all","web",0
"11",2004-11-01,"0","Hoazin","world","all","web",0
"12",2004-12-01,"0","Hoazin","world","all","web",0
"13",2005-01-01,"0","Hoazin","world","all","web",0
"14",2005-02-01,"41","Hoazin","world","all","web",0
"15",2005-03-01,"34","Hoazin","world","all","web",0
"16",2005-04-01,"0","Hoazin","world","all","web",0
"17",2005-05-01,"67","Hoazin","world","all","web",0
"18",2005-06-01,"0","Hoazin","world","all","web",0
"19",2005-07-01,"69","Hoazin","world","all","web",0
"20",2005-08-01,"33","Hoazin","world","all","web",0
"21",2005-09-01,"30","Hoazin","world","all","web",0
"22",2005-10-01,"28","Hoazin","world","all","web",0
"23",2005-11-01,"56","Hoazin","world","all","web",0
"24",2005-12-01,"0","Hoazin","world","all","web",0
"25",2006-01-01,"72","Hoazin","world","all","web",0
"26",2006-02-01,"25","Hoazin","world","all","web",0
"27",2006-03-01,"64","Hoazin","world","all","web",0
"28",2006-04-01,"0","Hoazin","world","all","web",0
"29",2006-05-01,"0","Hoazin","world","all","web",0
"30",2006-06-01,"0","Hoazin","world","all","web",0
"31",2006-07-01,"22","Hoazin","world","all","web",0
"32",2006-08-01,"0","Hoazin","world","all","web",0
"33",2006-09-01,"0","Hoazin","world","all","web",0
"34",2006-10-01,"0","Hoazin","world","all","web",0
"35",2006-11-01,"0","Hoazin","world","all","web",0
"36",2006-12-01,"36","Hoazin","world","all","web",0
"37",2007-01-01,"0","Hoazin","world","all","web",0
"38",2007-02-01,"16","Hoazin","world","all","web",0
"39",2007-03-01,"29","Hoazin","world","all","web",0
"40",2007-04-01,"0","Hoazin","world","all","web",0
"41",2007-05-01,"26","Hoazin","world","all","web",0
"42",2007-06-01,"13","Hoazin","world","all","web",0
"43",2007-07-01,"13","Hoazin","world","all","web",0
"44",2007-08-01,"0","Hoazin","world","all","web",0
"45",2007-09-01,"37","Hoazin","world","all","web",0
"46",2007-10-01,"55","Hoazin","world","all","web",0
"47",2007-11-01,"43","Hoazin","world","all","web",0
"48",2007-12-01,"11","Hoazin","world","all","web",0
"49",2008-01-01,"20","Hoazin","world","all","web",0
"50",2008-02-01,"21","Hoazin","world","all","web",0
"51",2008-03-01,"29","Hoazin","world","all","web",0
"52",2008-04-01,"10","Hoazin","world","all","web",0
"53",2008-05-01,"9","Hoazin","world","all","web",0
"54",2008-06-01,"19","Hoazin","world","all","web",0
"55",2008-07-01,"19","Hoazin","world","all","web",0
"56",2008-08-01,"0","Hoazin","world","all","web",0
"57",2008-09-01,"0","Hoazin","world","all","web",0
"58",2008-10-01,"47","Hoazin","world","all","web",0
"59",2008-11-01,"25","Hoazin","world","all","web",0
"60",2008-12-01,"8","Hoazin","world","all","web",0
"61",2009-01-01,"15","Hoazin","world","all","web",0
"62",2009-02-01,"31","Hoazin","world","all","web",0
"63",2009-03-01,"35","Hoazin","world","all","web",0
"64",2009-04-01,"51","Hoazin","world","all","web",0
"65",2009-05-01,"7","Hoazin","world","all","web",0
"66",2009-06-01,"61","Hoazin","world","all","web",0
"67",2009-07-01,"27","Hoazin","world","all","web",0
"68",2009-08-01,"14","Hoazin","world","all","web",0
"69",2009-09-01,"6","Hoazin","world","all","web",0
"70",2009-10-01,"24","Hoazin","world","all","web",0
"71",2009-11-01,"24","Hoazin","world","all","web",0
"72",2009-12-01,"18","Hoazin","world","all","web",0
"73",2010-01-01,"44","Hoazin","world","all","web",0
"74",2010-02-01,"23","Hoazin","world","all","web",0
"75",2010-03-01,"11","Hoazin","world","all","web",0
"76",2010-04-01,"45","Hoazin","world","all","web",0
"77",2010-05-01,"33","Hoazin","world","all","web",0
"78",2010-06-01,"17","Hoazin","world","all","web",0
"79",2010-07-01,"16","Hoazin","world","all","web",0
"80",2010-08-01,"25","Hoazin","world","all","web",0
"81",2010-09-01,"19","Hoazin","world","all","web",0
"82",2010-10-01,"18","Hoazin","world","all","web",0
"83",2010-11-01,"5","Hoazin","world","all","web",0
"84",2010-12-01,"32","Hoazin","world","all","web",0
"85",2011-01-01,"8","Hoazin","world","all","web",0
"86",2011-02-01,"34","Hoazin","world","all","web",0
"87",2011-03-01,"36","Hoazin","world","all","web",0
"88",2011-04-01,"25","Hoazin","world","all","web",0
"89",2011-05-01,"16","Hoazin","world","all","web",0
"90",2011-06-01,"8","Hoazin","world","all","web",0
"91",2011-07-01,"4","Hoazin","world","all","web",0
"92",2011-08-01,"12","Hoazin","world","all","web",0
"93",2011-09-01,"30","Hoazin","world","all","web",0
"94",2011-10-01,"18","Hoazin","world","all","web",0
"95",2011-11-01,"36","Hoazin","world","all","web",0
"96",2011-12-01,"4","Hoazin","world","all","web",0
"97",2012-01-01,"29","Hoazin","world","all","web",0
"98",2012-02-01,"17","Hoazin","world","all","web",0
"99",2012-03-01,"22","Hoazin","world","all","web",0
"100",2012-04-01,"23","Hoazin","world","all","web",0
"101",2012-05-01,"12","Hoazin","world","all","web",0
"102",2012-06-01,"13","Hoazin","world","all","web",0
"103",2012-07-01,"9","Hoazin","world","all","web",0
"104",2012-08-01,"9","Hoazin","world","all","web",0
"105",2012-09-01,"43","Hoazin","world","all","web",0
"106",2012-10-01,"28","Hoazin","world","all","web",0
"107",2012-11-01,"11","Hoazin","world","all","web",0
"108",2012-12-01,"14","Hoazin","world","all","web",0
"109",2013-01-01,"10","Hoazin","world","all","web",0
"110",2013-02-01,"31","Hoazin","world","all","web",0
"111",2013-03-01,"13","Hoazin","world","all","web",0
"112",2013-04-01,"13","Hoazin","world","all","web",0
"113",2013-05-01,"12","Hoazin","world","all","web",0
"114",2013-06-01,"18","Hoazin","world","all","web",0
"115",2013-07-01,"10","Hoazin","world","all","web",0
"116",2013-08-01,"13","Hoazin","world","all","web",0
"117",2013-09-01,"7","Hoazin","world","all","web",0
"118",2013-10-01,"19","Hoazin","world","all","web",0
"119",2013-11-01,"21","Hoazin","world","all","web",0
"120",2013-12-01,"19","Hoazin","world","all","web",0
"121",2014-01-01,"24","Hoazin","world","all","web",0
"122",2014-02-01,"24","Hoazin","world","all","web",0
"123",2014-03-01,"15","Hoazin","world","all","web",0
"124",2014-04-01,"22","Hoazin","world","all","web",0
"125",2014-05-01,"23","Hoazin","world","all","web",0
"126",2014-06-01,"8","Hoazin","world","all","web",0
"127",2014-07-01,"15","Hoazin","world","all","web",0
"128",2014-08-01,"20","Hoazin","world","all","web",0
"129",2014-09-01,"7","Hoazin","world","all","web",0
"130",2014-10-01,"11","Hoazin","world","all","web",0
"131",2014-11-01,"20","Hoazin","world","all","web",0
"132",2014-12-01,"9","Hoazin","world","all","web",0
"133",2015-01-01,"8","Hoazin","world","all","web",0
"134",2015-02-01,"21","Hoazin","world","all","web",0
"135",2015-03-01,"2","Hoazin","world","all","web",0
"136",2015-04-01,"24","Hoazin","world","all","web",0
"137",2015-05-01,"10","Hoazin","world","all","web",0
"138",2015-06-01,"11","Hoazin","world","all","web",0
"139",2015-07-01,"8","Hoazin","world","all","web",0
"140",2015-08-01,"14","Hoazin","world","all","web",0
"141",2015-09-01,"10","Hoazin","world","all","web",0
"142",2015-10-01,"19","Hoazin","world","all","web",0
"143",2015-11-01,"18","Hoazin","world","all","web",0
"144",2015-12-01,"10","Hoazin","world","all","web",0
"145",2016-01-01,"4","Hoazin","world","all","web",0
"146",2016-02-01,"21","Hoazin","world","all","web",0
"147",2016-03-01,"27","Hoazin","world","all","web",0
"148",2016-04-01,"4","Hoazin","world","all","web",0
"149",2016-05-01,"10","Hoazin","world","all","web",0
"150",2016-06-01,"10","Hoazin","world","all","web",0
"151",2016-07-01,"11","Hoazin","world","all","web",0
"152",2016-08-01,"11","Hoazin","world","all","web",0
"153",2016-09-01,"4","Hoazin","world","all","web",0
"154",2016-10-01,"20","Hoazin","world","all","web",0
"155",2016-11-01,"18","Hoazin","world","all","web",0
"156",2016-12-01,"10","Hoazin","world","all","web",0
"157",2017-01-01,"11","Hoazin","world","all","web",0
"158",2017-02-01,"16","Hoazin","world","all","web",0
"159",2017-03-01,"11","Hoazin","world","all","web",0
"160",2017-04-01,"15","Hoazin","world","all","web",0
"161",2017-05-01,"15","Hoazin","world","all","web",0
"162",2017-06-01,"4","Hoazin","world","all","web",0
"163",2017-07-01,"16","Hoazin","world","all","web",0
"164",2017-08-01,"11","Hoazin","world","all","web",0
"165",2017-09-01,"10","Hoazin","world","all","web",0
"166",2017-10-01,"9","Hoazin","world","all","web",0
"167",2017-11-01,"13","Hoazin","world","all","web",0
"168",2017-12-01,"9","Hoazin","world","all","web",0
"169",2018-01-01,"16","Hoazin","world","all","web",0
"170",2018-02-01,"11","Hoazin","world","all","web",0
"171",2018-03-01,"14","Hoazin","world","all","web",0
"172",2018-04-01,"9","Hoazin","world","all","web",0
"173",2018-05-01,"7","Hoazin","world","all","web",0
"174",2018-06-01,"11","Hoazin","world","all","web",0
"175",2018-07-01,"3","Hoazin","world","all","web",0
"176",2018-08-01,"7","Hoazin","world","all","web",0
"177",2018-09-01,"9","Hoazin","world","all","web",0
"178",2018-10-01,"9","Hoazin","world","all","web",0
"179",2018-11-01,"9","Hoazin","world","all","web",0
"180",2018-12-01,"7","Hoazin","world","all","web",0
"181",2019-01-01,"22","Hoazin","world","all","web",0
"182",2019-02-01,"13","Hoazin","world","all","web",0
"183",2019-03-01,"12","Hoazin","world","all","web",0
"184",2019-04-01,"2","Hoazin","world","all","web",0
"185",2019-05-01,"10","Hoazin","world","all","web",0
"186",2019-06-01,"33","Hoazin","world","all","web",0
"187",2019-07-01,"18","Hoazin","world","all","web",0
"188",2019-08-01,"17","Hoazin","world","all","web",0
"189",2019-09-01,"20","Hoazin","world","all","web",0
"190",2019-10-01,"11","Hoazin","world","all","web",0
"191",2019-11-01,"16","Hoazin","world","all","web",0
"192",2019-12-01,"13","Hoazin","world","all","web",0
"193",2020-01-01,"16","Hoazin","world","all","web",0
"194",2020-02-01,"11","Hoazin","world","all","web",0
"195",2020-03-01,"6","Hoazin","world","all","web",0
"196",2020-04-01,"18","Hoazin","world","all","web",0
"197",2020-05-01,"11","Hoazin","world","all","web",0
"198",2020-06-01,"7","Hoazin","world","all","web",0
"199",2020-07-01,"10","Hoazin","world","all","web",0
"200",2020-08-01,"10","Hoazin","world","all","web",0
"201",2020-09-01,"17","Hoazin","world","all","web",0
"202",2020-10-01,"4","Hoazin","world","all","web",0
"203",2020-11-01,"13","Hoazin","world","all","web",0
"204",2020-12-01,"18","Hoazin","world","all","web",0
"205",2021-01-01,"18","Hoazin","world","all","web",0
"206",2021-02-01,"16","Hoazin","world","all","web",0
"207",2021-03-01,"23","Hoazin","world","all","web",0
"208",2021-04-01,"15","Hoazin","world","all","web",0
"209",2021-05-01,"35","Hoazin","world","all","web",0
"210",2021-06-01,"12","Hoazin","world","all","web",0
"211",2021-07-01,"11","Hoazin","world","all","web",0
"212",2021-08-01,"8","Hoazin","world","all","web",0
"213",2021-09-01,"10","Hoazin","world","all","web",0
"214",2021-10-01,"16","Hoazin","world","all","web",0
"215",2021-11-01,"11","Hoazin","world","all","web",0
"216",2021-12-01,"7","Hoazin","world","all","web",0
"217",2022-01-01,"17","Hoazin","world","all","web",0
"218",2022-02-01,"15","Hoazin","world","all","web",0
"219",2022-03-01,"12","Hoazin","world","all","web",0
"220",2022-04-01,"12","Hoazin","world","all","web",0
"221",2022-05-01,"8","Hoazin","world","all","web",0
"222",2022-06-01,"14","Hoazin","world","all","web",0
"223",2004-01-01,"17","Pirincho","world","all","web",0
"224",2004-02-01,"0","Pirincho","world","all","web",0
"225",2004-03-01,"41","Pirincho","world","all","web",0
"226",2004-04-01,"16","Pirincho","world","all","web",0
"227",2004-05-01,"28","Pirincho","world","all","web",0
"228",2004-06-01,"0","Pirincho","world","all","web",0
"229",2004-07-01,"0","Pirincho","world","all","web",0
"230",2004-08-01,"13","Pirincho","world","all","web",0
"231",2004-09-01,"0","Pirincho","world","all","web",0
"232",2004-10-01,"25","Pirincho","world","all","web",0
"233",2004-11-01,"0","Pirincho","world","all","web",0
"234",2004-12-01,"0","Pirincho","world","all","web",0
"235",2005-01-01,"0","Pirincho","world","all","web",0
"236",2005-02-01,"0","Pirincho","world","all","web",0
"237",2005-03-01,"18","Pirincho","world","all","web",0
"238",2005-04-01,"0","Pirincho","world","all","web",0
"239",2005-05-01,"18","Pirincho","world","all","web",0
"240",2005-06-01,"18","Pirincho","world","all","web",0
"241",2005-07-01,"18","Pirincho","world","all","web",0
"242",2005-08-01,"9","Pirincho","world","all","web",0
"243",2005-09-01,"0","Pirincho","world","all","web",0
"244",2005-10-01,"7","Pirincho","world","all","web",0
"245",2005-11-01,"7","Pirincho","world","all","web",0
"246",2005-12-01,"0","Pirincho","world","all","web",0
"247",2006-01-01,"19","Pirincho","world","all","web",0
"248",2006-02-01,"0","Pirincho","world","all","web",0
"249",2006-03-01,"17","Pirincho","world","all","web",0
"250",2006-04-01,"6","Pirincho","world","all","web",0
"251",2006-05-01,"0","Pirincho","world","all","web",0
"252",2006-06-01,"18","Pirincho","world","all","web",0
"253",2006-07-01,"18","Pirincho","world","all","web",0
"254",2006-08-01,"5","Pirincho","world","all","web",0
"255",2006-09-01,"10","Pirincho","world","all","web",0
"256",2006-10-01,"19","Pirincho","world","all","web",0
"257",2006-11-01,"14","Pirincho","world","all","web",0
