,keyword,mean
1,Abanico Gris,12.24774775
2,Abanico Negro,19.0045045
3,Abejaruco Europeo,6.693693694
4,Abejero Europeo,2.378378378
5,Acentor Alpino,6.963963964
6,Acentor Comun,10.54954955
7,Achichilique de Clark,1.36036036
8,Agachadiza Chica,3.400900901
9,Agachadiza Comun,4.671171171
10,Agachadiza del Himalaya,2.333333333
11,Agachadiza Real,3.558558559
12,aguila Audaz,5.981981982
13,aguila Cafre,5.486486486
14,aguila Calzada,6.923423423
15,aguila Chica,12.03153153
16,aguila Coronada,17.22072072
17,aguila de Filipinas,6.734234234
18,aguila de Flores,26.31981982
19,aguila Esteparia,9.968468468
20,aguila Imperial Iberica,20.04954955
21,aguila India,15.77927928
22,aguila Marcial,7.702702703
23,aguila Monera,10.69369369
24,aguila Mora,32.41441441
25,aguila Negra,48.45495495
26,aguila Perdicera,14.82882883
27,aguila Pescadora,21.14864865
28,aguila Poma,5.31981982
29,aguila Pomerana,1.058558559
30,aguila Rapaz,11.7972973
31,aguila Real,58.27477477
32,aguila Solitaria,30.01801802
33,aguila Volatinera,2.067567568
34,Aguilucho Cenizo,16.72072072
35,Aguilucho Negro,6.153153153
36,Aguilucho Palido,6.869369369
37,Aguilucho Papialbo,3.243243243
38,Aguja Cafe,6.076576577
39,Aguja Colinegra,4.153153153
40,Aguja Colipinta,6.495495495
41,Agujeta Gris,7.396396396
42,Akiapolaau,4.310810811
43,Akohekohe,4.040540541
44,Albatros de Buller,3.427927928
45,Albatros de Galapagos,14.22072072
46,Albatros de Laysan,3.171171171
47,Albatros Ojeroso,2.788288288
48,Albatros Real,18.92792793
49,Albatros Viajero,6.09009009
50,Alca Comun,7.801801802
51,Alcaravan Comun,7.126126126
52,Alcaravan Peruano,2.09009009
53,Alcatraz Atlantico,3.626126126
54,Alcaudon Chico,3.932432432
55,Alcaudon Comun,14.38288288
56,Alcaudon Dorsirrojo,10.50900901
57,Alcaudon Real,14.68018018
58,Alcion de Guam,0.918918919
