,keyword,spa_count,spa_mean
1,Abanico Gris,2719,12.25
2,Abanico Negro,4219,19.00
3,Abejaruco Europeo,1486,6.69
4,Abejero Europeo,528,2.38
5,Acentor Alpino,1546,6.96
6,Acentor Comun,2342,10.55
7,Achichilique de Clark,302,1.36
8,Agachadiza Chica,755,3.40
9,Agachadiza Comun,1037,4.67
10,Agachadiza del Himalaya,518,2.33
11,Agachadiza Real,790,3.56
12,aguila Audaz,1328,5.98
13,aguila Cafre,1218,5.49
14,aguila Calzada,1537,6.92
15,aguila Chica,2671,12.03
16,aguila Coronada,3823,17.22
17,aguila de Filipinas,1495,6.73
18,aguila de Flores,5843,26.32
19,aguila Esteparia,2213,9.97
20,aguila Imperial Iberica,4451,20.05
21,aguila India,3503,15.78
22,aguila Marcial,1710,7.70
23,aguila Monera,2374,10.69
24,aguila Mora,7196,32.41
25,aguila Negra,10757,48.45
26,aguila Perdicera,3292,14.83
27,aguila Pescadora,4695,21.15
28,aguila Poma,1181,5.32
29,aguila Pomerana,235,1.06
30,aguila Rapaz,2619,11.80
31,aguila Real,12937,58.27
32,aguila Solitaria,6664,30.02
33,aguila Volatinera,459,2.07
34,Aguilucho Cenizo,3712,16.72
35,Aguilucho Negro,1366,6.15
36,Aguilucho Palido,1525,6.87
37,Aguilucho Papialbo,720,3.24
38,Aguja Cafe,1349,6.08
39,Aguja Colinegra,922,4.15
40,Aguja Colipinta,1442,6.50
41,Agujeta Gris,1642,7.40
42,Akiapolaau,957,4.31
43,Akohekohe,897,4.04
44,Albatros de Buller,761,3.43
45,Albatros de Galapagos,3157,14.22
46,Albatros de Laysan,704,3.17
47,Albatros Ojeroso,619,2.79
48,Albatros Real,4202,18.93
49,Albatros Viajero,1352,6.09
50,Alca Comun,1732,7.80
51,Alcaravan Comun,1582,7.13
52,Alcaravan Peruano,464,2.09
53,Alcatraz Atlantico,805,3.63
54,Alcaudon Chico,873,3.93
55,Alcaudon Comun,3193,14.38
56,Alcaudon Dorsirrojo,2333,10.51
57,Alcaudon Real,3259,14.68
58,Alcion de Guam,204,0.92
59,Alimoche Comun,1559,7.02
60,Alimoche Sombrio,690,3.11
61,Alondra Comun,1290,5.81
62,Alondra Cornuda,1584,7.14
63,Alondra Ibis,1013,4.56
64,Alondra Ricoti,2062,9.29
65,Alzacola Rojizo,812,3.66
66,Amazilia Tzacatl,1813,8.17
67,Amazona Real,3150,14.19
68,Ampelis Americano,809,3.64
69,Ampelis Europeo,651,2.93
70,anade Azulon,1412,6.36
71,anade Friso,1543,6.95
72,anade Malgache,1260,5.68
73,anade Rabudo,826,3.72
74,Andarrios Chico,1333,6.00
75,Angu,5565,25.07
76,Anianiau,1171,5.27
77,ansar Comun,2004,9.03
