"","code","title","timing","scope","severity","score","invasive","sp"
"1","11.1","Habitat shifting & alteration","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Melanitta nigra"
"2","11.5","Other impacts","Future","Majority (50-90%)","Unknown","Unknown",NA,"Melanitta nigra"
"3","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"4","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"5","4.3","Shipping lanes","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"6","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"7","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"8","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Melanitta nigra"
"9","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Melanitta nigra"
"10","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Melanitta nigra"
"11","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Melanitta nigra"
"12","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"13","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"14","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"15","9.3.4","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"16","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Clangula hyemalis"
"17","11.5","Other impacts","Future","Whole (>90%)","Unknown","Unknown",NA,"Clangula hyemalis"
"18","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"19","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"20","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"21","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Clangula hyemalis"
"22","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Clangula hyemalis"
"23","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Clangula hyemalis"
"24","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Clangula hyemalis"
"25","8.1","Invasive non-native/alien species/diseases (Neogobius melanostomus)","Ongoing","Minority (<50%)","Unknown","Unknown","Neogobius melanostomus","Clangula hyemalis"
"26","8.1","Invasive non-native/alien species/diseases (Pasteurella multocida)","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact","Pasteurella multocida","Clangula hyemalis"
"27","8.1.2","Named species (Neogobius melanostomus)","Ongoing","Minority (<50%)","Unknown","Unknown","Neogobius melanostomus","Clangula hyemalis"
"28","8.1.2","Named species (Pasteurella multocida)","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact","Pasteurella multocida","Clangula hyemalis"
"29","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Clangula hyemalis"
"30","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Clangula hyemalis"
"31","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Clangula hyemalis"
"32","9.2.1","Oil spills","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Clangula hyemalis"
"33","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"34","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"35","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"36","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"37","8.1","Invasive non-native/alien species/diseases (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis","Bucephala clangula"
"38","8.1.2","Named species (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis","Bucephala clangula"
"39","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Bucephala clangula"
"40","9.2.1","Oil spills","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Bucephala clangula"
"41","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Bucephala islandica"
"42","1.3","Tourism & recreation areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bucephala islandica"
"43","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"44","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"45","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"46","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"47","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bucephala islandica"
