,species,English.name,French.name,Spanish.name
1,Struthio camelus,Common Ostrich,Autruche d'Afrique,Avestruz Comun
2,Struthio molybdophanes,Somali Ostrich,Autruche de Somalie,Avestruz Somali
3,Rhea americana,Greater Rhea,Nandou d'Amerique,nandu Comun
4,Rhea pennata,Lesser Rhea,Nandou de Darwin,nandu Petiso
5,Rhea tarapacensis,Puna Rhea,NA,NA
6,Nothocercus julius,Tawny-breasted Tinamou,Tinamou a tete rousse,Tinamu Cabecirrojo
7,Nothocercus bonapartei,Highland Tinamou,Tinamou de Bonaparte,Tinamu Serrano
8,Nothocercus nigrocapillus,Hooded Tinamou,Tinamou a capuchon,Tinamu Cabecinegro
9,Tinamus tao,Grey Tinamou,Tinamou tao,Tinamu Tao
10,Tinamus solitarius,Solitary Tinamou,Tinamou solitaire,Tinamu Macuco
11,Tinamus osgoodi,Black Tinamou,Tinamou noir,Tinamu Negro
12,Tinamus major,Great Tinamou,Grand Tinamou,Tinamu Olivaceo
13,Tinamus guttatus,White-throated Tinamou,Tinamou a gorge blanche,Tinamu Moteado
14,Crypturellus berlepschi,Berlepsch's Tinamou,Tinamou de Berlepsch,Tinamu Tizon
15,Crypturellus cinereus,Cinereous Tinamou,Tinamou cendre,Tinamu Sombrio
16,Crypturellus ptaritepui,Tepui Tinamou,Tinamou des tepuis,Tinamu de Tepuy
17,Crypturellus soui,Little Tinamou,Tinamou soui,Tinamu Chico
18,Crypturellus obsoletus,Brown Tinamou,Tinamou brun,Tinamu Cafe
19,Crypturellus undulatus,Undulated Tinamou,Tinamou vermicule,Tinamu Ondeado
20,Crypturellus strigulosus,Brazilian Tinamou,Tinamou oariana,Tinamu Brasileno
21,Crypturellus duidae,Grey-legged Tinamou,Tinamou de Zimmer,Tinamu Patigris
22,Crypturellus erythropus,Red-legged Tinamou,Tinamou a pieds rouges,Tinamu Patirrojo
23,Crypturellus noctivagus,Yellow-legged Tinamou,Tinamou noctivague,Tinamu Patigualdo
