"","date","hits","keyword","geo","time","gprop","category"
"1",2018-08-01,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"2",2018-08-02,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"3",2018-08-03,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"4",2018-08-04,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"5",2018-08-05,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"6",2018-08-06,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"7",2018-08-07,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"8",2018-08-08,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"9",2018-08-09,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"10",2018-08-10,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"11",2018-08-11,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"12",2018-08-12,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"13",2018-08-13,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"14",2018-08-14,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"15",2018-08-15,88,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"16",2018-08-16,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"17",2018-08-17,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"18",2018-08-18,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"19",2018-08-19,100,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"20",2018-08-20,88,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"21",2018-08-21,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"22",2018-08-22,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"23",2018-08-23,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"24",2018-08-24,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"25",2018-08-25,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"26",2018-08-26,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"27",2018-08-27,0,"Rhea americana","world","2018-08-01 2018-08-27","web",0
"28",2018-08-01,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"29",2018-08-02,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"30",2018-08-03,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"31",2018-08-04,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"32",2018-08-05,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"33",2018-08-06,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"34",2018-08-07,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"35",2018-08-08,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"36",2018-08-09,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"37",2018-08-10,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"38",2018-08-11,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"39",2018-08-12,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"40",2018-08-13,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"41",2018-08-14,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"42",2018-08-15,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"43",2018-08-16,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"44",2018-08-17,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"45",2018-08-18,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"46",2018-08-19,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
"47",2018-08-20,0,"Rhea pennata","world","2018-08-01 2018-08-27","web",0
