"","location","hits","keyword","geo","gprop"
"1","Aruba",NA,"Struthio molybdophanes","world","web"
"2","Afghanistan",NA,"Struthio molybdophanes","world","web"
"3","Angola",NA,"Struthio molybdophanes","world","web"
"4","Anguilla",NA,"Struthio molybdophanes","world","web"
"5","Åland Islands",NA,"Struthio molybdophanes","world","web"
"6","Albania",NA,"Struthio molybdophanes","world","web"
"7","Andorra",NA,"Struthio molybdophanes","world","web"
"8","United Arab Emirates",NA,"Struthio molybdophanes","world","web"
"9","Argentina",NA,"Struthio molybdophanes","world","web"
"10","Armenia",NA,"Struthio molybdophanes","world","web"
"11","American Samoa",NA,"Struthio molybdophanes","world","web"
"12","Antarctica",NA,"Struthio molybdophanes","world","web"
"13","French Southern Territories",NA,"Struthio molybdophanes","world","web"
"14","Antigua & Barbuda",NA,"Struthio molybdophanes","world","web"
"15","Australia",NA,"Struthio molybdophanes","world","web"
"16","Austria",NA,"Struthio molybdophanes","world","web"
"17","Azerbaijan",NA,"Struthio molybdophanes","world","web"
"18","Burundi",NA,"Struthio molybdophanes","world","web"
"19","Belgium",NA,"Struthio molybdophanes","world","web"
"20","Benin",NA,"Struthio molybdophanes","world","web"
"21","Caribbean Netherlands",NA,"Struthio molybdophanes","world","web"
"22","Burkina Faso",NA,"Struthio molybdophanes","world","web"
"23","Bangladesh",NA,"Struthio molybdophanes","world","web"
"24","Bulgaria",NA,"Struthio molybdophanes","world","web"
"25","Bahrain",NA,"Struthio molybdophanes","world","web"
"26","Bahamas",NA,"Struthio molybdophanes","world","web"
"27","Bosnia & Herzegovina",NA,"Struthio molybdophanes","world","web"
"28","St. Barthélemy",NA,"Struthio molybdophanes","world","web"
"29","Belarus",NA,"Struthio molybdophanes","world","web"
"30","Belize",NA,"Struthio molybdophanes","world","web"
"31","Bermuda",NA,"Struthio molybdophanes","world","web"
"32","Bolivia",NA,"Struthio molybdophanes","world","web"
"33","Brazil",NA,"Struthio molybdophanes","world","web"
"34","Barbados",NA,"Struthio molybdophanes","world","web"
"35","Brunei",NA,"Struthio molybdophanes","world","web"
"36","Bhutan",NA,"Struthio molybdophanes","world","web"
"37","Bouvet Island",NA,"Struthio molybdophanes","world","web"
"38","Botswana",NA,"Struthio molybdophanes","world","web"
"39","Central African Republic",NA,"Struthio molybdophanes","world","web"
"40","Canada",NA,"Struthio molybdophanes","world","web"
"41","Cocos (Keeling) Islands",NA,"Struthio molybdophanes","world","web"
"42","Switzerland",NA,"Struthio molybdophanes","world","web"
"43","Chile",NA,"Struthio molybdophanes","world","web"
"44","China",NA,"Struthio molybdophanes","world","web"
"45","Côte d’Ivoire",NA,"Struthio molybdophanes","world","web"
"46","Cameroon",NA,"Struthio molybdophanes","world","web"
"47","Congo - Kinshasa",NA,"Struthio molybdophanes","world","web"
"48","Congo - Brazzaville",NA,"Struthio molybdophanes","world","web"
"49","Cook Islands",NA,"Struthio molybdophanes","world","web"
"50","Colombia",NA,"Struthio molybdophanes","world","web"
"51","Comoros",NA,"Struthio molybdophanes","world","web"
"52","Cape Verde",NA,"Struthio molybdophanes","world","web"
"53","Costa Rica",NA,"Struthio molybdophanes","world","web"
"54","Cuba",NA,"Struthio molybdophanes","world","web"
"55","Curaçao",NA,"Struthio molybdophanes","world","web"
"56","Christmas Island",NA,"Struthio molybdophanes","world","web"
"57","Cayman Islands",NA,"Struthio molybdophanes","world","web"
"58","Cyprus",NA,"Struthio molybdophanes","world","web"
"59","Czechia",NA,"Struthio molybdophanes","world","web"
"60","Germany",NA,"Struthio molybdophanes","world","web"
"61","Djibouti",NA,"Struthio molybdophanes","world","web"
"62","Dominica",NA,"Struthio molybdophanes","world","web"
"63","Denmark",NA,"Struthio molybdophanes","world","web"
"64","Dominican Republic",NA,"Struthio molybdophanes","world","web"
"65","Algeria",NA,"Struthio molybdophanes","world","web"
"66","Ecuador",NA,"Struthio molybdophanes","world","web"
"67","Egypt",NA,"Struthio molybdophanes","world","web"
"68","Eritrea",NA,"Struthio molybdophanes","world","web"
"69","Western Sahara",NA,"Struthio molybdophanes","world","web"
"70","Spain",NA,"Struthio molybdophanes","world","web"
"71","Estonia",NA,"Struthio molybdophanes","world","web"
"72","Ethiopia",NA,"Struthio molybdophanes","world","web"
"73","Finland",NA,"Struthio molybdophanes","world","web"
"74","Fiji",NA,"Struthio molybdophanes","world","web"
"75","Falkland Islands (Islas Malvinas)",NA,"Struthio molybdophanes","world","web"
"76","France",NA,"Struthio molybdophanes","world","web"
"77","Faroe Islands",NA,"Struthio molybdophanes","world","web"
"78","Micronesia",NA,"Struthio molybdophanes","world","web"
"79","Gabon",NA,"Struthio molybdophanes","world","web"
"80","United Kingdom",NA,"Struthio molybdophanes","world","web"
"81","Georgia",NA,"Struthio molybdophanes","world","web"
"82","Guernsey",NA,"Struthio molybdophanes","world","web"
"83","Ghana",NA,"Struthio molybdophanes","world","web"
"84","Gibraltar",NA,"Struthio molybdophanes","world","web"
"85","Guinea",NA,"Struthio molybdophanes","world","web"
"86","Guadeloupe",NA,"Struthio molybdophanes","world","web"
"87","Gambia",NA,"Struthio molybdophanes","world","web"
"88","Guinea-Bissau",NA,"Struthio molybdophanes","world","web"
"89","Equatorial Guinea",NA,"Struthio molybdophanes","world","web"
"90","Greece",NA,"Struthio molybdophanes","world","web"
"91","Grenada",NA,"Struthio molybdophanes","world","web"
"92","Greenland",NA,"Struthio molybdophanes","world","web"
"93","Guatemala",NA,"Struthio molybdophanes","world","web"
"94","French Guiana",NA,"Struthio molybdophanes","world","web"
"95","Guam",NA,"Struthio molybdophanes","world","web"
"96","Guyana",NA,"Struthio molybdophanes","world","web"
"97","Hong Kong",NA,"Struthio molybdophanes","world","web"
"98","Heard & McDonald Islands",NA,"Struthio molybdophanes","world","web"
"99","Honduras",NA,"Struthio molybdophanes","world","web"
"100","Croatia",NA,"Struthio molybdophanes","world","web"
"101","Haiti",NA,"Struthio molybdophanes","world","web"
"102","Hungary",NA,"Struthio molybdophanes","world","web"
"103","Indonesia",NA,"Struthio molybdophanes","world","web"
"104","Isle of Man",NA,"Struthio molybdophanes","world","web"
"105","India",NA,"Struthio molybdophanes","world","web"
"106","British Indian Ocean Territory",NA,"Struthio molybdophanes","world","web"
"107","Ireland",NA,"Struthio molybdophanes","world","web"
"108","Iran",NA,"Struthio molybdophanes","world","web"
"109","Iraq",NA,"Struthio molybdophanes","world","web"
"110","Iceland",NA,"Struthio molybdophanes","world","web"
"111","Israel",NA,"Struthio molybdophanes","world","web"
"112","Italy",NA,"Struthio molybdophanes","world","web"
"113","Jamaica",NA,"Struthio molybdophanes","world","web"
"114","Jersey",NA,"Struthio molybdophanes","world","web"
"115","Jordan",NA,"Struthio molybdophanes","world","web"
"116","Japan",NA,"Struthio molybdophanes","world","web"
"117","Kazakhstan",NA,"Struthio molybdophanes","world","web"
"118","Kenya",NA,"Struthio molybdophanes","world","web"
"119","Kyrgyzstan",NA,"Struthio molybdophanes","world","web"
"120","Cambodia",NA,"Struthio molybdophanes","world","web"
"121","Kiribati",NA,"Struthio molybdophanes","world","web"
"122","St. Kitts & Nevis",NA,"Struthio molybdophanes","world","web"
"123","South Korea",NA,"Struthio molybdophanes","world","web"
"124","Kuwait",NA,"Struthio molybdophanes","world","web"
"125","Laos",NA,"Struthio molybdophanes","world","web"
"126","Lebanon",NA,"Struthio molybdophanes","world","web"
"127","Liberia",NA,"Struthio molybdophanes","world","web"
"128","Libya",NA,"Struthio molybdophanes","world","web"
"129","St. Lucia",NA,"Struthio molybdophanes","world","web"
"130","Liechtenstein",NA,"Struthio molybdophanes","world","web"
"131","Sri Lanka",NA,"Struthio molybdophanes","world","web"
"132","Lesotho",NA,"Struthio molybdophanes","world","web"
"133","Lithuania",NA,"Struthio molybdophanes","world","web"
"134","Luxembourg",NA,"Struthio molybdophanes","world","web"
"135","Latvia",NA,"Struthio molybdophanes","world","web"
"136","Macao",NA,"Struthio molybdophanes","world","web"
"137","St. Martin",NA,"Struthio molybdophanes","world","web"
"138","Morocco",NA,"Struthio molybdophanes","world","web"
"139","Monaco",NA,"Struthio molybdophanes","world","web"
"140","Moldova",NA,"Struthio molybdophanes","world","web"
"141","Madagascar",NA,"Struthio molybdophanes","world","web"
"142","Maldives",NA,"Struthio molybdophanes","world","web"
"143","Mexico",NA,"Struthio molybdophanes","world","web"
"144","Marshall Islands",NA,"Struthio molybdophanes","world","web"
"145","North Macedonia",NA,"Struthio molybdophanes","world","web"
"146","Mali",NA,"Struthio molybdophanes","world","web"
"147","Malta",NA,"Struthio molybdophanes","world","web"
"148","Myanmar (Burma)",NA,"Struthio molybdophanes","world","web"
"149","Montenegro",NA,"Struthio molybdophanes","world","web"
"150","Mongolia",NA,"Struthio molybdophanes","world","web"
"151","Northern Mariana Islands",NA,"Struthio molybdophanes","world","web"
"152","Mozambique",NA,"Struthio molybdophanes","world","web"
"153","Mauritania",NA,"Struthio molybdophanes","world","web"
"154","Montserrat",NA,"Struthio molybdophanes","world","web"
"155","Martinique",NA,"Struthio molybdophanes","world","web"
"156","Mauritius",NA,"Struthio molybdophanes","world","web"
"157","Malawi",NA,"Struthio molybdophanes","world","web"
"158","Malaysia",NA,"Struthio molybdophanes","world","web"
"159","Mayotte",NA,"Struthio molybdophanes","world","web"
"160","Namibia",NA,"Struthio molybdophanes","world","web"
"161","New Caledonia",NA,"Struthio molybdophanes","world","web"
"162","Niger",NA,"Struthio molybdophanes","world","web"
"163","Norfolk Island",NA,"Struthio molybdophanes","world","web"
"164","Nigeria",NA,"Struthio molybdophanes","world","web"
"165","Nicaragua",NA,"Struthio molybdophanes","world","web"
"166","Niue",NA,"Struthio molybdophanes","world","web"
"167","Netherlands",NA,"Struthio molybdophanes","world","web"
"168","Norway",NA,"Struthio molybdophanes","world","web"
"169","Nepal",NA,"Struthio molybdophanes","world","web"
"170","Nauru",NA,"Struthio molybdophanes","world","web"
"171","New Zealand",NA,"Struthio molybdophanes","world","web"
"172","Oman",NA,"Struthio molybdophanes","world","web"
"173","Pakistan",NA,"Struthio molybdophanes","world","web"
"174","Panama",NA,"Struthio molybdophanes","world","web"
"175","Pitcairn Islands",NA,"Struthio molybdophanes","world","web"
"176","Peru",NA,"Struthio molybdophanes","world","web"
"177","Philippines",NA,"Struthio molybdophanes","world","web"
"178","Palau",NA,"Struthio molybdophanes","world","web"
"179","Papua New Guinea",NA,"Struthio molybdophanes","world","web"
"180","Poland",NA,"Struthio molybdophanes","world","web"
"181","Puerto Rico",NA,"Struthio molybdophanes","world","web"
"182","North Korea",NA,"Struthio molybdophanes","world","web"
"183","Portugal",NA,"Struthio molybdophanes","world","web"
"184","Paraguay",NA,"Struthio molybdophanes","world","web"
"185","Palestine",NA,"Struthio molybdophanes","world","web"
"186","French Polynesia",NA,"Struthio molybdophanes","world","web"
"187","Qatar",NA,"Struthio molybdophanes","world","web"
"188","Réunion",NA,"Struthio molybdophanes","world","web"
"189","Romania",NA,"Struthio molybdophanes","world","web"
"190","Russia",NA,"Struthio molybdophanes","world","web"
"191","Rwanda",NA,"Struthio molybdophanes","world","web"
"192","Saudi Arabia",NA,"Struthio molybdophanes","world","web"
"193","Sudan",NA,"Struthio molybdophanes","world","web"
"194","Senegal",NA,"Struthio molybdophanes","world","web"
"195","Singapore",NA,"Struthio molybdophanes","world","web"
"196","South Georgia & South Sandwich Islands",NA,"Struthio molybdophanes","world","web"
"197","St. Helena",NA,"Struthio molybdophanes","world","web"
"198","Svalbard & Jan Mayen",NA,"Struthio molybdophanes","world","web"
"199","Solomon Islands",NA,"Struthio molybdophanes","world","web"
"200","Sierra Leone",NA,"Struthio molybdophanes","world","web"
"201","El Salvador",NA,"Struthio molybdophanes","world","web"
"202","San Marino",NA,"Struthio molybdophanes","world","web"
"203","Somalia",NA,"Struthio molybdophanes","world","web"
"204","St. Pierre & Miquelon",NA,"Struthio molybdophanes","world","web"
"205","Serbia",NA,"Struthio molybdophanes","world","web"
"206","South Sudan",NA,"Struthio molybdophanes","world","web"
"207","São Tomé & Príncipe",NA,"Struthio molybdophanes","world","web"
"208","Suriname",NA,"Struthio molybdophanes","world","web"
"209","Slovakia",NA,"Struthio molybdophanes","world","web"
"210","Slovenia",NA,"Struthio molybdophanes","world","web"
"211","Sweden",NA,"Struthio molybdophanes","world","web"
"212","Eswatini",NA,"Struthio molybdophanes","world","web"
"213","Sint Maarten",NA,"Struthio molybdophanes","world","web"
"214","Seychelles",NA,"Struthio molybdophanes","world","web"
"215","Syria",NA,"Struthio molybdophanes","world","web"
"216","Turks & Caicos Islands",NA,"Struthio molybdophanes","world","web"
"217","Chad",NA,"Struthio molybdophanes","world","web"
"218","Togo",NA,"Struthio molybdophanes","world","web"
"219","Thailand",NA,"Struthio molybdophanes","world","web"
"220","Tajikistan",NA,"Struthio molybdophanes","world","web"
"221","Tokelau",NA,"Struthio molybdophanes","world","web"
"222","Turkmenistan",NA,"Struthio molybdophanes","world","web"
"223","Timor-Leste",NA,"Struthio molybdophanes","world","web"
"224","Tonga",NA,"Struthio molybdophanes","world","web"
"225","Trinidad & Tobago",NA,"Struthio molybdophanes","world","web"
"226","Tunisia",NA,"Struthio molybdophanes","world","web"
"227","Turkey",NA,"Struthio molybdophanes","world","web"
"228","Tuvalu",NA,"Struthio molybdophanes","world","web"
"229","Taiwan",NA,"Struthio molybdophanes","world","web"
"230","Tanzania",NA,"Struthio molybdophanes","world","web"
"231","Uganda",NA,"Struthio molybdophanes","world","web"
"232","Ukraine",NA,"Struthio molybdophanes","world","web"
"233","U.S. Outlying Islands",NA,"Struthio molybdophanes","world","web"
"234","Uruguay",NA,"Struthio molybdophanes","world","web"
"235","United States",NA,"Struthio molybdophanes","world","web"
"236","Uzbekistan",NA,"Struthio molybdophanes","world","web"
"237","Vatican City",NA,"Struthio molybdophanes","world","web"
"238","St. Vincent & Grenadines",NA,"Struthio molybdophanes","world","web"
"239","Venezuela",NA,"Struthio molybdophanes","world","web"
"240","British Virgin Islands",NA,"Struthio molybdophanes","world","web"
"241","U.S. Virgin Islands",NA,"Struthio molybdophanes","world","web"
"242","Vietnam",NA,"Struthio molybdophanes","world","web"
"243","Vanuatu",NA,"Struthio molybdophanes","world","web"
"244","Wallis & Futuna",NA,"Struthio molybdophanes","world","web"
"245","Samoa",NA,"Struthio molybdophanes","world","web"
"246","Kosovo",NA,"Struthio molybdophanes","world","web"
"247","Yemen",NA,"Struthio molybdophanes","world","web"
"248","South Africa",NA,"Struthio molybdophanes","world","web"
"249","Zambia",NA,"Struthio molybdophanes","world","web"
"250","Zimbabwe",NA,"Struthio molybdophanes","world","web"
"251","Slovenia",100,"Rhea americana","world","web"
"252","Uruguay",80,"Rhea americana","world","web"
"253","Aruba",NA,"Rhea americana","world","web"
"254","Afghanistan",NA,"Rhea americana","world","web"
"255","Angola",NA,"Rhea americana","world","web"
"256","Anguilla",NA,"Rhea americana","world","web"
"257","Åland Islands",NA,"Rhea americana","world","web"
"258","Albania",NA,"Rhea americana","world","web"
"259","Andorra",NA,"Rhea americana","world","web"
"260","United Arab Emirates",NA,"Rhea americana","world","web"
