cur_alternate_com_name,sci_name
Autruche d'Afrique,Struthio camelus
Autruche de Somalie,Struthio molybdophanes
Autruche d'Afrique ou A. de Somalie,Struthio camelus/molybdophanes
Nandou d'Amerique,Rhea americana
Nandou de Darwin,Rhea pennata
Nandou de Darwin (tarapacensis/garleppi),Rhea pennata tarapacensis/garleppi
Nandou de Darwin (pennata),Rhea pennata pennata
Tinamou a tete rousse,Nothocercus julius
Tinamou de Bonaparte,Nothocercus bonapartei
Tinamou de Bonaparte (groupe bonapartei),Nothocercus bonapartei [bonapartei Group]
Tinamou de Bonaparte (frantzii),Nothocercus bonapartei frantzii
Tinamou a capuchon,Nothocercus nigrocapillus
Tinamou tao,Tinamus tao
Tinamou solitaire,Tinamus solitarius
Tinamou noir,Tinamus osgoodi
Grand Tinamou,Tinamus major
Tinamou a gorge blanche,Tinamus guttatus
Tinamus sp.,Tinamus sp.
Tinamou cendre,Crypturellus cinereus
Tinamou de Berlepsch,Crypturellus berlepschi
Tinamou soui,Crypturellus soui
Tinamou des tepuis,Crypturellus ptaritepui
Tinamou brun,Crypturellus obsoletus
Tinamou brun (castaneus),Crypturellus obsoletus castaneus
Tinamou brun (groupe obsoletus),Crypturellus obsoletus [obsoletus Group]
Tinamou vermicule,Crypturellus undulatus
Tinamou a grands sourcils,Crypturellus transfasciatus
Tinamou oariana,Crypturellus strigulosus
Tinamou de Zimmer,Crypturellus duidae
Tinamou a pieds rouges,Crypturellus erythropus
Tinamou noctivague,Crypturellus noctivagus
Tinamou noctivague (zabele),Crypturellus noctivagus zabele
Tinamou noctivague (noctivagus),Crypturellus noctivagus noctivagus
Tinamou a calotte noire,Crypturellus atrocapillus
Tinamou de Boucard,Crypturellus boucardi
Tinamou de Kerr,Crypturellus kerriae
Tinamou varie,Crypturellus variegatus
Tinamou cannelle,Crypturellus cinnamomeus
Tinamou cannelle (occidentalis),Crypturellus cinnamomeus occidentalis
Tinamou cannelle (groupe cinnamomeus),Crypturellus cinnamomeus [cinnamomeus Group]
Tinamou rubigineux,Crypturellus brevirostris
Tinamou de Bartlett,Crypturellus bartletti
Tinamou a petit bec,Crypturellus parvirostris
Tinamou barre,Crypturellus casiquiare
Tinamou tataupa,Crypturellus tataupa
Crypturellus sp.,Crypturellus sp.
Tinamou isabelle,Rhynchotus rufescens
Tinamou huayco,Rhynchotus maculicollis
Tinamou de Taczanowski,Nothoprocta taczanowskii
Tinamou orne,Nothoprocta ornata
Tinamou perdrix,Nothoprocta perdicaria
Tinamou sauvageon,Nothoprocta cinerascens
Tinamou des Andes,Nothoprocta pentlandii
Tinamou curvirostre,Nothoprocta curvirostris
Nothoprocta sp.,Nothoprocta sp.
Tinamou boraquira,Nothura boraquira
Petit Tinamou,Nothura minor
Tinamou de Darwin,Nothura darwinii
Tinamou tachete,Nothura maculosa
Tinamou carape,Taoniscus nanus
Tinamou elegant,Eudromia elegans
Tinamou superbe,Eudromia formosa
Tinamou quioula,Tinamotis pentlandii
Tinamou de Patagonie,Tinamotis ingoufi
Tinamou sp.,Tinamidae sp.
Casoar a casque,Casuarius casuarius
Casoar de Bennett,Casuarius bennetti
Casoar unicaroncule,Casuarius unappendiculatus
emeu d'Australie,Dromaius novaehollandiae
Kiwi austral,Apteryx australis
Kiwi austral (australis),Apteryx australis australis
Kiwi austral (lawryi),Apteryx australis lawryi
Kiwi d'Okarito,Apteryx rowi
Kiwi de Mantell,Apteryx mantelli
Kiwi d'Owen,Apteryx owenii
Kiwi roa,Apteryx haastii
Kiwi sp.,Apteryx sp.
Kamichi cornu,Anhima cornuta
Kamichi a collier,Chauna torquata
Kamichi chavaria,Chauna chavaria
Canaroie semipalmee,Anseranas semipalmata
Dendrocygne tachete,Dendrocygna guttata
Dendrocygne d'Eyton,Dendrocygna eytoni
Dendrocygne veuf,Dendrocygna viduata
Hybride Dendrocygne tachete x D. veuf,Dendrocygna guttata x viduata
Dendrocygne a ventre noir,Dendrocygna autumnalis
Dendrocygne a ventre noir (fulgens),Dendrocygna autumnalis fulgens
Dendrocygne a ventre noir (autumnalis),Dendrocygna autumnalis autumnalis
Dendrocygne des Antilles,Dendrocygna arborea
Hybride Dendrocygne a ventre noir x D. des Antilles,Dendrocygna autumnalis x arborea
Dendrocygne fauve,Dendrocygna bicolor
Hybride Dendrocygne veuf x D. fauve,Dendrocygna viduata x bicolor
Hybride Dendrocygne a ventre noir x D. fauve,Dendrocygna autumnalis x bicolor
Dendrocygne a lunules,Dendrocygna arcuata
Dendrocygne siffleur,Dendrocygna javanica
Dendrocygne fauve ou D. siffleur,Dendrocygna bicolor/javanica
Hybride Dendrocygne a lunules x D. siffleur,Dendrocygna arcuata x javanica
Dendrocygna sp.,Dendrocygna sp.
Dendrocygne a dos blanc,Thalassornis leuconotus
Oie a tete barree,Anser indicus
Oie empereur,Anser canagicus
Oie des neiges,Anser caerulescens
Oie de Ross,Anser rossii
Hybride Oie des neiges x O. de Ross,Anser caerulescens x rossii
Oie des neiges ou O. de Ross,Anser caerulescens/rossii
Oie cendree,Anser anser
Oie cendree (anser),Anser anser anser
Oie cendree (rubrirostris),Anser anser rubrirostris
Oie cendree (forme domestique),Anser anser (Domestic type)
Oie cygnoide,Anser cygnoides
Oie cygnoide (forme domestique),Anser cygnoides (Domestic type)
Hybride Oie cendree x O. cygnoide (forme domestique),Anser anser x cygnoides (Domestic type)
Oie rieuse,Anser albifrons
Oie rieuse (flavirostris),Anser albifrons flavirostris
Oie rieuse (albifrons),Anser albifrons albifrons
Oie rieuse (gambelli/sponsa),Anser albifrons gambelli/sponsa
Oie rieuse (elgasi),Anser albifrons elgasi
Hybride Oie a tete barree x O. rieuse,Anser indicus x albifrons
Hybride Oie empereur x O. rieuse,Anser canagicus x albifrons
Hybride Oie des neiges x O. rieuse,Anser caerulescens x albifrons
Hybride Oie de Ross x O. rieuse,Anser rossii x albifrons
Oie naine,Anser erythropus
Oie rieuse ou O. naine,Anser albifrons/erythropus
Oie des moissons,Anser fabalis
Oie de la toundra,Anser serrirostris
Oie des moissons ou O. de la toundra,Anser fabalis/serrirostris
Oie a bec court,Anser brachyrhynchus
Anser sp. (forme domestique),Anser sp. (Domestic type)
Anser sp.,Anser sp.
Bernache cravant,Branta bernicla
Bernache cravant (bernicla),Branta bernicla bernicla
Bernache cravant (hrota),Branta bernicla hrota
Bernache cravant (nigricans),Branta bernicla nigricans
Bernache cravant (forme a ventre gris),Branta bernicla (Gray-bellied)
Bernache cravant (hrota x nigricans),Branta bernicla hrota x nigricans
Hybride Oie des neiges x Bernache cravant,Anser caerulescens x Branta bernicla
Bernache nonnette,Branta leucopsis
Hybride Oie a tete barree x Bernache nonnette,Anser indicus x Branta leucopsis
Hybride Oie cendree x Bernache nonnette,Anser anser x Branta leucopsis
Hybride Oie rieuse x Bernache nonnette,Anser albifrons x Branta leucopsis
Hybride Oie naine x Bernache nonnette,Anser erythropus x Branta leucopsis
Hybride Oie a bec court x Bernache nonnette,Anser brachyrhynchus x Branta leucopsis
Bernache de Hutchins,Branta hutchinsii
Bernache de Hutchins (leucopareia),Branta hutchinsii leucopareia
Bernache de Hutchins (hutchinsii),Branta hutchinsii hutchinsii
Bernache de Hutchins (minima),Branta hutchinsii minima
Bernache de Hutchins (taverneri),Branta hutchinsii taverneri
Hybride Oie empereur x Bernache de Hutchins,Anser canagicus x Branta hutchinsii
Hybride Oie des neiges x Bernache de Hutchins,Anser caerulescens x Branta hutchinsii
Hybride Oie de Ross x Bernache de Hutchins,Anser rossii x Branta hutchinsii
Hybride Bernache cravant x B. de Hutchins,Branta bernicla x hutchinsii
Hybride Oie rieuse x Bernache de Hutchins,Anser albifrons x Branta hutchinsii
Hybride Bernache nonnette x B. de Hutchins,Branta leucopsis x hutchinsii
Bernache du Canada,Branta canadensis
Bernache du Canada (moffitti/maxima),Branta canadensis moffitti/maxima
Bernache du Canada (occidentalis/fulva),Branta canadensis occidentalis/fulva
Bernache du Canada (groupe canadensis),Branta canadensis [canadensis Group]
Hybride Oie a tete barree x Bernache du Canada,Anser indicus x Branta canadensis
Hybride Oie cygnoide (forme domestique) x Bernache du Canada,Anser cygnoides (Domestic type) x Branta canadensis
Hybride Oie a bec court x Bernache du Canada,Anser brachyrhynchus x Branta canadensis
Hybride Oie rieuse x Bernache du Canada,Anser albifrons x Branta canadensis
Hybride Oie cendree x Bernache du Canada,Anser anser x Branta canadensis
Hybride Oie cendree (forme domestique) x Bernache du Canada,Anser anser (Domestic type) x Branta canadensis
Hybride Anser sp. (forme domestique) x Bernache du Canada,Anser sp. (Domestic type) x Branta canadensis
Hybride Oie des neiges x Bernache du Canada,Anser caerulescens x Branta canadensis
Hybride Oie de Ross x Bernache du Canada,Anser rossii x Branta canadensis
Hybride Bernache nonnette x B. du Canada,Branta leucopsis x canadensis
Bernache de Hutchins ou B. du Canada,Branta hutchinsii/canadensis
Hybride Oie des neiges ou O. de Ross x Bernache de Hutchins ou B. du Canada,Anser caerulescens/rossii x Branta hutchinsii/canadensis
Bernache nene,Branta sandvicensis
Bernache a cou roux,Branta ruficollis
Hybride Oie rieuse x Bernache a cou roux,Anser albifrons x Branta ruficollis
Hybride Bernache nonnette x B. a cou roux,Branta leucopsis x ruficollis
Branta sp.,Branta sp.
Anserinae sp.,Anser/Branta sp.
Cereopse cendre,Cereopsis novaehollandiae
Stictonette tachetee,Stictonetta naevosa
Cyanoie a ailes bleues,Cyanochen cyanoptera
Cygne tubercule,Cygnus olor
Hybride Oie cendree x Cygne tubercule,Anser anser x Cygnus olor
Cygne noir,Cygnus atratus
Cygne a cou noir,Cygnus melancoryphus
Cygne trompette,Cygnus buccinator
Hybride Cygne tubercule x C. trompette,Cygnus olor x buccinator
Cygne siffleur,Cygnus columbianus
Cygne siffleur (columbianus),Cygnus columbianus columbianus
Cygne siffleur (bewickii),Cygnus columbianus bewickii
Cygne siffleur (columbianus x bewickii),Cygnus columbianus columbianus x bewickii
Hybride Cygne trompette x C. siffleur,Cygnus buccinator x columbianus
Cygne trompette ou C. siffleur,Cygnus buccinator/columbianus
Cygne chanteur,Cygnus cygnus
Hybride Cygne trompette x C. chanteur,Cygnus buccinator x cygnus
Cygne siffleur ou C. chanteur,Cygnus columbianus/cygnus
Cygne sp.,Cygnus sp.
Coscoroba blanc,Coscoroba coscoroba
Canard a bosse,Sarkidiornis melanotos
Canard sylvicole,Sarkidiornis sylvicola
Pteronette de Hartlaub,Pteronetta hartlaubii
Ouette de l'Orenoque,Oressochen jubatus
Ouette des Andes,Oressochen melanopterus
Ouette de Magellan,Chloephaga picta
Ouette de Magellan (forme a poitrine blanche),Chloephaga picta (White-breasted)
Ouette de Magellan (forme a poitrine rayee),Chloephaga picta (Bar-breasted)
Ouette marine,Chloephaga hybrida
Ouette a tete grise,Chloephaga poliocephala
Ouette a tete rousse,Chloephaga rubidiceps
Chloephaga sp.,Chloephaga sp.
Tadorne radjah,Radjah radjah
Ouette d'egypte,Alopochen aegyptiaca
Ouette de Maurice,Alopochen mauritiana
Ouette de La Reunion,Alopochen kervazoi
Tadorne casarca,Tadorna ferruginea
Hybride Ouette d'egypte x Tadorne casarca,Alopochen aegyptiaca x Tadorna ferruginea
Tadorne a tete grise,Tadorna cana
Tadorne d'Australie,Tadorna tadornoides
Tadorne de paradis,Tadorna variegata
Tadorne de Belon,Tadorna tadorna
Hybride Tadorne casarca x T. de Belon,Tadorna ferruginea x tadorna
Tadorne de Coree,Tadorna cristata
Oie-armee de Gambie,Plectropterus gambensis
Oie-armee de Gambie (gambensis),Plectropterus gambensis gambensis
Oie-armee de Gambie (niger),Plectropterus gambensis niger
Brassemer de Patagonie,Tachyeres patachonicus
Brassemer cendre,Tachyeres pteneres
Brassemer cendre (forme de Chiloe),Tachyeres pteneres [undescribed form]
Brassemer des Malouines,Tachyeres brachypterus
Brassemer a tete blanche,Tachyeres leucocephalus
Tachyeres sp.,Tachyeres sp.
Canard huppe,Lophonetta specularioides
Canard a lunettes,Speculanas specularis
Canard musque,Cairina moschata
Canard musque (forme domestique etablie),Cairina moschata (Established Feral)
Canard musque (forme domestique),Cairina moschata (Domestic type)
Anserelle elegante,Nettapus pulchellus
Anserelle de Coromandel,Nettapus coromandelianus
Anserelle naine,Nettapus auritus
Canard a collier noir,Callonetta leucophrys
Canard branchu,Aix sponsa
Hybride Tadorne de Belon x Canard branchu,Tadorna tadorna x Aix sponsa
Canard mandarin,Aix galericulata
Hybride Canard branchu x C. mandarin,Aix sponsa x galericulata
Canard a criniere,Chenonetta jubata
Canard de Finsch,Chenonetta finschi
Canard amazonette,Amazonetta brasiliensis
Canard bleu,Hymenolaimus malacorhynchos
Merganette des torrents,Merganetta armata
Canard de Salvadori,Salvadorina waigiuensis
Sarcelle elegante,Sibirionetta formosa
Sarcelle d'ete,Spatula querquedula
Sarcelle a bec bleu,Spatula hottentota
Sarcelle bariolee,Spatula versicolor
Sarcelle de la puna,Spatula puna
Sarcelle a ailes bleues,Spatula discors
Sarcelle cannelle,Spatula cyanoptera
Hybride Sarcelle a ailes bleues x S. cannelle,Spatula discors x cyanoptera
Sarcelle a ailes bleues ou S. cannelle,Spatula discors/cyanoptera
Canard spatule,Spatula platalea
Canard de Smith,Spatula smithii
Canard bride,Spatula rhynchotis
Canard souchet,Spatula clypeata
Hybride Sarcelle d'ete x Canard souchet,Spatula querquedula x clypeata
Hybride Sarcelle a ailes bleues x Canard souchet,Spatula discors x clypeata
Hybride Sarcelle cannelle x Canard souchet,Spatula cyanoptera x clypeata
Canard chipeau,Mareca strepera
Canard chipeau (strepera),Mareca strepera strepera
Canard chipeau (couesi),Mareca strepera couesi
Hybride Canard souchet x C. chipeau,Spatula clypeata x Mareca strepera
Canard a faucilles,Mareca falcata
Hybride Sarcelle elegante x Canard a faucilles,Sibirionetta formosa x Mareca falcata
Hybride Canard chipeau x C. a faucilles,Mareca strepera x falcata
Canard siffleur,Mareca penelope
Hybride Canard chipeau x C. siffleur,Mareca strepera x penelope
Canard d'Amerique,Mareca americana
Hybride Canard branchu x C. d'Amerique,Aix sponsa x Mareca americana
Hybride Sarcelle a ailes bleues x Canard d'Amerique,Spatula discors x Mareca americana
Hybride Canard souchet x C. d'Amerique,Spatula clypeata x Mareca americana
Hybride Canard chipeau x C. d'Amerique,Mareca strepera x americana
Hybride Canard siffleur x C. d'Amerique,Mareca penelope x americana
Canard siffleur ou C. d'Amerique,Mareca penelope/americana
Canard de Chiloe,Mareca sibilatrix
Canard d'Amsterdam,Mareca marecula
Canard noiratre,Anas sparsa
Canard a bec jaune,Anas undulata
Canard de Meller,Anas melleri
Canard a sourcils,Anas superciliosa
Canard de Laysan,Anas laysanensis
Canard des Hawai,Anas wyvilliana
Canard des Philippines,Anas luzonica
Canard a bec tachete,Anas poecilorhyncha
Canard de Chine,Anas zonorhyncha
Canard a bec tachete ou C. de Chine,Anas poecilorhyncha/zonorhyncha
Canard colvert,Anas platyrhynchos
Canard colvert (forme domestique),Anas platyrhynchos (Domestic type)
