"","x"
"1","African Goshawk"
"2","Chestnut-flanked Sparrowhawk"
"3","Shikra"
"4","Nicobar Sparrowhawk"
"5","Levant Sparrowhawk"
"6","Chinese Sparrowhawk"
"7","Frances's Sparrowhawk"
"8","Spot-tailed Goshawk"
"9","Lesser Sundas Goshawk"
"10","Variable Goshawk"
"11","Grey Goshawk"
"12","Grey-headed Goshawk"
"13","New Britain Goshawk"
"14","Brown Goshawk"
"15","Black-mantled Goshawk"
"16","Pied Goshawk"
"17","White-bellied Goshawk"
"18","Fiji Goshawk"
"19","Moluccan Goshawk"
"20","Slaty-backed Goshawk"
"21","Imitator Goshawk"
"22","Red-legged Sparrowhawk"
"23","Little Sparrowhawk"
"24","Japanese Sparrowhawk"
"25","Besra"
"26","Dwarf Sparrowhawk"
"27","Rufous-necked Sparrowhawk"
"28","Collared Sparrowhawk"
"29","New Britain Sparrowhawk"
"30","Vinous-breasted Sparrowhawk"
"31","Madagascar Sparrowhawk"
"32","Ovambo Sparrowhawk"
"33","Eurasian Sparrowhawk"
"34","Rufous-breasted Sparrowhawk"
"35","Sharp-shinned Hawk"
"36","Cooper's Hawk"
"37","Gundlach's Hawk"
"38","Bicolored Hawk"
"39","Henst's Goshawk"
"40","Black Sparrowhawk"
"41","Northern Goshawk"
"42","Meyer's Goshawk"
"43","Semi-collared Hawk"
"44","Tiny Hawk"
"45","Chestnut-shouldered Goshawk"
"46","Red Goshawk"
"47","Doria's Goshawk"
"48","Long-tailed Hawk"
"49","White-bellied Sea-eagle"
"50","Sanford's Sea-eagle"
"51","African Fish-eagle"
"52","Madagascar Fish-eagle"
"53","Pallas's Fish-eagle"
"54","White-tailed Sea-eagle"
"55","Bald Eagle"
"56","Steller's Sea-eagle"
"57","Lesser Fish-eagle"
"58","Grey-headed Fish-eagle"
"59","Whistling Kite"
"60","Brahminy Kite"
"61","Red Kite"
"62","Black Kite"
"63","Yellow-billed Kite"
"64","Black-collared Hawk"
"65","Crane Hawk"
"66","Grasshopper Buzzard"
"67","White-eyed Buzzard"
"68","Rufous-winged Buzzard"
"69","Grey-faced Buzzard"
"70","Mississippi Kite"
"71","Plumbeous Kite"
"72","Snail Kite"
"73","Slender-billed Kite"
"74","Roadside Hawk"
"75","Harris's Hawk"
"76","White-rumped Hawk"
"77","Plumbeous Hawk"
"78","Slate-colored Hawk"
"79","Common Black Hawk"
"80","Cuban Black Hawk"
"81","Rufous Crab-hawk"
"82","Savanna Hawk"
"83","White-necked Hawk"
"84","Great Black Hawk"
"85","Black Solitary Eagle"
"86","Crowned Solitary Eagle"
"87","Barred Hawk"
"88","White-tailed Hawk"
"89","Variable Hawk"
"90","Black-chested Buzzard-eagle"
"91","White Hawk"
"92","Grey-backed Hawk"
"93","Mantled Hawk"
"94","Semiplumbeous Hawk"
"95","Black-faced Hawk"
"96","White-browed Hawk"
"97","Grey Hawk"
"98","Grey-lined Hawk"
"99","Ridgway's Hawk"
"100","Red-shouldered Hawk"
"101","Broad-winged Hawk"
"102","Hawaiian Hawk"
"103","White-throated Hawk"
"104","Short-tailed Hawk"
"105","Swainson's Hawk"
"106","Galapagos Hawk"
"107","Zone-tailed Hawk"
"108","Red-tailed Hawk"
"109","Rufous-tailed Hawk"
"110","Rough-legged Buzzard"
"111","Ferruginous Hawk"
"112","Red-necked Buzzard"
"113","Augur Buzzard"
"114","Jackal Buzzard"
"115","Eurasian Buzzard"
"116","Japanese Buzzard"
"117","Himalayan Buzzard"
"118","Mountain Buzzard"
"119","Forest Buzzard"
"120","Madagascar Buzzard"
"121","Long-legged Buzzard"
"122","Socotra Buzzard"
"123","Upland Buzzard"
"124","Speckled Mousebird"
"125","White-headed Mousebird"
"126","Red-backed Mousebird"
"127","White-backed Mousebird"
"128","Blue-naped Mousebird"
"129","Red-faced Mousebird"
"130","Cuckoo Roller"
"131","Narina Trogon"
"132","Bare-cheeked Trogon"
"133","Bar-tailed Trogon"
"134","Javan Trogon"
"135","Sumatran Trogon"
"136","Orange-breasted Trogon"
"137","Cinnamon-rumped Trogon"
"138","Scarlet-rumped Trogon"
"139","Malabar Trogon"
"140","Diard's Trogon"
"141","Red-headed Trogon"
"142","Ward's Trogon"
"143","Whitehead's Trogon"
"144","Red-naped Trogon"
"145","Philippine Trogon"
"146","Pavonine Quetzal"
"147","Golden-headed Quetzal"
"148","White-tipped Quetzal"
"149","Resplendent Quetzal"
"150","Crested Quetzal"
"151","Eared Quetzal"
"152","Cuban Trogon"
"153","Hispaniolan Trogon"
"154","Lattice-tailed Trogon"
"155","Slaty-tailed Trogon"
"156","Choco Trogon"
"157","Ecuadorian Trogon"
"158","Black-tailed Trogon"
"159","Green-backed Trogon"
"160","White-tailed Trogon"
"161","Black-headed Trogon"
"162","Citreoline Trogon"
"163","Baird's Trogon"
"164","Violaceous Trogon"
"165","Blue-crowned Trogon"
"166","Northern Surucua Trogon"
"167","Southern Surucua Trogon"
"168","Black-throated Trogon"
"169","Elegant Trogon"
"170","Coppery-tailed Trogon"
"171","Mountain Trogon"
"172","Collared Trogon"
"173","Masked Trogon"
"174","Southern Ground-hornbill"
"175","Northern Ground-hornbill"
"176","Pale-billed Hornbill"
"177","African Grey Hornbill"
"178","West African Pied Hornbill"
"179","Congo Pied Hornbill"
"180","Hemprich's Hornbill"
"181","Dwarf Hornbill"
"182","Crowned Hornbill"
"183","Bradfield's Hornbill"
"184","Eastern Yellow-billed Hornbill"
"185","Southern Yellow-billed Hornbill"
"186","Jackson's Hornbill"
"187","Von der Decken's Hornbill"
"188","Monteiro's Hornbill"
"189","Damara Hornbill"
"190","Red-billed Hornbill"
"191","White-crowned Hornbill"
"192","Western Long-tailed Hornbill"
"193","Eastern Long-tailed Hornbill"
"194","Eastern Little Hornbill"
"195","Western Little Hornbill"
"196","Yellow-casqued Hornbill"
"197","Black-casqued Hornbill"
"198","Silvery-cheeked Hornbill"
"199","Grey-cheeked Hornbill"
"200","Brown-cheeked Hornbill"
"201","White-thighed Hornbill"
"202","Trumpeter Hornbill"
"203","Western Piping Hornbill"
"204","Eastern Piping Hornbill"
"205","Helmeted Hornbill"
"206","Northern Rufous Hornbill"
"207","Southern Rufous Hornbill"
"208","Great Hornbill"
"209","Rhinoceros Hornbill"
"210","Bushy-crested Hornbill"
"211","Austen's Brown Hornbill"
"212","Tickell's Brown Hornbill"
"213","Indian Grey Hornbill"
"214","Malabar Grey Hornbill"
"215","Sri Lanka Grey Hornbill"
"216","Black Hornbill"
"217","Sulu Hornbill"
"218","Malabar Pied Hornbill"
"219","Oriental Pied Hornbill"
"220","Palawan Hornbill"
"221","Rufous-necked Hornbill"
"222","Wrinkled Hornbill"
"223","Sulawesi Hornbill"
"224","Writhed Hornbill"
"225","Rufous-headed Hornbill"
"226","Visayan Hornbill"
"227","Mindanao Hornbill"
"228","Mindoro Hornbill"
"229","Luzon Hornbill"
"230","Knobbed Hornbill"
"231","Sumba Hornbill"
"232","Wreathed Hornbill"
"233","Plain-pouched Hornbill"
"234","Narcondam Hornbill"
"235","Papuan Hornbill"
"236","Common Hoopoe"
"237","Madagascar Hoopoe"
"238","Green Woodhoopoe"
"239","Violet Woodhoopoe"
"240","Black-billed Woodhoopoe"
"241","White-headed Woodhoopoe"
"242","Forest Scimitarbill"
"243","Black Scimitarbill"
"244","Common Scimitarbill"
"245","Abyssinian Scimitarbill"
"246","Red-bearded Bee-eater"
"247","Blue-bearded Bee-eater"
"248","Purple-bearded Bee-eater"
"249","White-fronted Bee-eater"
"250","Red-throated Bee-eater"
"251","Black-headed Bee-eater"
"252","White-throated Bee-eater"
"253","Somali Bee-eater"
"254","Rosy Bee-eater"
"255","Northern Carmine Bee-eater"
"256","Southern Carmine Bee-eater"
"257","African Green Bee-eater"
"258","Arabian Green Bee-eater"
"259","Asian Green Bee-eater"
"260","Chestnut-headed Bee-eater"
"261","Blue-throated Bee-eater"
"262","Rufous-crowned Bee-eater"
"263","Blue-tailed Bee-eater"
"264","Olive Bee-eater"
"265","Blue-cheeked Bee-eater"
"266","European Bee-eater"
"267","Rainbow Bee-eater"
"268","Böhm's Bee-eater"
"269","Swallow-tailed Bee-eater"
"270","Ethiopian Bee-eater"
"271","Cinnamon-chested Bee-eater"
"272","Blue-breasted Bee-eater"
"273","Little Bee-eater"
"274","Black Bee-eater"
"275","Blue-headed Bee-eater"
"276","Blue-moustached Bee-eater"
"277","Purple Roller"
"278","Indian Roller"
"279","Indochinese Roller"
"280","Purple-winged Roller"
"281","Racquet-tailed Roller"
"282","Lilac-breasted Roller"
"283","Abyssinian Roller"
"284","European Roller"
"285","Blue-bellied Roller"
"286","Blue-throated Roller"
"287","Broad-billed Roller"
"288","Oriental Dollarbird"
"289","Azure Dollarbird"
"290","Short-legged Ground-roller"
"291","Scaly Ground-roller"
"292","Long-tailed Ground-roller"
"293","Pitta-like Ground-roller"
"294","Rufous-headed Ground-roller"
"295","Cuban Tody"
"296","Narrow-billed Tody"
"297","Broad-billed Tody"
"298","Jamaican Tody"
"299","Puerto Rican Tody"
"300","Tody Motmot"
"301","Blue-throated Motmot"
"302","Russet-crowned Motmot"
"303","Blue-crowned Motmot"
"304","Blue-diademed Motmot"
"305","Whooping Motmot"
"306","Trinidad Motmot"
"307","Amazonian Motmot"
"308","Highland Motmot"
"309","Rufous Motmot"
"310","Rufous-capped Motmot"
"311","Keel-billed Motmot"
"312","Broad-billed Motmot"
"313","Turquoise-browed Motmot"
"314","African Dwarf-kingfisher"
"315","African Pygmy-kingfisher"
"316","Madagascar Pygmy-kingfisher"
"317","White-bellied Kingfisher"
"318","Malachite Kingfisher"
"319","Sao Tome Kingfisher"
"320","Principe Kingfisher"
"321","Madagascar Kingfisher"
"322","Sangihe Dwarf-kingfisher"
"323","Sulawesi Dwarf-kingfisher"
"324","North Philippine Dwarf-kingfisher"
"325","South Philippine Dwarf-Kingfisher"
"326","Oriental Dwarf-kingfisher"
"327","Dimorphic Dwarf-kingfisher"
"328","Moluccan Dwarf-kingfisher"
"329","Sula Dwarf-kingfisher"
"330","Buru Dwarf-kingfisher"
"331","New Guinea Dwarf-kingfisher"
"332","Manus Dwarf-kingfisher"
"333","New Ireland Dwarf-kingfisher"
"334","New Britain Dwarf-kingfisher"
"335","North Solomons Dwarf-kingfisher"
"336","New Georgia Dwarf-kingfisher"
"337","Guadalcanal Dwarf-kingfisher"
"338","San Cristobal Dwarf-kingfisher"
"339","Northern Indigo-banded Kingfisher"
"340","Southern Indigo-banded Kingfisher"
"341","Northern Silvery Kingfisher"
"342","Southern Silvery Kingfisher"
"343","Little Kingfisher"
"344","Azure Kingfisher"
"345","Bismarck Kingfisher"
"346","Malay Blue-banded Kingfisher"
"347","Javan Blue-banded Kingfisher"
"348","Blue-eared Kingfisher"
"349","Blyth's Kingfisher"
"350","Shining-blue Kingfisher"
"351","Half-collared Kingfisher"
"352","Common Kingfisher"
"353","Cerulean Kingfisher"
"354","Crested Kingfisher"
"355","Giant Kingfisher"
"356","Ringed Kingfisher"
"357","Belted Kingfisher"
"358","Pied Kingfisher"
"359","Amazon Kingfisher"
"360","American Pygmy-kingfisher"
"361","Green Kingfisher"
"362","Green-and-rufous Kingfisher"
"363","Banded Kingfisher"
"364","Black-faced Kingfisher"
"365","Stork-billed Kingfisher"
"366","Black-billed Kingfisher"
"367","Brown-winged Kingfisher"
"368","Ruddy Kingfisher"
"369","White-breasted Kingfisher"
"370","White-throated Kingfisher"
"371","Javan Kingfisher"
"372","Chocolate-backed Kingfisher"
"373","Black-capped Kingfisher"
"374","Grey-headed Kingfisher"
"375","Brown-hooded Kingfisher"
"376","Striped Kingfisher"
"377","Blue-breasted Kingfisher"
"378","Woodland Kingfisher"
"379","Mangrove Kingfisher"
"380","White-rumped Kingfisher"
"381","Blue-headed Kingfisher"
"382","Black-headed Kingfisher"
"383","Scaly-breasted Kingfisher"
"384","Plain-backed Kingfisher"
"385","Bougainville Moustached Kingfisher"
"386","Guadalcanal Moustached Kingfisher"
"387","Spotted Kingfisher"
"388","Blue-capped Kingfisher"
"389","Rufous-collared Kingfisher"
"390","Yellow-billed Kingfisher"
"391","Mountain Kingfisher"
"392","Blue-black Kingfisher"
"393","Rufous-lored Kingfisher"
"394","Blue-and-white Kingfisher"
"395","Lazuli Kingfisher"
"396","Forest Kingfisher"
"397","New Britain Kingfisher"
"398","Ultramarine Kingfisher"
"399","Vanuatu Kingfisher"
"400","Sombre Kingfisher"
"401","Collared Kingfisher"
"402","Talaud Kingfisher"
"403","Palau Kingfisher"
"404","Guam Kingfisher"
"405","Pohnpei Kingfisher"
"406","Beach Kingfisher"
"407","Sacred Kingfisher"
"408","Flat-billed Kingfisher"
"409","Cinnamon-banded Kingfisher"
"410","Chattering Kingfisher"
"411","Mangaia Kingfisher"
"412","Moorea Kingfisher"
"413","Tahiti Kingfisher"
"414","Tuamotu Kingfisher"
"415","Marquesas Kingfisher"
"416","Red-backed Kingfisher"
"417","Sangihe Lilac Kingfisher"
"418","Sulawesi Lilac Kingfisher"
"419","Common Paradise-kingfisher"
"420","Kofiau Paradise-kingfisher"
"421","Biak Paradise-kingfisher"
"422","Numfor Paradise-kingfisher"
"423","Little Paradise-kingfisher"
"424","Black-headed Paradise-kingfisher"
"425","Buff-breasted Paradise-kingfisher"
"426","Red-breasted Paradise-kingfisher"
"427","Brown-headed Paradise-kingfisher"
"428","Hook-billed Kingfisher"
"429","Laughing Kookaburra"
"430","Blue-winged Kookaburra"
"431","Spangled Kookaburra"
"432","Rufous-bellied Kookaburra"
"433","Shovel-billed Kingfisher"
"434","White-eared Jacamar"
"435","Purus Jacamar"
"436","White-throated Jacamar"
"437","Brown Jacamar"
"438","Pale-headed Jacamar"
"439","Dusky-backed Jacamar"
"440","Three-toed Jacamar"
"441","Yellow-billed Jacamar"
"442","Cerise-crowned Jacamar"
"443","Blue-necked Jacamar"
"444","Rufous-tailed Jacamar"
"445","Green-tailed Jacamar"
"446","White-chinned Jacamar"
"447","Bluish-fronted Jacamar"
"448","Coppery-chested Jacamar"
"449","Purplish Jacamar"
"450","Bronzy Jacamar"
"451","Paradise Jacamar"
"452","Great Jacamar"
"453","White-necked Puffbird"
"454","Guianan Puffbird"
"455","Buff-bellied Puffbird"
"456","Black-breasted Puffbird"
"457","Brown-banded Puffbird"
"458","Lesser Pied Puffbird"
"459","Greater Pied Puffbird"
"460","Chestnut-capped Puffbird"
"461","Sooty-capped Puffbird"
"462","Spotted Puffbird"
"463","Collared Puffbird"
"464","Barred Puffbird"
"465","Striolated Puffbird"
"466","White-eared Puffbird"
"467","Spot-backed Puffbird"
"468","Russet-throated Puffbird"
"469","Two-banded Puffbird"
"470","White-chested Puffbird"
