"","x"
"1","Short-tailed Woodstar"
"2","Slender-tailed Woodstar"
"3","Amethyst Woodstar"
"4","Magenta-throated Woodstar"
"5","Purple-throated Woodstar"
"6","Slender Sheartail"
"7","Mexican Sheartail"
"8","Sparkling-tailed Woodstar"
"9","Lucifer Hummingbird"
"10","Beautiful Hummingbird"
"11","Lyre-tailed Hummingbird"
"12","Bahama Hummingbird"
"13","Vervain Hummingbird"
"14","Bee Hummingbird"
"15","Anna's Hummingbird"
"16","Costa's Hummingbird"
"17","Black-chinned Hummingbird"
"18","Ruby-throated Hummingbird"
"19","Broad-tailed Hummingbird"
"20","Calliope Hummingbird"
"21","Rufous Hummingbird"
"22","Allen's Hummingbird"
"23","Volcano Hummingbird"
"24","Scintillant Hummingbird"
"25","Glow-throated Hummingbird"
"26","Bumblebee Hummingbird"
"27","Wine-throated Hummingbird"
"28","Hoatzin"
"29","Greater Ani"
"30","Smooth-billed Ani"
"31","Groove-billed Ani"
"32","Guira Cuckoo"
"33","Striped Cuckoo"
"34","Pheasant Cuckoo"
"35","Pavonine Cuckoo"
"36","Lesser Ground-cuckoo"
"37","Lesser Roadrunner"
"38","Greater Roadrunner"
"39","Rufous-vented Ground-cuckoo"
"40","Banded Ground-cuckoo"
"41","Rufous-winged Ground-cuckoo"
"42","Red-billed Ground-cuckoo"
"43","Giant Coua"
"44","Coquerel's Coua"
"45","Red-breasted Coua"
"46","Red-fronted Coua"
"47","Running Coua"
"48","Red-capped Coua"
"49","Olive-capped Coua"
"50","Crested Coua"
"51","Chestnut-vented Coua"
"52","Verreaux's Coua"
"53","Blue Coua"
"54","Bornean Ground-cuckoo"
"55","Sumatran Ground-cuckoo"
"56","Coral-billed Ground-cuckoo"
"57","Buff-headed Coucal"
"58","Pied Coucal"
"59","Ivory-billed Coucal"
"60","Biak Coucal"
"61","Rufous Coucal"
"62","Green-billed Coucal"
"63","Black-faced Coucal"
"64","Black-hooded Coucal"
"65","Short-toed Coucal"
"66","Bay Coucal"
"67","Gabon Coucal"
"68","Black-throated Coucal"
"69","Senegal Coucal"
"70","Blue-headed Coucal"
"71","Coppery-tailed Coucal"
"72","White-browed Coucal"
"73","Javan Coucal"
"74","Greater Coucal"
"75","Andaman Coucal"
"76","Goliath Coucal"
"77","Madagascar Coucal"
"78","Black Coucal"
"79","Philippine Coucal"
"80","Lesser Coucal"
"81","Violaceous Coucal"
"82","Black-billed Coucal"
"83","Pheasant Coucal"
"84","Kai Coucal"
"85","Raffles's Malkoha"
"86","Chattering Yellowbill"
"87","Whistling Yellowbill"
"88","Sirkeer Malkoha"
"89","Red-billed Malkoha"
"90","Red-faced Malkoha"
"91","Blue-faced Malkoha"
"92","Black-bellied Malkoha"
"93","Chestnut-bellied Malkoha"
"94","Green-billed Malkoha"
"95","Chestnut-breasted Malkoha"
"96","Mentawai Malkoha"
"97","Red-crested Malkoha"
"98","Scale-feathered Malkoha"
"99","Yellow-billed Malkoha"
"100","Jacobin Cuckoo"
"101","Levaillant's Cuckoo"
"102","Chestnut-winged Cuckoo"
"103","Great Spotted Cuckoo"
"104","Little Cuckoo"
"105","Dwarf Cuckoo"
"106","Ash-colored Cuckoo"
"107","Mexican Squirrel-cuckoo"
"108","Common Squirrel-cuckoo"
"109","Black-bellied Cuckoo"
"110","Yellow-billed Cuckoo"
"111","Pearly-breasted Cuckoo"
"112","Mangrove Cuckoo"
"113","Cocos Cuckoo"
"114","Dark-billed Cuckoo"
"115","Black-billed Cuckoo"
"116","Grey-capped Cuckoo"
"117","Chestnut-bellied Cuckoo"
"118","Bay-breasted Cuckoo"
"119","Cuban Lizard-cuckoo"
"120","Bahama Lizard-cuckoo"
