cur_alternate_com_name,sci_name
Avestruz Comun,Struthio camelus
Avestruz Somali,Struthio molybdophanes
Avestruz Comun/Somali,Struthio camelus/molybdophanes
nandu Comun,Rhea americana
nandu Petiso,Rhea pennata
nandu Petiso (puna),Rhea pennata tarapacensis/garleppi
nandu Petiso (pennata),Rhea pennata pennata
Tinamu Cabecirrojo,Nothocercus julius
Tinamu Serrano,Nothocercus bonapartei
Tinamu Serrano (grupo bonapartei),Nothocercus bonapartei [bonapartei Group]
Tinamu Serrano (Costa Rica),Nothocercus bonapartei frantzii
Tinamu Cabecinegro,Nothocercus nigrocapillus
Tinamu Tao,Tinamus tao
Tinamu Macuco,Tinamus solitarius
Tinamu Negro,Tinamus osgoodi
Tinamu Olivaceo,Tinamus major
Tinamu Moteado,Tinamus guttatus
Tinamu sp.,Tinamus sp.
Tinamu Sombrio,Crypturellus cinereus
Tinamu Tizon,Crypturellus berlepschi
Tinamu Chico,Crypturellus soui
Tinamu de Tepuy,Crypturellus ptaritepui
Tinamu Cafe,Crypturellus obsoletus
Tinamu Cafe (castaneus),Crypturellus obsoletus castaneus
Tinamu Cafe (grupo obsoletus),Crypturellus obsoletus [obsoletus Group]
Tinamu Ondeado,Crypturellus undulatus
Tinamu Cejudo,Crypturellus transfasciatus
Tinamu Brasileno,Crypturellus strigulosus
Tinamu Patigris,Crypturellus duidae
Tinamu Patirrojo,Crypturellus erythropus
Tinamu Patigualdo,Crypturellus noctivagus
Tinamu Patigualdo (zabele),Crypturellus noctivagus zabele
Tinamu Patigualdo (noctivagus),Crypturellus noctivagus noctivagus
Tinamu Capirotado,Crypturellus atrocapillus
Tinamu Pizarroso,Crypturellus boucardi
Tinamu del Choco,Crypturellus kerriae
Tinamu Abigarrado,Crypturellus variegatus
Tinamu Canelo,Crypturellus cinnamomeus
Tinamu Canelo (occidentalis),Crypturellus cinnamomeus occidentalis
Tinamu Canelo (grupo cinnamomeus),Crypturellus cinnamomeus [cinnamomeus Group]
Tinamu Herrumbroso,Crypturellus brevirostris
Tinamu de Bartlett,Crypturellus bartletti
Tinamu Piquicorto,Crypturellus parvirostris
Tinamu del Casiquiare,Crypturellus casiquiare
Tinamu Tataupa,Crypturellus tataupa
Crypturellus sp.,Crypturellus sp.
Tinamu Alirrojo,Rhynchotus rufescens
Tinamu Huayco,Rhynchotus maculicollis
Tinamu de Taczanowski,Nothoprocta taczanowskii
Tinamu Pisacca,Nothoprocta ornata
Tinamu Chileno,Nothoprocta perdicaria
Tinamu Montaraz,Nothoprocta cinerascens
Tinamu Andino,Nothoprocta pentlandii
Tinamu del Paramo,Nothoprocta curvirostris
Nothoprocta sp.,Nothoprocta sp.
Tinamu Ventriblanco,Nothura boraquira
Tinamu Menor,Nothura minor
Tinamu de Darwin,Nothura darwinii
Tinamu Manchado,Nothura maculosa
Tinamu Enano,Taoniscus nanus
Martineta Comun,Eudromia elegans
Martineta Chaquena,Eudromia formosa
Kiula Andina,Tinamotis pentlandii
Kiula Patagona,Tinamotis ingoufi
Tinamidae sp.,Tinamidae sp.
Casuario Comun,Casuarius casuarius
Casuario Menor,Casuarius bennetti
Casuario Unicarunculado,Casuarius unappendiculatus
Emu,Dromaius novaehollandiae
Kiwi Sureno,Apteryx australis
Kiwi Sureno (I. Sur),Apteryx australis australis
Kiwi Sureno (I. de Stewart),Apteryx australis lawryi
Kiwi de Okarito,Apteryx rowi
Kiwi Norteno,Apteryx mantelli
Kiwi Moteado Menor,Apteryx owenii
Kiwi Moteado Mayor,Apteryx haastii
Kiwi sp.,Apteryx sp.
Chaja Anuma,Anhima cornuta
Chaja Comun,Chauna torquata
Chaja Chicagüire,Chauna chavaria
Ganso Urraca,Anseranas semipalmata
Suiriri Moteado,Dendrocygna guttata
Suiriri Australiano,Dendrocygna eytoni
Suiriri Cariblanco,Dendrocygna viduata
Suriri Moteado x Cariblanco (hibrido),Dendrocygna guttata x viduata
Suiriri Piquirrojo,Dendrocygna autumnalis
Suiriri Piquirrojo (fulgens),Dendrocygna autumnalis fulgens
Suiriri Piquirrojo (autumnalis),Dendrocygna autumnalis autumnalis
Suiriri Yaguaza,Dendrocygna arborea
Suiriri Piquirrojo x Yaguaza (hibrido),Dendrocygna autumnalis x arborea
Suiriri Bicolor,Dendrocygna bicolor
Suiriri Cariblanco x Bicolor (hibrido),Dendrocygna viduata x bicolor
Suiriri Piquirrojo x Bicolor (hibrido),Dendrocygna autumnalis x bicolor
Suiriri Capirotado,Dendrocygna arcuata
Suiriri de Java,Dendrocygna javanica
Suiriri Bicolor/de Java,Dendrocygna bicolor/javanica
Suiriri Capirotado x de Java (hibrido),Dendrocygna arcuata x javanica
Suiriri sp.,Dendrocygna sp.
Pato Dorsiblanco,Thalassornis leuconotus
ansar Indio,Anser indicus
ansar Emperador,Anser canagicus
ansar Nival,Anser caerulescens
ansar de Ross,Anser rossii
ansar Nival x de Ross (hibrido),Anser caerulescens x rossii
ansar Nival/de Ross,Anser caerulescens/rossii
ansar Comun,Anser anser
ansar Comun (europeo),Anser anser anser
ansar Comun (siberiano),Anser anser rubrirostris
ansar Comun (domestico),Anser anser (Domestic type)
ansar Cisnal,Anser cygnoides
ansar Cisnal (domestico),Anser cygnoides (Domestic type)
ansar Comun x Cisnal (hibrido) (domestico),Anser anser x cygnoides (Domestic type)
ansar Careto,Anser albifrons
ansar Careto (Groenlandia),Anser albifrons flavirostris
ansar Careto (euroasiatico),Anser albifrons albifrons
ansar Careto (occidental),Anser albifrons gambelli/sponsa
ansar Careto (mayor),Anser albifrons elgasi
ansar Indio x Careto (hibrido),Anser indicus x albifrons
ansar Emperador x Careto (hibrido),Anser canagicus x albifrons
ansar Nival x Careto (hibrido),Anser caerulescens x albifrons
ansar de Ross x Careto (hibrido),Anser rossii x albifrons
ansar Chico,Anser erythropus
ancar Careto/Chico,Anser albifrons/erythropus
ansar Campestre de La Taiga,Anser fabalis
ansar Campestre de La Tundra,Anser serrirostris
ansar Campestre/de La Tundra,Anser fabalis/serrirostris
ansar Piquicorto,Anser brachyrhynchus
ansar sp. (domestico),Anser sp. (Domestic type)
ansar sp.,Anser sp.
Barnacla Carinegra,Branta bernicla
Barnacla Carinegra (bernicla),Branta bernicla bernicla
Barnacla Carinegra (hrota),Branta bernicla hrota
Barnacla Carinegra (nigricans),Branta bernicla nigricans
Barnacla Carinegra (glaucogastra),Branta bernicla (Gray-bellied)
Barnacla Carinegra (hrota x nigricans),Branta bernicla hrota x nigricans
ansar Nival x Barnacla Carinegra (hibrido),Anser caerulescens x Branta bernicla
Barnacla Cariblanca,Branta leucopsis
ansar Indio x Barnacla Cariblanca (hibrido),Anser indicus x Branta leucopsis
ansar Comun x Barnacla Cariblanca (hibrido),Anser anser x Branta leucopsis
ansar Careto x Barnacla Cariblanca (hibrido),Anser albifrons x Branta leucopsis
ansar Chico x Barnacla Cariblanca (hibrido),Anser erythropus x Branta leucopsis
ansar Piquicorto x Barnacla Cariblanca (hibrido),Anser brachyrhynchus x Branta leucopsis
Barnacla Canadiense Chica,Branta hutchinsii
Barnacla Canadiense Chica (leucopareia),Branta hutchinsii leucopareia
Barnacla Canadiense Chica (hutchinsii),Branta hutchinsii hutchinsii
Barnacla Canadiense Chica (minima),Branta hutchinsii minima
Barnacla Canadiense Chica (taverneri),Branta hutchinsii taverneri
ansar Emperador x Barnacla Canadiense Chica (hibrido),Anser canagicus x Branta hutchinsii
ansar Nival x Barnacla Canadiense Chica (hibrido),Anser caerulescens x Branta hutchinsii
ansar de Ross x Barnacla Canadiense Chica (hibrido),Anser rossii x Branta hutchinsii
Barnacla Carinegra x Canadiense Chica (hibrido),Branta bernicla x hutchinsii
ansar Careto x Barnacla Canadiense Chica (hibrido),Anser albifrons x Branta hutchinsii
Barnacla Cariblanca x Canadiense Chica (hibrido),Branta leucopsis x hutchinsii
Barnacla Canadiense Grande,Branta canadensis
Barnacla Canadiense Grande (moffitti/maxima),Branta canadensis moffitti/maxima
Barnacla Canadiense Grande (occidentalis/fulva),Branta canadensis occidentalis/fulva
Barnacla Canadiense Grande (grupo canadensis),Branta canadensis [canadensis Group]
ansar Indio x Barnacla Canadiense Grande (hibrido),Anser indicus x Branta canadensis
ansar Cisnal (Domestico) x Barnacla Canadiense Grande (hibrido),Anser cygnoides (Domestic type) x Branta canadensis
ansar Piquicorto x Barnacla Canadiense Grande (hibrido),Anser brachyrhynchus x Branta canadensis
ansar Careto x Barnacla Canadiense Grande (hibrido),Anser albifrons x Branta canadensis
ansar Comun x Barnacla Canadiense Grande (hibrido),Anser anser x Branta canadensis
ansar Comun (Domestico) x Barnacla Canadiense Grande (hibrido),Anser anser (Domestic type) x Branta canadensis
ansar sp. (Domestico) x Barnacla Canadiense Grande (hibrido),Anser sp. (Domestic type) x Branta canadensis
ansar Nival x Barnacla Canadiense Grande (hibrido),Anser caerulescens x Branta canadensis
ansar de Ross x Barnacla Canadiense Grande (hibrido),Anser rossii x Branta canadensis
Barnacla Cariblanca x Canadiense Grande (hibrido),Branta leucopsis x canadensis
Barnacla Canadiense Chica/Grande,Branta hutchinsii/canadensis
ansar Nival/De Ross x Barnacla Canadiense Chica/Grande (hibrido),Anser caerulescens/rossii x Branta hutchinsii/canadensis
Barnacla Nene,Branta sandvicensis
Barnacla Cuellirroja,Branta ruficollis
ansar Careto x Barnacla Cuellirroja (hibrido),Anser albifrons x Branta ruficollis
Barnacla Cariblanca x Cuellirroja (hibrido),Branta leucopsis x ruficollis
Barnacla sp.,Branta sp.
ansar/Barnacla sp.,Anser/Branta sp.
Ganso Cenizo,Cereopsis novaehollandiae
Pato Pecoso,Stictonetta naevosa
Ganso Aliazul,Cyanochen cyanoptera
Cisne Vulgar,Cygnus olor
ansar Comun x Cisne Vulgar (hibrido),Anser anser x Cygnus olor
Cisne Negro,Cygnus atratus
Cisne Cuellinegro,Cygnus melancoryphus
Cisne Trompetero,Cygnus buccinator
Cisne Vulgar x Trompetero (hibrido),Cygnus olor x buccinator
Cisne Chico,Cygnus columbianus
Cisne Chico (neartico),Cygnus columbianus columbianus
Cisne Chico (paleartico),Cygnus columbianus bewickii
Cisne Chico (columbianus x bewickii),Cygnus columbianus columbianus x bewickii
Cisne Trompetero x Chico (hibrido),Cygnus buccinator x columbianus
Cisne Trompetero/Chico,Cygnus buccinator/columbianus
Cisne Cantor,Cygnus cygnus
Cisne Trompetero x Cantor (hibrido),Cygnus buccinator x cygnus
Cisne Chico/Cantor,Cygnus columbianus/cygnus
Cisne sp.,Cygnus sp.
Cisne Coscoroba,Coscoroba coscoroba
Pato Crestudo Afroasiatico,Sarkidiornis melanotos
Pato Crestudo Americano,Sarkidiornis sylvicola
Pato de Hartlaub,Pteronetta hartlaubii
Ganso del Orinoco,Oressochen jubatus
Cauquen Guayata,Oressochen melanopterus
Cauquen Comun,Chloephaga picta
Cauquen Comun (de pecho blanco),Chloephaga picta (White-breasted)
Cauquen Comun (de pecho barreado),Chloephaga picta (Bar-breasted)
Cauquen Caranca,Chloephaga hybrida
Cauquen Cabecigris,Chloephaga poliocephala
Cauquen Colorado,Chloephaga rubidiceps
Cauquen sp.,Chloephaga sp.
Tarro Raja,Radjah radjah
Ganso del Nilo,Alopochen aegyptiaca
Ganso de Mauricio,Alopochen mauritiana
Ganso de Reunion,Alopochen kervazoi
Tarro Canelo,Tadorna ferruginea
Ganso del Nilo x Tarro Canelo (hibrido),Alopochen aegyptiaca x Tadorna ferruginea
Tarro Sudafricano,Tadorna cana
Tarro Australiano,Tadorna tadornoides
Tarro Maori,Tadorna variegata
Tarro Blanco,Tadorna tadorna
Tarro Canelo x Blanco (hibrido),Tadorna ferruginea x tadorna
Tarro Crestado,Tadorna cristata
Ganso Espolonado,Plectropterus gambensis
Ganso Espolonado (norteno),Plectropterus gambensis gambensis
Ganso Espolonado (sureno),Plectropterus gambensis niger
Quetro Volador,Tachyeres patachonicus
Quetro Austral,Tachyeres pteneres
Quetro Austral (forma de Chiloe),Tachyeres pteneres [undescribed form]
Quetro de Malvinas,Tachyeres brachypterus
Quetro Cabeciblanco,Tachyeres leucocephalus
Quetro sp.,Tachyeres sp.
anade Juarjal,Lophonetta specularioides
anade Anteojillo,Speculanas specularis
Pato Criollo,Cairina moschata
Pato Criollo (asilvestrado establecido),Cairina moschata (Established Feral)
Pato Criollo (domestico),Cairina moschata (Domestic type)
Gansito Australiano,Nettapus pulchellus
Gansito Asiatico,Nettapus coromandelianus
Gansito Africano,Nettapus auritus
Pato Acollarado,Callonetta leucophrys
Pato Joyuyo,Aix sponsa
Tarro Blanco x Pato Joyuyo (hibrido),Tadorna tadorna x Aix sponsa
Pato Mandarin,Aix galericulata
Pato Joyuyo x Mandarin (hibrido),Aix sponsa x galericulata
Pato de Crin,Chenonetta jubata
anade de Finsch,Chenonetta finschi
Pato Brasileno,Amazonetta brasiliensis
Pato Azul,Hymenolaimus malacorhynchos
Pato Torrentero,Merganetta armata
anade de Papua,Salvadorina waigiuensis
Cerceta del Baikal,Sibirionetta formosa
Cerceta Carretona,Spatula querquedula
Cerceta Joi,Spatula hottentota
Cerceta Capuchina,Spatula versicolor
Cerceta de La Puna,Spatula puna
Cerceta Aliazul,Spatula discors
Cerceta Colorada,Spatula cyanoptera
Cerceta Aliazul x Colorada (hibrido),Spatula discors x cyanoptera
Cerceta Aliazul/Colorada,Spatula discors/cyanoptera
Cuchara Argentino,Spatula platalea
Cuchara de El Cabo,Spatula smithii
Cuchara Australiano,Spatula rhynchotis
Cuchara Comun,Spatula clypeata
Cerceta Carretona x Cuchara Comun (hibrido),Spatula querquedula x clypeata
Cerceta Aliazul x Cuchara Comun (hibrido),Spatula discors x clypeata
Cerceta Colorada x Cuchara Comun (hibrido),Spatula cyanoptera x clypeata
anade Friso,Mareca strepera
anade Friso (strepera),Mareca strepera strepera
anade Friso (couesi),Mareca strepera couesi
Cuchara Comun x anade Friso (hibrido),Spatula clypeata x Mareca strepera
Cerceta de Alfanjes,Mareca falcata
Cerceta del Baikal x Cerceta de Alfanjes (hibrido),Sibirionetta formosa x Mareca falcata
anade Friso x Cerceta de Alfanjes (hibrido),Mareca strepera x falcata
Silbon Europeo,Mareca penelope
anade Friso x Silbon Europeo (hibrido),Mareca strepera x penelope
Silbon Americano,Mareca americana
Pato Joyuyo x Silbon Americano (hibrido),Aix sponsa x Mareca americana
Cerceta Aliazul x Silbon Americano (hibrido),Spatula discors x Mareca americana
Cuchara Comun x Silbon Americano (hibrido),Spatula clypeata x Mareca americana
anade Friso x Silbon Americano (hibrido),Mareca strepera x americana
Silbon Europeo x Americano (hibrido),Mareca penelope x americana
Silbon Europeo/Americano,Mareca penelope/americana
Silbon Overo,Mareca sibilatrix
anade de Isla de Amsterdam,Mareca marecula
anade Negro,Anas sparsa
anade Picolimon,Anas undulata
anade Malgache,Anas melleri
anade Cejudo,Anas superciliosa
anade de Laysan,Anas laysanensis
anade Hawaiano,Anas wyvilliana
anade Filipino,Anas luzonica
anade Picopinto Indio,Anas poecilorhyncha
