"","x"
"1","Least Poorwill"
"2","Choco Poorwill"
"3","Eared Poorwill"
"4","Yucatan Poorwill"
"5","Ocellated Poorwill"
"6","Common Poorwill"
"7","Eastern Whip-poor-will"
"8","Mexican Whip-poor-will"
"9","Puerto Rican Nightjar"
"10","Dusky Nightjar"
"11","Buff-collared Nightjar"
"12","Tawny-collared Nightjar"
"13","Yucatan Nightjar"
"14","Silky-tailed Nightjar"
"15","Chuck-will's-widow"
"16","Rufous Nightjar"
"17","Cuban Nightjar"
"18","Hispaniolan Nightjar"
"19","Red-necked Nightjar"
"20","Jungle Nightjar"
"21","Grey Nightjar"
"22","Palau Nightjar"
"23","European Nightjar"
"24","Sombre Nightjar"
"25","Rufous-cheeked Nightjar"
"26","Egyptian Nightjar"
"27","Sykes's Nightjar"
"28","Vaurie's Nightjar"
"29","Nubian Nightjar"
"30","Golden Nightjar"
"31","Jerdon's Nightjar"
"32","Large-tailed Nightjar"
"33","Mees's Nightjar"
"34","Andaman Nightjar"
"35","Philippine Nightjar"
"36","Sulawesi Nightjar"
"37","Bonaparte's Nightjar"
"38","Salvadori's Nightjar"
"39","Donaldson-Smith's Nightjar"
"40","Fiery-necked Nightjar"
"41","Montane Nightjar"
"42","Indian Nightjar"
"43","Madagascar Nightjar"
"44","Swamp Nightjar"
"45","Nechisar Nightjar"
"46","Plain Nightjar"
"47","Star-spotted Nightjar"
"48","Savanna Nightjar"
"49","Freckled Nightjar"
"50","Prigogine's Nightjar"
"51","Bates's Nightjar"
"52","Long-tailed Nightjar"
"53","Slender-tailed Nightjar"
"54","Mozambique Nightjar"
"55","Standard-winged Nightjar"
"56","Pennant-winged Nightjar"
"57","Brown Nightjar"
"58","New Caledonian Owlet-nightjar"
"59","Feline Owlet-nightjar"
"60","Spangled Owlet-nightjar"
"61","Moluccan Owlet-nightjar"
"62","Australian Owlet-nightjar"
"63","Allied Owlet-nightjar"
"64","Barred Owlet-nightjar"
"65","Wallace's Owlet-nightjar"
"66","Archbold's Owlet-nightjar"
"67","Mountain Owlet-nightjar"
"68","Crested Treeswift"
"69","Grey-rumped Treeswift"
"70","Whiskered Treeswift"
"71","Moustached Treeswift"
"72","Spot-fronted Swift"
"73","White-chinned Swift"
"74","White-fronted Swift"
"75","Black Swift"
"76","White-chested Swift"
"77","Rothschild's Swift"
"78","Sooty Swift"
"79","Great Dusky Swift"
"80","Chestnut-collared Swift"
"81","Tepui Swift"
"82","White-collared Swift"
"83","Biscutate Swift"
"84","White-naped Swift"
"85","Philippine Spinetail"
"86","Papuan Spinetail"
"87","Madagascar Spinetail"
"88","Sao Tome Spinetail"
"89","White-rumped Spinetail"
"90","Mottled Spinetail"
"91","Black Spinetail"
"92","Silver-rumped Spinetail"
"93","Sabine's Spinetail"
"94","Cassin's Spinetail"
"95","Böhm's Spinetail"
"96","Costa Rican Swift"
"97","Band-rumped Swift"
"98","Lesser Antillean Swift"
"99","Grey-rumped Swift"
"100","Pale-rumped Swift"
"101","Vaux's Swift"
"102","Andre's Swift"
"103","Chimney Swift"
"104","Chapman's Swift"
"105","Southern Swift"
"106","Short-tailed Swift"
"107","White-throated Needletail"
"108","Silver-backed Needletail"
"109","Brown-backed Needletail"
"110","Purple Needletail"
"111","Pygmy Swiftlet"
"112","Cave Swiftlet"
"113","Glossy Swiftlet"
"114","Waterfall Swift"
"115","Papuan Swiftlet"
"116","Whitehead's Swiftlet"
