"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"1",1427,"Abeillia abeillei","Trochilidae","Caprimulgiformes","AVIBASE-B3F5E5E2",-0.417734306,47,29.4,2.7,"Forest",2,1,"Herbivore","Nectarivore","Aerial",12.78,19.77,15.29,-89.79,144610.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.902718921,-0.568728691,-0.30728718,2,1.791906224,-0.40468555,0,244,4636,1,"Emerald-chinned Hummingbird","Colibri d'Abeille","Colibri de Abeille",NA,NA,NA,NA,NA,NA
"2",8020,"Abroscopus albogularis","Scotocercidae","Passeriformes","AVIBASE-684016CB",-0.436974,43.4,38.7,4.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",14.97,31.56,24.78,105.57,1704651,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.327355,1.898344,0.2039069,3.9,1.711267,-0.4214426,0,1859.3,35327,0,"Rufous-faced Warbler","Bouscarle a moustaches","Mosquitero Carirrufo",NA,NA,NA,NA,NA,NA
"3",8021,"Abroscopus schisticeps","Scotocercidae","Passeriformes","AVIBASE-0FD03AFF",-0.4171999,47.1,47.5,4.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",20.19,31.12,26.7,95.58,909217.1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.348408,1.269812,0.3653366,4.5,1.607011,-0.443107,0,309.3,5876,0,"Black-faced Warbler","Bouscarle a face noire","Mosquitero Carinegro",NA,NA,NA,NA,NA,NA
"4",8019,"Abroscopus superciliaris","Scotocercidae","Passeriformes","AVIBASE-A8F5D21F",-0.395288,51.2,42.4,6.5,"Shrubland",1,1,"Carnivore","Invertivore","Insessorial",-8.11,28.81,9.89,105.2,2493437,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.024169,2.278646,0.01557222,3.2,1.827708,-0.397246,0,460.6,8751,0,"Yellow-bellied Warbler","Bouscarle a sourcils blancs","Mosquitero Cejiblanco",NA,NA,NA,NA,NA,NA
"5",108,"Aburria aburri","Cracidae","Galliformes","AVIBASE-50A42775",1.133195206,337.2,290.4,1405.1,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-13.43,11.15,-2.79,-75.23,139314.36,2,1,0,0,0,0,1,0,0,0,0,0,0,3.35189306,-0.606038958,NA,NA,7.418901822,0.764609758,0,439.6,8352,0,"Wattled Guan","Penelope aburri","Pava Aburria",NA,NA,NA,NA,NA,NA
"6",6128,"Acanthagenys rufogularis","Meliphagidae","Passeriformes","AVIBASE-BFB1C22E",-0.07516166,111.1,111.4,47.8,"Shrubland",2,1,"Omnivore","Omnivore","Insessorial",-38.86,-16.14,-27.1,133.98,5976565.2,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.028945054,3.15282938,-0.226572331,2.3,3.819754733,0.016703397,0,5677.9,107880,0,"Spiny-cheeked Honeyeater","Meliphage a bavette","Mielero Golicanelo",NA,NA,NA,NA,NA,NA
"7",11013,"Acanthidops bairdi","Thraupidae","Passeriformes","AVIBASE-5CCF7540",-0.3161917,66,52.1,16,"Forest",1,2,"Omnivore","Invertivore","Insessorial",8.8,10.38,9.56,-83.49,4743.28,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.123382,-3.986043,NA,NA,2.579063,-0.2411137,0,89.3,1697,0,"Peg-billed Finch","Bec-en-cheville gris","Yal Costarricense",NA,NA,NA,NA,NA,NA
"8",10206,"Acanthis flammea","Fringillidae","Passeriformes","AVIBASE-B6C8DDB2",-0.2638171,75.8,58.7,13,"Forest",1,2,"Herbivore","Granivore","Generalist",44.1,83.11,64.52,23.24,19794268,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.331021,4.350376,0.4998613,5,2.592005,-0.2384241,0,96863.2,1840401,0,"Common Redpoll","Sizerin flamme","Pardillo Norteno",NA,NA,NA,NA,NA,NA
"9",4496,"Acanthisitta chloris","Acanthisittidae","Passeriformes","AVIBASE-7D5E37D9",-0.423078653,46,23.5,6.9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-47.28,-35.38,-42.25,172.19,152503.84,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.964449282,-0.515582144,0.230811813,4,1.890638142,-0.384168958,0,658.4,12510,0,"Rifleman","Xenique grimpeur","Acantisita Verdoso",14353,64.36,NA,NA,NA,NA
"10",6222,"Acanthiza apicalis","Acanthizidae","Passeriformes","AVIBASE-4413633D",-0.396356918,51,44.1,7.6,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-36,-16.78,-27.63,131.95,4124270.8,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.867822447,2.781872587,NA,NA,3.284418521,-0.094540003,0,1970.7,37443,0,"Inland Thornbill","Acanthize troglodyte","Acantiza Apical",NA,NA,NA,NA,NA,NA
"11",6218,"Acanthiza chrysorrhoa","Acanthizidae","Passeriformes","AVIBASE-B1B0E343",-0.357343184,58.3,37.9,9.3,"Woodland",2,1,"Carnivore","Invertivore","Terrestrial",-43.64,-18.56,-28.8,136.41,4590956.34,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.665956294,2.889071714,0.096287065,3.5,2.786694213,-0.197967612,0,10571.5,200858,0,"Yellow-rumped Thornbill","Acanthize a croupion jaune","Acantiza Culigualda",NA,NA,NA,NA,NA,NA
"12",6217,"Acanthiza cinerea","Acanthizidae","Passeriformes","AVIBASE-BCF9128E",-0.391012571,52,32.4,7.6,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.11,-0.56,-5.22,141.57,124509.89,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.867822447,-0.71838677,NA,NA,2.989187295,-0.155889347,0,28.2,479,0,"Gray Thornbill","Acanthize gris","Acantiza Gris",NA,NA,NA,NA,NA,NA
"13",6223,"Acanthiza ewingii","Acanthizidae","Passeriformes","AVIBASE-14B92847",-0.389943701,52.2,46.4,6.9,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-43.64,-39.44,-41.94,146.59,68050.51,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.964449282,-1.322521697,0.096287065,3.5,2.584194359,-0.240047284,0,502.3,9543,0,"Tasmanian Thornbill","Acanthize de Tasmanie","Acantiza de Tasmania",NA,NA,NA,NA,NA,NA
"14",6230,"Acanthiza inornata","Acanthizidae","Passeriformes","AVIBASE-6601168A",-0.413458828,47.8,36.4,7,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-35.19,-29.16,-32.67,116.74,137406.16,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.950060545,-0.619830709,0.096287065,3.5,2.409270373,-0.276396663,0,230.2,4374,0,"Western Thornbill","Acanthize sobre","Acantiza Sencilla",NA,NA,NA,NA,NA,NA
"15",6227,"Acanthiza iredalei","Acanthizidae","Passeriformes","AVIBASE-D6ACB361",-0.41025222,48.4,39.3,6,"Shrubland",2,1,"Carnivore","Invertivore","Generalist",-38.86,-24.06,-31.22,128.95,987131.55,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.104211225,1.352031393,-0.038237683,3,2.652208873,-0.2259138,0,89.8,1706,0,"Slender-billed Thornbill","Acanthize d'Iredale","Acantiza de Iredale",NA,NA,NA,NA,NA,NA
"16",6225,"Acanthiza katherina","Acanthizidae","Passeriformes","AVIBASE-E60E9E28",-0.390478136,52.1,41.1,7.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-19.07,-15.76,-17.76,144.85,58196.09,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.921889668,-1.47895375,-0.240024806,2.25,3.252523734,-0.101167772,0,166.8,3170,0,"Mountain Thornbill","Acanthize des montagnes","Acantiza Montana",NA,NA,NA,NA,NA,NA
"17",6221,"Acanthiza lineata","Acanthizidae","Passeriformes","AVIBASE-D0A0845A",-0.393684744,51.5,37.9,6.9,"Forest",2,1,"Omnivore","Invertivore","Insessorial",-39.24,-23.09,-32.16,147.5,1043817.35,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.964449282,1.407867881,-0.038237683,3,4.171252748,0.089745036,0,5729.9,108868,0,"Striated Thornbill","Acanthize ride","Acantiza Estriada",NA,NA,NA,NA,NA,NA
"18",6219,"Acanthiza murina","Acanthizidae","Passeriformes","AVIBASE-87E8A565",-0.363756401,57.1,35,8.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.63,-3.38,-5.39,141.94,83142.29,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.767738988,-1.122218443,-0.30728718,2,3.271018666,-0.097324506,0,14.9,209,0,"Papuan Thornbill","Acanthize de Nouvelle-Guinee","Acantiza Papu",NA,NA,NA,NA,NA,NA
