species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
ostric2,avibase-2247CB05,1,species,Common Ostrich,Avestruz Comun,Struthio camelus,es
ostric3,avibase-40329BB6,6,species,Somali Ostrich,Avestruz Somali,Struthio molybdophanes,es
y00934,avibase-5D14080C,7,slash,Common/Somali Ostrich,Avestruz Comun/Somali,Struthio camelus/molybdophanes,es
grerhe1,avibase-00986B24,8,species,Greater Rhea,nandu Comun,Rhea americana,es
lesrhe2,avibase-590ADF92,14,species,Lesser Rhea,nandu Petiso,Rhea pennata,es
lesrhe4,avibase-499B75D1,15,issf,Lesser Rhea (Puna),nandu Petiso (puna),Rhea pennata tarapacensis/garleppi,es
lesrhe3,avibase-BA52A675,18,issf,Lesser Rhea (Darwin's),nandu Petiso (pennata),Rhea pennata pennata,es
tabtin1,avibase-5FB99321,19,species,Tawny-breasted Tinamou,Tinamu Cabecirrojo,Nothocercus julius,es
higtin1,avibase-66C31E09,20,species,Highland Tinamou,Tinamu Serrano,Nothocercus bonapartei,es
higtin2,avibase-7A906705,21,issf,Highland Tinamou (South American),Tinamu Serrano (grupo bonapartei),Nothocercus bonapartei [bonapartei Group],es
higtin3,avibase-E1140648,26,issf,Highland Tinamou (Costa Rican),Tinamu Serrano (Costa Rica),Nothocercus bonapartei frantzii,es
hootin1,avibase-68E763AE,27,species,Hooded Tinamou,Tinamu Cabecinegro,Nothocercus nigrocapillus,es
grytin1,avibase-346D16D5,30,species,Gray Tinamou,Tinamu Tao,Tinamus tao,es
soltin1,avibase-67E5E0FA,35,species,Solitary Tinamou,Tinamu Macuco,Tinamus solitarius,es
blatin1,avibase-63C5F122,36,species,Black Tinamou,Tinamu Negro,Tinamus osgoodi,es
gretin1,avibase-42D72AE1,39,species,Great Tinamou,Tinamu Olivaceo,Tinamus major,es
whttin1,avibase-0480B7C9,52,species,White-throated Tinamou,Tinamu Moteado,Tinamus guttatus,es
tinamu1,avibase-678BBDA9,53,spuh,Tinamus sp.,Tinamu sp.,Tinamus sp.,es
cintin1,avibase-7C90F8DB,54,species,Cinereous Tinamou,Tinamu Sombrio,Crypturellus cinereus,es
bertin1,avibase-9B036853,55,species,Berlepsch's Tinamou,Tinamu Tizon,Crypturellus berlepschi,es
littin1,avibase-39DD9DD7,56,species,Little Tinamou,Tinamu Chico,Crypturellus soui,es
teptin1,avibase-F5F9A63F,71,species,Tepui Tinamou,Tinamu de Tepuy,Crypturellus ptaritepui,es
brotin1,avibase-D624C373,72,species,Brown Tinamou,Tinamu Cafe,Crypturellus obsoletus,es
brntin1,avibase-312C8577,73,issf,Brown Tinamou (castaneus),Tinamu Cafe (castaneus),Crypturellus obsoletus castaneus,es
brntin2,avibase-40F0CAA1,74,issf,Brown Tinamou (Brown),Tinamu Cafe (grupo obsoletus),Crypturellus obsoletus [obsoletus Group],es
undtin1,avibase-7A600A0F,83,species,Undulated Tinamou,Tinamu Ondeado,Crypturellus undulatus,es
pabtin1,avibase-D303E7FF,90,species,Pale-browed Tinamou,Tinamu Cejudo,Crypturellus transfasciatus,es
bratin1,avibase-FE2B5A6B,91,species,Brazilian Tinamou,Tinamu Brasileno,Crypturellus strigulosus,es
gyltin1,avibase-D2592D39,92,species,Gray-legged Tinamou,Tinamu Patigris,Crypturellus duidae,es
reltin1,avibase-4E03F38D,93,species,Red-legged Tinamou,Tinamu Patirrojo,Crypturellus erythropus,es
yeltin1,avibase-7507BE36,101,species,Yellow-legged Tinamou,Tinamu Patigualdo,Crypturellus noctivagus,es
yeltin2,avibase-5D053169,102,issf,Yellow-legged Tinamou (zabele),Tinamu Patigualdo (zabele),Crypturellus noctivagus zabele,es
yeltin3,avibase-55A93510,103,issf,Yellow-legged Tinamou (noctivagus),Tinamu Patigualdo (noctivagus),Crypturellus noctivagus noctivagus,es
blctin1,avibase-41631439,104,species,Black-capped Tinamou,Tinamu Capirotado,Crypturellus atrocapillus,es
slbtin1,avibase-5183B60E,107,species,Slaty-breasted Tinamou,Tinamu Pizarroso,Crypturellus boucardi,es
chotin1,avibase-2ED97B54,110,species,Choco Tinamou,Tinamu del Choco,Crypturellus kerriae,es
vartin1,avibase-F8BBC7A7,111,species,Variegated Tinamou,Tinamu Abigarrado,Crypturellus variegatus,es
