"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"1","Common Ostrich","Autruche d'Afrique","Struthio camelus","Avestruz Comun",3471,15.57,NA,NA,NA,NA
"2","Somali Ostrich","Autruche de Somalie","Struthio molybdophanes","Avestruz Somali",1692,7.59,NA,NA,728,3.28
"3","Common/Somali Ostrich","Autruche d'Afrique ou A. de Somalie","Struthio camelus/molybdophanes","Avestruz Comun/Somali",NA,NA,NA,NA,NA,NA
"4","Greater Rhea","Nandou d'Amerique","Rhea americana","nandu Comun",3275,14.69,NA,NA,NA,NA
"5","Lesser Rhea","Nandou de Darwin","Rhea pennata","nandu Petiso",1065,4.78,935,4.21,NA,NA
"6","Lesser Rhea (Puna)","Nandou de Darwin (tarapacensis/garleppi)","Rhea pennata tarapacensis/garleppi","nandu Petiso (puna)",NA,NA,NA,NA,NA,NA
"7","Lesser Rhea (Darwin's)","Nandou de Darwin (pennata)","Rhea pennata pennata","nandu Petiso (pennata)",NA,NA,NA,NA,NA,NA
"8","Tawny-breasted Tinamou","Tinamou a tete rousse","Nothocercus julius","Tinamu Cabecirrojo",NA,NA,NA,NA,NA,NA
"9","Highland Tinamou","Tinamou de Bonaparte","Nothocercus bonapartei","Tinamu Serrano",NA,NA,NA,NA,NA,NA
"10","Highland Tinamou (South American)","Tinamou de Bonaparte (groupe bonapartei)","Nothocercus bonapartei [bonapartei Group]","Tinamu Serrano (grupo bonapartei)",NA,NA,NA,NA,NA,NA
"11","Highland Tinamou (Costa Rican)","Tinamou de Bonaparte (frantzii)","Nothocercus bonapartei frantzii","Tinamu Serrano (Costa Rica)",NA,NA,NA,NA,NA,NA
"12","Hooded Tinamou","Tinamou a capuchon","Nothocercus nigrocapillus","Tinamu Cabecinegro",NA,NA,NA,NA,NA,NA
"13","Gray Tinamou","Tinamou tao","Tinamus tao","Tinamu Tao",NA,NA,NA,NA,NA,NA
"14","Solitary Tinamou","Tinamou solitaire","Tinamus solitarius","Tinamu Macuco",NA,NA,NA,NA,NA,NA
"15","Black Tinamou","Tinamou noir","Tinamus osgoodi","Tinamu Negro",NA,NA,NA,NA,NA,NA
"16","Great Tinamou","Grand Tinamou","Tinamus major","Tinamu Olivaceo",2459,11.03,NA,NA,NA,NA
"17","White-throated Tinamou","Tinamou a gorge blanche","Tinamus guttatus","Tinamu Moteado",NA,NA,NA,NA,NA,NA
"18","Tinamus sp.","Tinamus sp.","Tinamus sp.","Tinamu sp.",NA,NA,NA,NA,NA,NA
"19","Cinereous Tinamou","Tinamou cendre","Crypturellus cinereus","Tinamu Sombrio",NA,NA,NA,NA,NA,NA
"20","Berlepsch's Tinamou","Tinamou de Berlepsch","Crypturellus berlepschi","Tinamu Tizon",NA,NA,NA,NA,NA,NA
"21","Little Tinamou","Tinamou soui","Crypturellus soui","Tinamu Chico",710,3.18,NA,NA,NA,NA
"22","Tepui Tinamou","Tinamou des tepuis","Crypturellus ptaritepui","Tinamu de Tepuy",NA,NA,NA,NA,NA,NA
"23","Brown Tinamou","Tinamou brun","Crypturellus obsoletus","Tinamu Cafe",NA,NA,NA,NA,NA,NA
"24","Brown Tinamou (castaneus)","Tinamou brun (castaneus)","Crypturellus obsoletus castaneus","Tinamu Cafe (castaneus)",NA,NA,NA,NA,NA,NA
"25","Brown Tinamou (Brown)","Tinamou brun (groupe obsoletus)","Crypturellus obsoletus [obsoletus Group]","Tinamu Cafe (grupo obsoletus)",NA,NA,NA,NA,NA,NA
"26","Undulated Tinamou","Tinamou vermicule","Crypturellus undulatus","Tinamu Ondeado",NA,NA,NA,NA,NA,NA
"27","Pale-browed Tinamou","Tinamou a grands sourcils","Crypturellus transfasciatus","Tinamu Cejudo",NA,NA,NA,NA,NA,NA
"28","Brazilian Tinamou","Tinamou oariana","Crypturellus strigulosus","Tinamu Brasileno",NA,NA,NA,NA,NA,NA
"29","Gray-legged Tinamou","Tinamou de Zimmer","Crypturellus duidae","Tinamu Patigris",NA,NA,NA,NA,NA,NA
"30","Red-legged Tinamou","Tinamou a pieds rouges","Crypturellus erythropus","Tinamu Patirrojo",NA,NA,NA,NA,NA,NA
"31","Yellow-legged Tinamou","Tinamou noctivague","Crypturellus noctivagus","Tinamu Patigualdo",NA,NA,NA,NA,NA,NA
"32","Yellow-legged Tinamou (zabele)","Tinamou noctivague (zabele)","Crypturellus noctivagus zabele","Tinamu Patigualdo (zabele)",NA,NA,NA,NA,NA,NA
"33","Yellow-legged Tinamou (noctivagus)","Tinamou noctivague (noctivagus)","Crypturellus noctivagus noctivagus","Tinamu Patigualdo (noctivagus)",NA,NA,NA,NA,NA,NA
"34","Black-capped Tinamou","Tinamou a calotte noire","Crypturellus atrocapillus","Tinamu Capirotado",NA,NA,NA,NA,NA,NA
"35","Slaty-breasted Tinamou","Tinamou de Boucard","Crypturellus boucardi","Tinamu Pizarroso",NA,NA,NA,NA,NA,NA
"36","Choco Tinamou","Tinamou de Kerr","Crypturellus kerriae","Tinamu del Choco",NA,NA,NA,NA,NA,NA
"37","Variegated Tinamou","Tinamou varie","Crypturellus variegatus","Tinamu Abigarrado",NA,NA,NA,NA,NA,NA
