"","masscentr","rangecentr","Migration","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","gbif_mean_scaled","mean","CITES_species","threatened"
"1",-2.902718921,-0.568728691,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14373894825309,0,1,0
"2",-2.327355,1.898344,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.10219263744653,0,0,0
"3",-2.348408,1.269812,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.142059400122298,0,0,0
"4",-2.024169,2.278646,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.138167889675302,0,0,0
"5",3.35189306,-0.606038958,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.138708020008329,0,0,0
"6",-0.028945054,3.15282938,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.00397636650866807,0,0,0
"7",-1.123382,-3.986043,2,0,0,0,0,0,0,0,0,0,0,1,0,-0.147717908373052,0,0,0
"8",-1.331021,4.350376,2,0,0,0,0,0,0,0,0,0,0,1,0,2.34135441711628,0,0,0
"9",-1.964449282,-0.515582144,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.133080376348033,21.45333333,0,0
"10",-1.867822447,2.781872587,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0993273746322848,0,0,0
"11",-1.665956294,2.889071714,1,0,0,0,0,0,0,0,0,0,0,0,0,0.121889433381743,0,0,0
"12",-1.867822447,-0.71838677,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149289430437239,0,0,0
"13",-1.964449282,-1.322521697,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.137095345156864,0,0,0
"14",-1.950060545,-0.619830709,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.144093891043365,0,0,0
"15",-2.104211225,1.352031393,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147705048127028,0,0,0
"16",-1.921889668,-1.47895375,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.145724570239264,0,0,0
"17",-1.964449282,1.407867881,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.00263890092212619,0,0,0
"18",-1.767738988,-1.122218443,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149631512981489,0,0,0
"19",-2.071421402,2.068781679,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165022461364738,2.58,0,0
"20",-1.867822447,1.488809158,1,0,0,0,0,0,0,0,0,0,0,1,0,0.323003104810364,3.17,0,0
"21",-1.854750365,1.976607148,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0678583526104772,0,0,0
"22",-2.087681923,2.08858623,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.14742212271449,0,0,0
"23",-2.039672704,2.93126983,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.101603638178611,0,0,0
"24",0.2149032,-2.183603,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149989027820968,0,0,0
"25",-1.623844808,-0.337565184,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.140984283554655,1.623333333,0,0
"26",-1.554164888,1.095144793,1,0,0,0,0,0,0,0,0,0,0,1,0,0.159984054155342,3.596666667,0,0
"27",-1.573582974,-1.735386803,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147239507220943,0.983333333,0,0
"28",1.620678667,-1.919465923,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.149767831589348,4.33,1,0
"29",0.980752183,4.472926416,3,1,0,0,0,0,1,0,1,1,0,0,0,0.165822605850439,10.95,1,0
"30",1.765252166,4.025921076,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.13372081660005,0,1,0
"31",1.059856364,-1.970968283,2,1,0,0,0,0,1,0,0,0,0,0,0,-0.149989027820968,0,1,1
"32",1.332460545,2.442287499,3,0,0,0,1,0,1,0,0,1,0,0,0,-0.132586542900695,1.996666667,1,0
"33",0.908050351,-6.658001515,1,1,0,1,0,0,1,0,0,0,1,0,0,-0.149955591181305,0,1,1
"34",1.163454764,2.105205724,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.149922154541641,0,1,0
"35",1.214208231,3.06766376,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0963232211609753,3.07,0,0
"36",0.686953883,-0.008334128,2,0,0,0,0,0,1,0,0,0,0,0,0,-0.149196836665863,0,1,0
"37",2.167116597,3.492397714,3,0,0,0,0,0,0,0,0,0,0,0,0,3.48496722713495,12.26,1,0
"38",1.153885313,-1.668444136,1,1,0,1,1,1,1,0,1,0,0,0,0,-0.149829560770265,0,1,0
"39",0.815359688,2.72719302,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149487478226015,0,1,0
"40",1.986515691,3.466699557,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0359726586174777,2.9,1,0
"41",1.022549311,0.71003485,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148430366002806,0,0,0
"42",2.867914215,4.823671696,2,1,1,0,1,0,1,1,1,1,0,0,0,0.593441218458337,18.84333333,1,0
"43",1.632664428,-0.596817806,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149682953965587,0,1,0
"44",0.897337434,2.930616691,3,1,1,0,0,0,1,0,0,1,0,0,0,-0.13304693970837,3.323333333,1,0
"45",2.618741997,-2.030885346,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.147944248703082,0,1,1
"46",1.394314501,-2.746125543,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149407744700664,0,1,0
"47",1.986515691,-2.416807754,1,1,0,1,1,1,1,0,1,0,0,0,0,-0.149762687490938,0,1,0
"48",3.060574749,0.531745492,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149351159618156,0,1,1
"49",1.891233389,1.13496323,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147095472465469,0,0,0
