"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean","count_mean","mean","category.n","prediction","threatened","prob.predictions"
"38",3114,"Accipiter erythrauchen","Accipitridae","Accipitriformes","AVIBASE-950C5048",0.352920538,191.2,154.8,156,"Forest",1,1,"Carnivore","Vertivore","Generalist",-3.91,2.65,-1.32,128.19,48150.32,1,0,1,1,1,1,0,1,0,0,0,0,1.153885313,-1.668444136,NA,NA,4.159541235,0.087311371,7.2,86,1,"Rufous-necked Sparrowhawk","epervier a gorge grise","Gavilan Moluqueno",0,0,0,0,0,0,0,0,2,0.49804751818148,0,0.622000381137512
"42",3128,"Accipiter gentilis","Accipitridae","Accipitriformes","AVIBASE-420850D6",1.135332945,337.6,241.1,866,"Forest",1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,1,1,0,1,0,1,1,1,1,0,0,0,2.867914215,4.823671696,0.096287065,3.5,7.483527603,0.77803906,28905.2,549198,1,"Northern Goshawk","Autour des palombes","Azor Comun",4639,20.8,6500,29.28,1431,6.45,4190,18.84333333,1,0.457722893345193,0,0.612473844327986
"44",3111,"Accipiter gularis","Accipitridae","Accipitriformes","AVIBASE-1E49FE52",0.200072212,162.6,106.4,120.7,"Forest",1,3,"Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,1,1,0,0,0,1,0,0,1,0,0,0,0.897337434,2.930616691,0.015572216,3.2,3.718795422,-0.004276049,659.7,12534,1,"Japanese Sparrowhawk","epervier du Japon","Gavilan Japones",1475,6.61,0,0,747,3.36,740.6666667,3.323333333,1,0.197704852733785,0,0.549265845593553
"46",3104,"Accipiter haplochrous","Accipitridae","Accipitriformes","AVIBASE-18B4CE02",0.54852364,227.8,155,198.4,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-22.4,-20.09,-21.33,165.48,16389.59,1,0,0,0,0,1,0,0,0,0,0,0,1.394314501,-2.746125543,-0.038237683,3,4.19131106,0.093913173,23.6,424,1,"New Caledonia Goshawk","Autour a ventre blanc","Gavilan de Nueva Caledonia",0,0,0,0,0,0,0,0,2,-0.0256872423143664,0,0.493578542509081
"47",3106,"Accipiter henicogrammus","Accipitridae","Accipitriformes","AVIBASE-9288286D",0.561350072,230.2,190,358.7,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-0.92,2.65,0.88,128.01,22781.85,1,0,1,1,1,1,0,1,0,0,0,0,1.986515691,-2.416807754,NA,NA,4.878903884,0.236795649,9.8,156,1,"Moluccan Goshawk","Autour des Moluques","Azor Moluqueno",0,0,0,0,0,0,0,0,2,0.941668312146897,0,0.719436525483544
"104",7589,"Acrocephalus kerearako","Acrocephalidae","Passeriformes","AVIBASE-87639F7A",-0.2787813,73,77,22.5,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-21.94,-19.76,-21.34,-157.87,69.45,1,1,0,0,0,0,0,0,0,0,1,0,-0.7824554,-8.20992,NA,NA,3.020809,-0.1493184,5.3,32,0,"Cook Islands Reed Warbler","Rousserolle des Cook","Carricero de Las Cook",0,0,0,0,0,0,0,0,2,1.97916482565905,0,0.878592103880429
"116",7572,"Acrocephalus rodericanus","Acrocephalidae","Passeriformes","AVIBASE-DDF77AB5",-0.3461201,60.4,74.4,11.8,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-19.72,-19.69,-19.7,63.44,2.73,1,1,0,0,0,1,1,0,0,0,1,0,-1.427871,-11.44623,NA,NA,2.886733,-0.1771794,4.5,68,1,"Rodrigues Warbler","Rousserolle de Rodrigues","Carricero de Rodrigues",0,0,0,0,0,0,0,0,2,3.95827376848785,0,0.981261776004029
"120",7571,"Acrocephalus sechellensis","Acrocephalidae","Passeriformes","AVIBASE-E0E4DFB8",-0.3172606,65.8,60.6,15.9,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-4.35,-4.21,-4.27,55.66,1.59,1,1,0,0,0,0,0,0,0,0,0,0,-1.129652,-11.98679,NA,NA,6.71533,0.6184069,11.8,225,0,"Seychelles Warbler","Rousserolle des Seychelles","Carricero de Seychelles",1035,4.64,0,0,0,0,345,1.546666667,2,2.57477325290443,0,0.929220276449085
"161",1096,"Aegotheles affinis","Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",0.045620583,133.7,115.4,60,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,1,0,0,0,0,1,0,0,0,0,0,0,0.198373868,-5.405892389,NA,NA,2.693657782,-0.217300675,7.8,31,0,"Vogelkop Owlet-nightjar","egothele affin","Egotelo Afin",0,0,0,0,0,0,0,0,0,0.533555387844648,0,0.630311967288635
"168",1098,"Aegotheles wallacii","Aegothelidae","Caprimulgiformes","AVIBASE-27853C12",-0.032941319,119,102.7,50.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-7.15,-0.51,-4.45,139.74,40086.3,1,1,0,0,0,1,0,0,0,0,0,0,0.029955217,-1.85173729,NA,NA,3.390013898,-0.072597178,6.5,72,0,"Wallace's Owlet-nightjar","egothele de Wallace","Egotelo de Wallace",0,0,0,0,0,0,0,0,1,0.712229623834739,0,0.670893637860413
"169",3018,"Aegypius monachus","Accipitridae","Accipitriformes","AVIBASE-158BDC90",3.254900982,734.2,371,9320.6,"Forest",2,1,"Scavenger","Scavenger","Terrestrial",25.27,54.37,41.63,87.87,7718571.19,1,0,0,1,1,1,1,1,0,0,1,1,5.244011589,3.408612626,-0.576336676,1,14.20684084,2.175150269,11235.3,213470,1,"Cinereous Vulture","Vautour moine","Buitre Negro",2704,12.13,3446,15.52,4976,22.41,3708.666667,16.68666667,2,0.0423352204754837,0,0.510582224648313
"192",1149,"Aerodramus whiteheadi","Apodidae","Caprimulgiformes","AVIBASE-239F660C",0.057912581,136,50,14,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,1,0,0,0,0,1,0,0,0,0,1,0,-1.256913364,-3.082854073,NA,NA,2.594486378,-0.237908592,4,8,0,"Whitehead's Swiftlet","Salangane de Whitehead","Salangana de Whitehead",0,0,0,0,0,0,0,0,0,-0.0376587673049485,0,0.490586420662124
"214",9607,"Aethopyga primigenia","Nectariniidae","Passeriformes","AVIBASE-C5403451",-0.3984947,50.6,34.5,7,"Forest",1,1,"Omnivore","Nectarivore","Insessorial",5.78,9.36,7.52,124.93,12041,1,0,0,0,0,1,0,1,0,0,1,0,-1.950061,-3.054454,NA,NA,1.93345,-0.3752727,27.9,503,0,"Gray-hooded Sunbird","Souimanga de Hachisuka","Suimanga de Hachisuka",0,0,0,0,0,0,0,0,1,0.170669498074359,0,0.542564107090095
"291",245,"Alectoris graeca","Phasianidae","Galliformes","AVIBASE-44437074",0.163196218,155.7,82.3,594.1,"Rock",3,1,"Herbivore","Herbivore terrestrial","Terrestrial",36.39,47.75,42.95,17.39,538497.96,1,1,1,0,0,1,0,0,0,0,1,0,2.491076961,0.746011788,2.114158288,11,2.147793261,-0.330731868,393.7,7481,0,"Rock Partridge","Perdrix bartavelle","Perdiz Griega",6468,29,2943,13.26,1793,8.08,3734.666667,16.78,2,1.37203899482033,0,0.797709384112094
"295",250,"Alectoris rufa","Phasianidae","Galliformes","AVIBASE-F71E0BE6",0.161058479,155.3,90.5,527.9,"Shrubland",3,1,"Herbivore","Herbivore terrestrial","Terrestrial",36,50.56,42.6,-1.02,953692.19,1,1,0,0,0,1,0,0,1,0,0,0,2.372936178,1.317569047,2.383207785,12,1.996759185,-0.3621169,10693.8,203183,0,"Red-legged Partridge","Perdrix rouge","Perdiz Roja",1907,8.55,7743,34.88,3566,16.06,4405.333333,19.83,2,0.708124699083405,0,0.669986654523303
"298",895,"Alectroenas sganzini","Columbidae","Columbiformes","AVIBASE-E396A643",0.208623168,164.2,93,158,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-13,-9.34,-11.87,44.12,2217,1,0,0,0,0,1,0,0,0,0,0,0,1.166624339,-4.74661699,NA,NA,5.240924596,0.312023914,6.4,102,0,"Comoro Blue-Pigeon","Founingo des Comores","Paloma Azul de Las Comoras",0,0,0,0,0,0,0,0,2,0.559435017010885,0,0.636321804044236
"344",4187,"Amazona barbadensis","Psittacidae","Psittaciformes","AVIBASE-CA4C6B17",0.485994779,216.1,133.6,270,"Shrubland",2,1,"Herbivore","Omnivore","Insessorial",9.96,12.39,11.17,-67.94,4372.04,1,1,1,1,0,1,0,0,0,0,0,0,1.702451265,-4.067542201,-0.011332734,3.1,9.640547248,1.226269898,116.8,2220,1,"Yellow-shouldered Parrot","Amazone a epaulettes jaunes","Amazona de Hombro Gualda",0,0,0,0,0,0,0,0,2,2.3723060329064,0,0.914690975691721
"345",4195,"Amazona brasiliensis","Psittacidae","Psittaciformes","AVIBASE-5A7AF4AE",0.46568626,212.3,118.2,430,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-25.96,-24.12,-25.12,-48.04,4747.02,1,0,1,0,1,1,1,0,0,0,0,0,2.167814515,-3.985254868,0.163549439,3.75,10.05753855,1.312921107,68.1,1294,1,"Red-tailed Parrot","Amazone a joues bleues","Amazona Colirroja",0,0,0,0,0,0,0,0,2,0.92074078823938,0,0.715193022362825
"354",4170,"Amazona leucocephala","Psittacidae","Psittaciformes","AVIBASE-8B2843E8",0.393537575,198.8,113.2,235.3,"Forest",2,1,"Herbivore","Omnivore","Insessorial",19.26,27.05,21.67,-78.72,31233.13,1,0,1,0,0,1,0,0,0,0,1,0,1.564890602,-2.10129253,0.163549439,3.75,9.377809676,1.171672768,483.5,9186,1,"Cuban Parrot","Amazone de Cuba","Amazona Cubana",0,0,0,0,0,0,0,0,2,0.698896334750205,0,0.667943029969542
"417",535,"Anas aucklandica","Anatidae","Anseriformes","AVIBASE-92C1E596",0.051499365,134.8,75.2,499.1,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",-50.88,-50.49,-50.76,166.1,42.5,0,1,0,0,0,0,0,0,0,0,0,0,2.316835783,-8.701023123,0.634386058,5.5,3.879399745,0.02909769,11.8,213,1,"Auckland Islands Teal","Sarcelle des Auckland","Cerceta de Auckland",0,0,0,0,0,0,0,0,2,0.557534670333359,0,0.635881918898785
"422",534,"Anas chlorotis","Anatidae","Anseriformes","AVIBASE-DF842C45",0.381780012,196.6,77.8,499.1,"Wetland",3,1,"Herbivore","Herbivore aquatic","Aquatic",-45.98,-35.11,-39.13,172.17,936.42,1,1,0,0,1,1,0,0,0,0,1,0,2.316835783,-5.608463106,0.634386058,5.5,5.028064487,0.267791371,234.5,4456,1,"Brown Teal","Sarcelle de Nouvelle-Zelande","Cerceta Maori",13741,61.62,0,0,0,0,4580.333333,20.54,2,3.00501849305849,0,0.952800331336181
"447",3605,"Andigena laminirostris","Ramphastidae","Piciformes","AVIBASE-2EF3405B",0.235344903,169.2,169.5,311,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-2.19,1.49,0.05,-78.57,14349.38,1,0,0,1,0,1,0,0,0,0,0,0,1.843822218,-2.879065185,-0.118952532,2.7,5.164781339,0.296201269,416.4,7912,0,"Plate-billed Mountain-Toucan","Toucan montagnard","Tucan Piquiplano",0,0,0,0,0,0,0,0,2,0.307602465063231,0,0.576299942435725
"468",3300,"Anorrhinus tickelli","Bucerotidae","Bucerotiformes","AVIBASE-8454CE68",0.96324497,305.4,289.6,792.6,"Forest",1,1,"Omnivore","Frugivore","Insessorial",9.58,18.35,14.82,98.75,160242.6,1,0,0,0,0,1,0,1,0,0,0,0,2.779347987,-0.466083003,0.257716763,4.1,5.916411124,0.45239069,37.7,716,1,"Rusty-cheeked Hornbill","Calao brun","Calao Pardo de Tickell",0,0,0,0,0,0,0,0,2,-0.029831839860971,0,0.492542593079454
"583",7421,"Apalis bamendae","Cisticolidae","Passeriformes","AVIBASE-C3B16DBB",-0.4011668,50.1,42.6,9.2,"Forest",2,1,"Carnivore","Invertivore","Insessorial",5.35,7.42,6.5,11.04,6480.95,1,0,0,0,0,1,0,0,0,0,1,0,-1.676767,-3.673905,NA,NA,2.452283,-0.2674585,5.4,97,0,"Bamenda Apalis","Apalis de Bamenda","Apalis de Bamenda",0,0,0,0,0,0,0,0,1,0.048884737598235,0,0.512218751216095
"607",8145,"Apalopteron familiare","Zosteropidae","Passeriformes","AVIBASE-DF8ECC87",-0.3092441,67.3,63.1,15,"Forest",1,1,"Herbivore","Frugivore","Insessorial",26.54,26.71,26.65,142.16,23.9,1,1,1,0,0,0,0,0,0,0,1,0,-1.18792,-9.276649,NA,NA,3.179608,-0.1163197,4.8,58,0,"Bonin White-eye","Zosterops des Bonin","Anteojitos de Las Bonin",0,0,0,0,0,0,0,0,2,2.58168393934811,0,0.929673445982515
"624",8791,"Aplonis crassa","Sturnidae","Passeriformes","AVIBASE-C193474D",-0.1307429,100.7,73.3,59,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-8.03,-7.1,-7.56,131.44,3445.48,1,0,0,0,0,1,0,0,0,0,0,0,0.1815667,-4.305709,NA,NA,3.403412,-0.06981294,7.8,93,0,"Tanimbar Starling","Stourne des Tanimbar","Estornino de Las Tanimbar",0,0,0,0,0,0,0,0,2,0.176987135312054,0,0.544131643984283
"626",8792,"Aplonis feadensis","Sturnidae","Passeriformes","AVIBASE-1DAF4FBC",-0.02866584,119.8,84,72,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-5.09,-1.32,-2.73,150.26,96.84,1,1,0,0,0,0,0,0,0,0,1,0,0.3806954,-7.877467,NA,NA,3.444288,-0.06131888,2.7,27,0,"Atoll Starling","Stourne des Fead","Estornino de Los Atolones",0,0,0,0,0,0,0,0,2,2.15746764856957,0,0.896364541385261
"641",4444,"Aprosmictus jonquillaceus","Psittacidae","Psittaciformes","AVIBASE-97DE42F3",0.274358636,176.5,160.5,119,"Woodland",2,1,"Herbivore","Omnivore","Insessorial",-10.94,-7.56,-9.16,125.13,28185.23,1,0,0,0,0,1,0,1,0,0,0,0,0.883152799,-2.203973839,NA,NA,4.815641616,0.223649686,1,2,1,"Olive-shouldered Parrot","Perruche jonquille","Papagayo de Timor",0,0,0,0,0,0,0,0,2,0.0626171544547158,0,0.515649175699566
"647",60,"Apteryx owenii","Apterygidae","Struthioniformes","AVIBASE-187706CF",-0.668384182,0.1,0.1,1238.3,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-41.29,-35.89,-39.53,174.89,35.17,0,1,0,0,0,0,0,0,0,0,0,0,3.225524056,-8.890333753,-0.482169352,1.35,8.82956697,1.057747386,47.7,906,0,"Little Spotted Kiwi","Kiwi d'Owen","Kiwi Moteado Menor",1945,8.72,0,0,0,0,648.3333333,2.906666667,2,0.656858756528181,0,0.658554399069888
"668",3050,"Aquila chrysaetos","Accipitridae","Accipitriformes","AVIBASE-5F8E7CA8",2.554257085,603.1,307.1,4248,"Grassland",3,2,"Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,1,1,0,1,1,1,0,0,1,0,1,0,4.458232869,5.040023945,-0.30728718,2,16.25526957,2.600815806,24122.5,458327,1,"Golden Eagle","Aigle royal","aguila Real",8886,39.85,9083,40.91,12937,58.27,10302,46.34333333,1,0.919995112742024,0,0.715041109887444
"715",189,"Arborophila crudigularis","Phasianidae","Galliformes","AVIBASE-CBDF02F0",0.064325797,137.2,52,256.8,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",22.55,25.16,23.89,121.17,22768.9,1,0,0,0,0,1,0,0,1,0,0,0,1.652326878,-2.417376351,1.024507828,6.95,2.721372566,-0.211541515,762.1,13718,0,"Taiwan Partridge","Torqueole de Formose","Arborofila de Formosa",511,2.29,0,0,0,0,170.3333333,0.763333333,1,0.369682436415947,0,0.591382241646983
"716",194,"Arborophila davidi","Phasianidae","Galliformes","AVIBASE-C033F5EF",0.025846499,130,49.3,241,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",11.13,12.41,11.87,107.3,4465.39,1,0,0,0,0,1,0,0,0,0,0,0,1.58882624,-4.046415364,NA,NA,4.569701947,0.172543177,10.9,185,0,"Orange-necked Partridge","Torqueole de David","Arborofila de David",591,2.65,0,0,0,0,197,0.883333333,2,0.438499171348695,0,0.607901355274755
"728",9388,"Arcanator orostruthus","Modulatricidae","Passeriformes","AVIBASE-D2E8BF1B",-0.2130458,85.3,70,32.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-16.34,-4.83,-9.81,36.55,6391.44,1,0,0,0,1,1,0,1,0,0,1,0,-0.4085956,-3.687812,NA,NA,3.090404,-0.1348563,5.8,52,0,"Dapple-throat","Modulatrice grivelee","Tordina Manchada",0,0,0,0,0,0,0,0,2,0.751011288156408,0,0.679399013861842
"750",1929,"Ardeotis australis","Otididae","Otidiformes","AVIBASE-5D1DFB96",2.497607006,592.5,304,4182.4,"Grassland",3,1,"Omnivore","Omnivore","Terrestrial",-38.04,-6.56,-24.05,133.41,6717248.95,1,1,0,0,0,1,1,1,1,0,0,0,4.44266983,3.269662047,-0.427014206,1.555,10.83313608,1.474091049,815.2,15488,1,"Australian Bustard","Outarde d'Australie","Avutarda Australiana",3173,14.23,0,0,0,0,1057.666667,4.743333333,1,0.976695844348599,0,0.726452107889974
"769",10340,"Arremon basilicus","Passerellidae","Passeriformes","AVIBASE-61060774",-0.2386987,80.5,85.7,42,"Forest",1,1,"Omnivore","Omnivore","Generalist",10.26,11.19,10.73,-73.58,8179.69,1,0,0,0,0,1,0,0,1,0,0,0,-0.1583011,-3.441118,-0.3072872,2,2.534393,-0.250396,142.1,2700,0,"Sierra Nevada Brushfinch","Tohi de Bangs","Cerquero de Bangs",0,0,0,0,0,0,0,0,2,0.254299635489672,0,0.563234503250799
"814",2876,"Asio capensis","Strigidae","Strigiformes","AVIBASE-83E21A84",0.844600466,283.2,140.8,334,"Grassland",3,1,"Carnivore","Vertivore","Generalist",-34.84,35.93,-10.23,28.65,7302556.68,1,1,0,0,1,1,0,1,1,0,1,1,1.915170299,3.353207876,-0.105500057,2.75,6.005187726,0.470838556,119.9,2279,1,"Marsh Owl","Hibou du Cap","Buho Moro",3308,14.83,0,0,0,0,1102.666667,4.943333333,1,0.860381825223357,0,0.702740422403192
"815",2875,"Asio flammeus","Strigidae","Strigiformes","AVIBASE-8F123A11",0.919421324,297.2,146.5,322.6,"Grassland",3,3,"Carnivore","Vertivore","Aerial",-55.05,74.25,49.62,11.33,39874062.36,1,1,1,1,1,1,0,1,1,0,1,0,1.880442472,5.050709405,0.768910806,6,3.982087093,0.050436223,14700.1,279302,1,"Short-eared Owl","Hibou des marais","Buho Campestre",2850,12.78,1949,8.78,1671,7.53,2156.666667,9.696666667,1,1.21641609761264,0,0.771432234289747
"817",2871,"Asio otus","Strigidae","Strigiformes","AVIBASE-FC4D40D2",0.831239598,280.7,137,296.6,"Forest",2,2,"Carnivore","Vertivore","Aerial",27.64,70.53,50.73,26.52,27618929.92,1,1,1,0,1,1,0,0,1,0,0,0,1.796413736,4.683484763,0.365336561,4.5,4.927442511,0.246882024,13004.4,247083,1,"Long-eared Owl","Hibou moyen-duc","Buho Chico",0,0,1330,5.99,3708,16.7,1679.333333,7.563333333,1,0.0325472182645867,0,0.508136086351283
