,Spanish.name
1,Avestruz Comun
2,Avestruz Somali
3,nandu Comun
4,nandu Petiso
6,Tinamu Cabecirrojo
7,Tinamu Serrano
8,Tinamu Cabecinegro
9,Tinamu Tao
10,Tinamu Macuco
11,Tinamu Negro
12,Tinamu Olivaceo
13,Tinamu Moteado
14,Tinamu Tizon
15,Tinamu Sombrio
16,Tinamu de Tepuy
17,Tinamu Chico
18,Tinamu Cafe
19,Tinamu Ondeado
20,Tinamu Brasileno
21,Tinamu Patigris
22,Tinamu Patirrojo
23,Tinamu Patigualdo
24,Tinamu Capirotado
26,Tinamu Canelo
27,Tinamu Cejudo
28,Tinamu Pizarroso
29,Tinamu del Choco
30,Tinamu Abigarrado
31,Tinamu Herrumbroso
32,Tinamu de Bartlett
33,Tinamu del Casiquiare
34,Tinamu Piquicorto
35,Tinamu Tataupa
36,Tinamu Alirrojo
37,Tinamu Huayco
38,Tinamu de Taczanowski
39,Tinamu Pisacca
40,Tinamu Chileno
41,Tinamu Montaraz
42,Tinamu Andino
43,Tinamu del Paramo
44,Tinamu Ventriblanco
45,Tinamu Menor
46,Tinamu de Darwin
47,Tinamu Manchado
48,Tinamu Enano
49,Martineta Comun
50,Martineta Chaquena
51,Kiula Andina
52,Kiula Patagona
53,Casuario Comun
54,Casuario Menor
55,Casuario Unicarunculado
56,Emu
57,Kiwi Moteado Mayor
58,Kiwi Moteado Menor
59,Kiwi Norteno
60,Kiwi Sureno
61,Kiwi de Okarito
62,Talegalo Cabecirrojo
63,Talegalo Carunculado
64,Talegalo de Waigeo
65,Talegalo de Cuvier
66,Talegalo Piquinegro
67,Talegalo Patirrojo
68,Talegalo Leipoa
69,Talegalo Maleo
70,Talegalo de Wallace
71,Talegalo de Nicobar
72,Talegalo Filipino
73,Talegalo de Sula
74,Talegalo de Tanimbar
75,Talegalo de Nuevas Hebridas
76,Talegalo de Las Marianas
77,Talegalo de Tonga
78,Talegalo de Freycinet
79,Talegalo de Biak
80,Talegalo Papu
81,Talegalo Eremita
82,Talegalo de Reinwardt
83,Pava Negra
84,Pava Falcialar
85,Pava Pajuil
86,Pava Camata
87,Pava Barbuda
88,Pava de Orton
89,Pava Andina
90,Pava Marail
91,Pava Yacupemba
92,Pava Carirroja
93,Pava Amazonica
94,Pava Cojolita
95,Pava del Cauca
96,Pava Aliblanca
97,Pava Oscura
98,Pava Crestiblanca
99,Pava Ventrirrufa
100,Pava Yacucaca
101,Pava de Trinidad
102,Pava Goliazul
104,Pava Cuyubi
105,Pava Yacutinga
106,Pava Aburria
107,Pavon Cornudo
108,Chachalaca Nortena
109,Chachalaca Cabecigris
110,Chachalaca Alirroja
111,Chachalaca Culirroja
112,Chachalaca Cabecirrufa
113,Chachalaca Ventricastana
114,Chachalaca Pechigris
115,Chachalaca Charata
116,Chachalaca Ventriblanca
117,Chachalaca Colombiana
118,Chachalaca Moteada
119,Chachalaca Oriental
120,Chachalaca Escamosa
121,Chachalaca Guayanesa
122,Chachalaca Cejuda
123,Pauji Nocturno
124,Pavon Norteno
125,Pavon Piquiazul
126,Pavon Poru
127,Pavon Guayanes
128,Pavon Muitu
130,Pavon Carunculado
131,Pavon Piquirrojo
132,Pauji Culicastano
133,Pauji de Alagoas
134,Pauji Tuberoso
135,Pauji Culiblanco
136,Pauji Unicornio Boliviano
137,Pauji Unicornio Peruano
138,Pauji de Yelmo
139,Pintada Comun
140,Pintada Pechiblanca
141,Pintada Negra
142,Pintada Vulturina
143,Pintada Plumifera
145,Pintada Monuda Oriental
147,Gallinita Roquera
148,Gallinita de Nahan
149,Colin Bandeado
150,Colin Serrano
151,Colin de Virginia
152,Colin Gorjinegro
154,Colin Crestudo
155,Colin Escamado
156,Colin Elegante
157,Colin de Gambel
158,Colin de California
159,Colin Barbudo
160,Colin Rabudo
161,Colin Cariclaro
162,Corcovado Comun
163,Corcovado Uru
164,Corcovado Orejinegro
165,Corcovado Frentirrojo
166,Corcovado Carinegro
167,Corcovado Castano
168,Corcovado Dorsioscuro
169,Corcovado Pechirrufo
170,Corcovado del Tacarcuna
171,Corcovado Gorjiblanco
172,Corcovado Venezolano
173,Corcovado Pechinegro
174,Corcovado Enmascarado
175,Corcovado Estrellado
176,Corcovado Goteado
177,Colin Carirrufo
178,Colin Cantor
179,Colin de Moctezuma
181,Colin Ocelado
182,Perdiz de Las Udzungwa
183,Perdiz Rulrul
184,Arborofila Comun
185,Arborofila Golirrufa
186,Arborofila Cariblanca
187,Arborofila de Formosa
188,Arborofila Pechirroja
189,Arborofila Pechiparda
190,Arborofila de Sichuan
191,Arborofila de Fujian
192,Arborofila de David
193,Arborofila de Camboya
194,Arborofila de Malasia
195,Arborofila Batak
196,Arborofila de Sumatra
197,Arborofila Oriental
198,Arborofila de Java
199,Arborofila Piquirroja
200,Arborofila de Borneo
201,Arborofila de Hainan
202,Perdiz Piquilarga
203,Perdiz del Dulit
204,Perdiz Negra
205,Perdicilla Cabecirroja
206,Perdicilla Herrumbrosa
207,Faisancillo Rojo
208,Faisancillo Moteado
209,Faisancillo de Ceilan
210,Pavo Real del Congo
211,Pavo Real Comun
212,Pavo Real Cuelliverde
213,Argos Real
214,Argos Vietnamita
215,Espolonero de Palawan
216,Espolonero Malayo
217,Espolonero de Borneo
218,Espolonero de Germain
219,Espolonero de Hainan
220,Espolonero Chinquis
221,Espolonero de Rothschild
222,Espolonero Colibronceado
223,Perdiz Malgache
224,Codorniz Comun
225,Codorniz Japonesa
226,Codorniz Coromandelica
227,Codorniz Arlequin
228,Codorniz Pectoral
229,Codorniz de Tasmania
230,Codorniz China
231,Codorniz Africana
233,Perdigallo Caucasiano
234,Perdigallo del Caspio
235,Perdigallo Himalayo
236,Perdigallo Tibetano
237,Perdigallo Altaico
238,Perdiz Griega
239,Perdiz Chucar
240,Perdiz Magna
241,Perdiz Gorjinegra
242,Perdiz Moruna
243,Perdiz Roja
244,Perdiz arabe
245,Perdiz Lerwa
246,Perdiz Gorjigris
247,Perdiz Desertica
248,Perdicilla Golirroja
249,Perdicilla Argunda
250,Perdicilla Piquirroja
251,Perdicilla de Manipur
252,Perdicilla Himalaya
253,Francolin de Hartlaub
254,Francolin Biespolado
255,Francolin Piquigualdo
256,Francolin de Clapperton
257,Francolin de Harwood
258,Francolin Piquirrojo
259,Francolin de El Cabo
260,Francolin de Natal
