threatened,masscentr,rangecentr,Migration,agriculture,climate_change,invasive,resource_use
0,-3.090812097,-0.81100576,2,0,1,0,0
1,-2.304574494,2.62282561,1,1,0,0,1
0,-3.508547298,-0.40293502,1,1,0,0,1
0,-3.585508339,1.19714718,1,1,0,0,0
1,-3.508547298,-6.840995389,1,1,0,0,0
1,-2.555888922,-1.033815089,1,1,0,0,1
0,-3.626330334,3.17405081,1,1,0,0,0
1,-3.249036103,-2.951568547,1,1,1,0,1
0,-3.585508339,-2.841048151,1,1,0,0,0
1,-3.472179654,-0.67252893,1,1,0,0,1
0,-2.14094507,2.68607668,1,1,1,0,1
0,-2.085885293,-0.980406,1,0,0,1,1
1,-1.017486783,2.92243939,1,1,1,0,0
1,-3.80865189,-2.430793315,1,1,1,1,1
0,-3.546287626,-4.625438739,1,0,1,0,0
1,-2.261089382,-7.105483176,1,1,0,0,1
1,-3.403186782,-3.335996807,1,1,0,0,1
1,-1.274955076,-9.868579311,1,0,0,1,0
1,-2.304574494,-2.957836252,3,0,1,1,1
1,-1.914035036,-7.447006052,1,1,1,0,0
1,-3.166798004,-1.232476415,1,1,0,0,0
0,-3.403186782,-0.55334551,1,1,0,0,0
0,-3.403186782,1.29791447,1,1,0,0,1
0,-1.79374887,-3.070535083,1,1,0,0,1
0,-3.278023639,-3.270318502,1,0,1,0,0
0,-1.516117133,4.44778745,3,0,1,0,0
1,-3.585508339,-3.141003698,1,1,0,1,0
0,-2.094853963,3.1004444,1,1,1,1,1
1,-2.199213978,-8.714676559,1,1,1,1,0
0,-2.304574494,-0.25700914,1,0,1,0,1
0,-1.877130479,0.70678061,1,1,1,1,1
0,-2.304574494,-4.114432914,1,1,1,0,1
0,-1.827650422,-4.309553791,1,0,0,0,1
0,-2.14094507,-6.101626888,1,0,1,0,0
1,-3.140822518,-3.40724438,1,1,1,0,0
1,-2.199213978,-8.091789207,1,1,1,0,1
0,-2.150423814,-1.095996029,1,0,1,0,0
0,-1.841539534,0.46152052,1,0,1,0,0
0,-2.527718045,1.45401156,3,1,0,0,1
0,-1.906544364,-3.058043786,1,1,1,0,1
0,-2.315747794,-1.001885064,1,1,0,0,1
0,-2.085885293,-0.03313222,1,0,1,0,0
0,-2.629996894,2.18085038,1,1,0,0,0
0,-2.447675337,-5.910279449,1,0,0,1,0
0,-0.595794138,4.91386436,3,0,0,0,1
1,-2.710039602,-4.494647632,1,1,0,0,1
0,-2.14094507,-4.718159605,1,0,1,0,0
0,-2.14094507,-4.30352443,1,0,0,0,1
1,-2.14094507,-5.839152325,1,1,0,0,1
0,-3.090812097,-2.860340506,1,1,0,0,0
1,-2.14094507,-7.256459637,1,1,1,0,1
1,-3.220865226,-2.651733236,1,1,0,0,0
1,-2.113036282,-5.815783752,1,0,0,0,0
0,-2.14094507,-6.231707401,1,0,1,1,0
0,-2.14094507,-6.231707401,1,0,1,1,0
0,-1.780503643,3.26328792,1,1,0,1,0
0,-0.066231669,3.37702671,2,0,0,0,0
0,-1.834570864,2.84691344,1,0,1,0,0
0,-2.094853963,-3.940940361,1,0,1,0,0
0,-1.63959819,-2.434076992,1,0,0,0,1
0,-1.94457176,-4.764208955,1,1,0,0,0
1,-1.891729278,-4.297501697,1,1,0,0,1
1,-0.400809966,2.41513499,2,1,0,0,0
1,-2.14094507,-4.559391015,1,1,1,1,0
1,-2.997721674,-7.027417702,1,1,0,0,0
0,-2.933183153,-2.531523804,1,1,0,1,1
0,-2.397664917,1.72974159,3,0,1,0,0
0,-2.555888922,-1.420295938,1,1,1,0,1
0,0.729309546,3.54136738,1,1,0,0,1
0,0.953522044,-2.097404338,1,1,0,0,1
0,0.953522044,-1.762178182,1,1,0,0,1
1,0.931922933,-6.659362387,1,1,1,1,1
1,-2.250507272,-1.32842842,1,1,1,0,1
0,-2.373567365,0.46028984,1,1,0,0,1
0,-0.662346758,5.12856157,3,0,1,0,0
1,-1.800437858,0.80800501,3,1,1,0,1
1,-1.79374887,-3.090972449,1,1,0,1,1
1,-3.140822518,-2.788265744,1,0,0,0,1
0,-2.541704287,-1.897809467,1,1,0,0,1
1,-1.144901948,-2.644147778,1,1,0,1,1
1,-1.263120619,3.03526509,3,1,1,1,0
0,-2.016892421,-4.138404025,1,1,0,0,1
0,-2.350036868,4.85269905,1,0,0,0,1
0,-2.016892421,-0.4645143,1,0,1,0,0
0,-1.37066216,-3.760590056,1,0,1,0,0
0,-2.385543556,-3.760590056,1,0,1,0,0
0,-2.527718045,-3.200390463,1,0,0,0,0
0,-2.385543556,-2.20761965,1,0,0,0,0
1,-2.338476045,-4.964482372,1,1,0,0,1
0,-2.797050979,-0.70850216,1,1,0,0,1
0,-2.271784671,0.69601331,3,1,0,1,0
0,-3.11550471,-0.86724501,1,1,1,0,0
0,-2.338476045,3.25986065,3,0,0,0,1
0,-2.113036282,2.42807349,3,0,1,0,0
0,-2.113036282,1.75051238,3,0,1,0,0
1,-2.122252937,-2.98181015,1,1,0,0,1
1,-2.122252937,-4.992731274,1,1,0,0,1
1,-2.361732908,-1.848404404,1,1,1,0,1
0,-2.304574494,3.61387523,3,1,0,1,1
0,-3.090812097,0.40844326,1,0,1,0,0
0,-2.677249779,4.2856692,2,1,0,0,0
1,-2.6935103,3.74174545,2,1,0,0,0
1,-2.304574494,-3.622983463,1,1,0,0,1
0,-1.914035036,-2.230603269,1,0,1,0,0
0,-2.48689605,-0.12582318,1,0,0,0,0
0,-0.143809014,4.99047749,1,1,0,0,1
1,-2.892361159,-2.484599483,1,1,0,0,0
0,-2.113036282,-3.938639743,1,0,1,0,0
