"","Var1","Freq"
"1","Aburria aburri",6
"2","Acanthidops bairdi",1
"3","Acanthis flammea",1
"4","Acanthiza inornata",1
"5","Acanthiza katherina",1
"6","Acanthiza lineata",1
"7","Acanthiza pusilla",1
"8","Acanthorhynchus superciliosus",1
"9","Acanthorhynchus tenuirostris",1
"10","Accipiter badius",10
"11","Accipiter brachyurus",5
"12","Accipiter brevipes",5
"13","Accipiter butleri",13
"14","Accipiter collaris",2
"15","Accipiter erythrauchen",12
"16","Accipiter gentilis",15
"17","Accipiter gularis",10
"18","Accipiter gundlachi",12
"19","Accipiter haplochrous",6
"20","Accipiter henicogrammus",14
"21","Accipiter henstii",4
"22","Accipiter imitator",10
"23","Accipiter luteoschistaceus",8
"24","Accipiter madagascariensis",4
"25","Accipiter nanus",2
"26","Accipiter nisus",11
"27","Accipiter ovampensis",2
"28","Accipiter poliogaster",4
"29","Accipiter princeps",11
"30","Accipiter soloensis",9
"31","Accipiter virgatus",2
"32","Aceros nipalensis",8
"33","Acridotheres cinereus",2
"34","Acridotheres javanicus",4
"35","Acridotheres melanopterus",4
"36","Acrobatornis fonsecai",6
"37","Acrocephalus aequinoctialis",14
"38","Acrocephalus astrolabii",2
"39","Acrocephalus atyphus",1
"40","Acrocephalus brevipennis",15
"41","Acrocephalus caffer",16
"42","Acrocephalus familiaris",17
"43","Acrocephalus griseldis",13
"44","Acrocephalus hiwae",17
"45","Acrocephalus kerearako",13
"46","Acrocephalus longirostris",16
"47","Acrocephalus luscinius",20
"48","Acrocephalus melanopogon",4
"49","Acrocephalus musae",16
"50","Acrocephalus nijoi",21
"51","Acrocephalus orinus",8
"52","Acrocephalus paludicola",7
"53","Acrocephalus rehsei",5
"54","Acrocephalus rimitarae",12
"55","Acrocephalus rodericanus",16
"56","Acrocephalus sechellensis",10
"57","Acrocephalus sorghophilus",14
"58","Acrocephalus taiti",11
"59","Acrocephalus tangorum",17
"60","Acrocephalus vaughani",12
"61","Acrocephalus yamashinae",15
"62","Actenoides bougainvillei",12
"63","Actenoides capucinus",18
"64","Actenoides concretus",17
"65","Actenoides excelsus",14
"66","Actenoides hombroni",17
"67","Actenoides monachus",18
"68","Actenoides princeps",7
"69","Actenoides regalis",7
"70","Actinodura sodangorum",3
"71","Actitis hypoleucos",1
"72","Actophilornis albinucha",10
"73","Aegithina viridissima",11
"74","Aegolius funereus",10
"75","Aegolius gradyi",3
"76","Aegotheles affinis",4
"77","Aegotheles savesi",9
"78","Aegotheles tatei",2
"79","Aegotheles wallacii",6
"80","Aegypius monachus",13
"81","Aepypodius bruijnii",12
"82","Aerodramus bartschi",11
"83","Aerodramus elaphrus",14
"84","Aerodramus francicus",8
"85","Aerodramus orientalis",1
"86","Aerodramus sawtelli",5
"87","Aerodramus vulcanorum",6
"88","Aerodramus whiteheadi",5
"89","Aethia cristatella",9
"90","Aethia psittacula",15
"91","Aethia pusilla",5
"92","Aethia pygmaea",2
"93","Aethopyga boltoni",4
"94","Aethopyga duyvenbodei",8
"95","Aethopyga linaraborae",1
"96","Aethopyga primigenia",7
"97","Afropavo congensis",8
"98","Afrotis afra",6
"99","Agamia agami",6
"100","Agapornis fischeri",3
"101","Agapornis lilianae",8
"102","Agapornis nigrigenis",16
"103","Agelaius tricolor",12
"104","Agelaius xanthomus",19
"105","Agelastes meleagrides",7
"106","Aglaeactis aliciae",7
"107","Aglaeactis castelnaudii",4
"108","Aglaiocercus berlepschi",4
"109","Agriornis albicauda",7
"110","Ailuroedus crassirostris",1
