"","species"
"1","Accipiter albogularis"
"2","Accipiter bicolor"
"3","Accipiter castanilius"
"4","Accipiter cirrocephalus"
"5","Accipiter cooperii"
"6","Accipiter erythropus"
"7","Accipiter fasciatus"
"8","Accipiter francesiae"
"9","Accipiter griseiceps"
"10","Accipiter hiogaster"
"11","Accipiter melanochlamys"
"12","Accipiter melanoleucus"
"13","Accipiter meyerianus"
"14","Accipiter minullus"
"15","Accipiter novaehollandiae"
"16","Accipiter poliocephalus"
"17","Accipiter rhodogaster"
"18","Accipiter rufitorques"
"19","Accipiter rufiventris"
"20","Accipiter striatus"
"21","Accipiter superciliosus"
"22","Accipiter sylvestris"
"23","Accipiter tachiro"
"24","Accipiter toussenelii"
"25","Accipiter trinotatus"
"26","Accipiter trivirgatus"
"27","Aquila africana"
"28","Aquila audax"
"29","Aquila fasciata"
"30","Aquila spilogaster"
"31","Aquila verreauxii"
"32","Aviceda madagascariensis"
"33","Aviceda subcristata"
"34","Busarellus nigricollis"
"35","Butastur liventer"
"36","Butastur teesa"
"37","Buteo albigula"
"38","Buteo albonotatus"
"39","Buteo augur"
"40","Buteo brachypterus"
"41","Buteo brachyurus"
"42","Buteo jamaicensis"
"43","Buteo lineatus"
"44","Buteo nitidus"
"45","Buteo plagiatus"
"46","Buteo platypterus"
"47","Buteo refectus"
"48","Buteo swainsoni"
"49","Buteogallus anthracinus"
"50","Buteogallus meridionalis"
"51","Buteogallus schistaceus"
"52","Buteogallus urubitinga"
"53","Circaetus cinerascens"
"54","Circus approximans"
"55","Circus assimilis"
"56","Circus buffoni"
"57","Circus cinereus"
"58","Circus hudsonius"
"59","Circus ranivorus"
"60","Circus spilothorax"
"61","Dryotriorchis spectabilis"
"62","Elanoides forficatus"
"63","Elanus leucurus"
"64","Gampsonyx swainsonii"
"65","Geranoaetus albicaudatus"
"66","Geranoaetus melanoleucus"
"67","Geranoaetus polyosoma"
"68","Geranospiza caerulescens"
"69","Gypohierax angolensis"
"70","Haliaeetus leucocephalus"
"71","Haliastur indus"
"72","Haliastur sphenurus"
"73","Hamirostra melanosternon"
"74","Harpagus bidentatus"
"75","Harpagus diodon"
"76","Helicolestes hamatus"
"77","Henicopernis longicauda"
"78","Hieraaetus morphnoides"
"79","Hieraaetus weiskei"
"80","Ictinaetus malaiensis"
"81","Ictinia mississippiensis"
"82","Ictinia plumbea"
"83","Kaupifalco monogrammicus"
"84","Leptodon cayanensis"
"85","Leucopternis kuhli"
"86","Leucopternis melanops"
"87","Leucopternis semiplumbeus"
"88","Lophaetus occipitalis"
"89","Lophoictinia isura"
"90","Macheiramphus alcinus"
"91","Melierax canorus"
"92","Melierax metabates"
"93","Melierax poliopterus"
"94","Micronisus gabar"
"95","Morphnarchus princeps"
"96","Nisaetus alboniger"
"97","Nisaetus cirrhatus"
"98","Nisaetus lanceolatus"
"99","Parabuteo leucorrhous"
"100","Parabuteo unicinctus"
"101","Pernis celebensis"
"102","Pernis steerei"
"103","Polyboroides radiatus"
"104","Polyboroides typus"
"105","Pseudastur albicollis"
"106","Rostrhamus sociabilis"
"107","Rupornis magnirostris"
"108","Spilornis cheela"
"109","Spilornis holospilus"
"110","Spilornis rufipectus"
"111","Spizaetus melanoleucus"
"112","Spizaetus tyrannus"
"113","Urotriorchis macrourus"
"114","Aix galericulata"
"115","Aix sponsa"
"116","Alopochen aegyptiaca"
"117","Amazonetta brasiliensis"
"118","Anas acuta"
"119","Anas andium"
"120","Anas bahamensis"
"121","Anas carolinensis"
"122","Anas castanea"
"123","Anas crecca"
"124","Anas flavirostris"
"125","Anas fulvigula"
"126","Anas georgica"
"127","Anas gracilis"
"128","Anas platyrhynchos"
"129","Anas poecilorhyncha"
"130","Anas rubripes"
"131","Anas superciliosa"
"132","Anas zonorhyncha"
"133","Anser anser"
"134","Anser indicus"
"135","Aythya affinis"
"136","Aythya americana"
"137","Aythya australis"
"138","Aythya collaris"
"139","Aythya fuligula"
"140","Aythya novaeseelandiae"
"141","Aythya valisineria"
"142","Branta hutchinsii"
"143","Bucephala albeola"
"144","Cairina moschata"
"145","Callonetta leucophrys"
"146","Cereopsis novaehollandiae"
"147","Chenonetta jubata"
"148","Chloephaga hybrida"
"149","Chloephaga melanoptera"
"150","Chloephaga picta"
"151","Chloephaga poliocephala"
"152","Coscoroba coscoroba"
"153","Cygnus atratus"
"154","Cygnus melancoryphus"
"155","Cygnus olor"
"156","Dendrocygna autumnalis"
"157","Dendrocygna guttata"
"158","Dendrocygna javanica"
"159","Dendrocygna viduata"
"160","Heteronetta atricapilla"
"161","Lophodytes cucullatus"
"162","Lophonetta specularioides"
"163","Malacorhynchus membranaceus"
"164","Mareca americana"
"165","Mareca sibilatrix"
"166","Mareca strepera"
"167","Merganetta armata"
"168","Netta peposaca"
"169","Netta rufina"
"170","Nettapus auritus"
"171","Nettapus coromandelianus"
"172","Nettapus pulchellus"
"173","Nomonyx dominicus"
"174","Oxyura ferruginea"
"175","Oxyura jamaicensis"
"176","Oxyura vittata"
"177","Plectropterus gambensis"
"178","Spatula discors"
"179","Spatula platalea"
"180","Spatula puna"
"181","Spatula rhynchotis"
"182","Spatula versicolor"
"183","Stictonetta naevosa"
"184","Tadorna tadorna"
"185","Tadorna tadornoides"
"186","Tadorna variegata"
"187","Thalassornis leuconotus"
"188","Anhima cornuta"
"189","Chauna torquata"
"190","Bycanistes albotibialis"
"191","Bycanistes brevis"
"192","Bycanistes bucinator"
"193","Bycanistes fistulator"
"194","Bycanistes sharpii"
"195","Bycanistes subcylindricus"
"196","Ceratogymna atrata"
"197","Horizocerus albocristatus"
"198","Horizocerus cassini"
"199","Horizocerus granti"
"200","Horizocerus hartlaubi"
"201","Lophoceros alboterminatus"
"202","Lophoceros bradfieldi"
"203","Lophoceros camurus"
"204","Lophoceros fasciatus"
"205","Lophoceros hemprichii"
"206","Lophoceros nasutus"
"207","Lophoceros pallidirostris"
"208","Lophoceros semifasciatus"
"209","Ocyceros gingalensis"
"210","Penelopides affinis"
"211","Rhyticeros plicatus"
"212","Tockus damarensis"
"213","Tockus deckeni"
"214","Tockus erythrorhynchus"
"215","Tockus flavirostris"
"216","Tockus jacksoni"
"217","Tockus leucomelas"
"218","Tockus monteiri"
"219","Phoeniculus bollei"
"220","Phoeniculus purpureus"
"221","Phoeniculus somaliensis"
"222","Rhinopomastus aterrimus"
"223","Rhinopomastus castaneiceps"
"224","Rhinopomastus cyanomelas"
"225","Rhinopomastus minor"
"226","Upupa marginata"
"227","Aegotheles albertisi"
"228","Aegotheles archboldi"
"229","Aegotheles bennettii"
"230","Aegotheles crinifrons"
"231","Aegotheles cristatus"
"232","Aegotheles insignis"
"233","Aerodramus brevirostris"
"234","Aerodramus fuciphagus"
"235","Aerodramus hirundinaceus"
"236","Aerodramus infuscatus"
"237","Aerodramus inquietus"
"238","Aerodramus leucophaeus"
"239","Aerodramus maximus"
"240","Aerodramus mearnsi"
"241","Aerodramus nuditarsus"
"242","Aerodramus papuensis"
"243","Aerodramus pelewensis"
"244","Aerodramus salangana"
"245","Aerodramus spodiopygius"
"246","Aerodramus terraereginae"
"247","Aerodramus unicolor"
"248","Aerodramus vanikorensis"
"249","Aeronautes andecolus"
"250","Aeronautes montivagus"
"251","Aeronautes saxatalis"
"252","Apus affinis"
"253","Apus alexandri"
"254","Apus apus"
"255","Apus balstoni"
"256","Apus barbatus"
"257","Apus batesi"
"258","Apus berliozi"
"259","Apus bradfieldi"
"260","Apus caffer"
"261","Apus horus"
"262","Apus niansae"
"263","Apus nipalensis"
"264","Apus pacificus"
"265","Apus pallidus"
"266","Apus unicolor"
"267","Chaetura brachyura"
"268","Chaetura chapmani"
"269","Chaetura cinereiventris"
"270","Chaetura egregia"
"271","Chaetura fumosa"
"272","Chaetura martinica"
"273","Chaetura meridionalis"
