"","x"
"1","Stresemann's Bristlefront"
"2","Ash-colored Tapaculo"
"3","Ochre-flanked Tapaculo"
"4","Tatamá Tapaculo"
"5","Blackish Tapaculo"
"6","Junin Tapaculo"
"7","Unicolored Tapaculo"
"8","Trilling Tapaculo"
"9","Rock Tapaculo"
"10","Diamantina Tapaculo"
"11","Brasilia Tapaculo"
"12","Planalto Tapaculo"
"13","Mouse-colored Tapaculo"
"14","Boa Nova Tapaculo"
"15","Marsh Tapaculo"
"16","Large-footed Tapaculo"
"17","Santa Marta Tapaculo"
"18","Long-tailed Tapaculo"
"19","Rufous-vented Tapaculo"
"20","White-crowned Tapaculo"
"21","Bolivian Tapaculo"
"22","Silvery-fronted Tapaculo"
"23","Tacarcuna Tapaculo"
"24","Choco Tapaculo"
"25","Magdalena Tapaculo"
"26","Stiles's Tapaculo"
"27","Ecuadorian Tapaculo"
"28","Narino Tapaculo"
"29","Brown-rumped Tapaculo"
"30","Merida Tapaculo"
"31","Perija Tapaculo"
"32","Caracas Tapaculo"
"33","Spillmann's Tapaculo"
"34","Chusquea Tapaculo"
"35","Magellanic Tapaculo"
"36","Pale-bellied Tapaculo"
"37","Neblina Tapaculo"
"38","Ancash Tapaculo"
"39","Vilcabamba Tapaculo"
"40","Puna Tapaculo"
"41","Zimmer's Tapaculo"
"42","Tschudi's Tapaculo"
"43","White-browed Tapaculo"
"44","Dusky Tapaculo"
"45","Paramo Tapaculo"
"46","Paramillo Tapaculo"
"47","Diademed Tapaculo"
"48","Rufous-capped Antthrush"
"49","Mayan Antthrush"
"50","Black-faced Antthrush"
"51","Rufous-fronted Antthrush"
"52","Black-headed Antthrush"
"53","Rufous-breasted Antthrush"
"54","Short-tailed Antthrush"
"55","Striated Antthrush"
"56","Cryptic Antthrush"
"57","Scalloped Antthrush"
"58","Rufous-tailed Antthrush"
"59","Barred Antthrush"
"60","Tawny-throated Leaftosser"
"61","Short-billed Leaftosser"
"62","Scaly-throated Leaftosser"
"63","Black-tailed Leaftosser"
"64","Grey-throated Leaftosser"
"65","Rufous-breasted Leaftosser"
"66","Ceara Leaftosser"
"67","Coastal Miner"
"68","Slender-billed Miner"
"69","Common Miner"
"70","Puna Miner"
"71","Campo Miner"
"72","Thick-billed Miner"
"73","Rufous-banded Miner"
"74","Greyish Miner"
"75","Short-billed Miner"
"76","Dark-winged Miner"
"77","Creamy-rumped Miner"
"78","Spot-throated Woodcreeper"
"79","Little Long-tailed Woodcreeper"
"80","Northern Long-tailed Woodcreeper"
"81","Southern Long-tailed Woodcreeper"
"82","Western Olivaceous Woodcreeper"
"83","Eastern Olivaceous Woodcreeper"
"84","Tyrannine Woodcreeper"
"85","White-chinned Woodcreeper"
"86","Ruddy Woodcreeper"
"87","Tawny-winged Woodcreeper"
"88","Plain-brown Woodcreeper"
"89","Plain-winged Woodcreeper"
"90","Wedge-billed Woodcreeper"
