X,Sequence,species,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,result.taxonid,result.category,threatened
1,3103,Accipiter albogularis,Accipitridae,Accipitriformes,AVIBASE-BBB59880,5,2,0,3,4,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-11.73,-4.02,-8.15,158.49,37461.21,22695535,LC,0
3,3125,Accipiter bicolor,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,11,4,5,2,8,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NA,NO,NA,NA,Woodland,2,2,Carnivore,Vertivore,Generalist,-55.72,23.73,-10.1,-59.96,14309701.27,22695669,LC,0
7,3089,Accipiter castanilius,Accipitridae,Accipitriformes,AVIBASE-9D80E72A,6,2,2,2,4,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-10.36,10.12,0.71,18.29,2096401.63,22695486,LC,0
8,3115,Accipiter cirrocephalus,Accipitridae,Accipitriformes,AVIBASE-21957C95,5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Generalist,-43.64,0.04,-23.36,137.81,5488639.45,22695599,LC,0
10,3123,Accipiter cooperii,Accipitridae,Accipitriformes,AVIBASE-EB98812F,5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Vertivore,Aerial,23.28,53.31,41.25,-100.49,8393137.06,22695656,LC,0
12,3109,Accipiter erythropus,Accipitridae,Accipitriformes,AVIBASE-AFD19C47,5,2,3,0,4,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-9.36,14.73,3.48,10.44,3904812.09,22695576,LC,0
13,3101,Accipiter fasciatus,Accipitridae,Accipitriformes,AVIBASE-8257AE54,11,8,3,0,9,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,-43.64,-1.7,-24.45,134.95,8180196.71,22695527,LC,0
14,3094,Accipiter francesiae,Accipitridae,Accipitriformes,AVIBASE-0307D245,10,2,8,0,9,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-25.61,-11.36,-19.49,46.67,519468.81,22695508,LC,0
16,3086,Accipiter griseiceps,Accipitridae,Accipitriformes,AVIBASE-4C2DBB2A,4,3,1,0,3,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-5.66,1.88,-1.96,121.18,140604.94,22695465,LC,0
22,3097,Accipiter hiogaster,Accipitridae,Accipitriformes,AVIBASE-3400ACD7,4,2,2,0,4,26,15.9,9.4,13.9,51.1,197.2,60.8,136.5,30.8,136.5,326.1,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-11.66,2.65,-5.26,141.22,794517.61,22727721,LC,0
26,3102,Accipiter melanochlamys,Accipitridae,Accipitriformes,AVIBASE-1F0322E5,5,2,3,0,4,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,-10.07,-0.95,-5.31,141.87,115449.94,22695532,LC,0
27,3127,Accipiter melanoleucus,Accipitridae,Accipitriformes,AVIBASE-819AB823,5,2,3,0,4,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,-34.84,18.84,-5.51,25.85,9067092.6,22695673,LC,0
